Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Short Term Provisions,Intangible Assets Under Development,Non-Current Investments,Long Term Loans And Advances,Raw Materials,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,"Stores, Spares And Loose Tools",Trade/Other Goods
2006-03-31,4.0,4.0,86.44,86.44,0.0,90.43,805.88,0.0,0.0,0.0,805.88,0.0,0.0,32.29,44.21,940.53,50.38,0.0,0.84,51.22,-2.96,0.0,60.55,0.0,1.29,36.93,794.66,47.11,879.98,940.53,0.0,0.0,0.0,0.0,0.0,0.0,12.29,0.0,11.92,0.0,12.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,5.0,5.0,154.29,154.29,0.0,159.29,1382.65,0.0,0.0,0.0,1382.65,0.0,0.0,45.91,67.35,1609.3,49.69,0.0,13.54,63.23,-4.73,0.09,82.8,0.0,2.17,56.32,1389.3,78.71,1526.5,1609.3,0.0,0.0,0.0,0.0,0.0,0.0,24.22,0.0,21.44,0.0,24.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,5.0,5.0,217.36,217.36,0.0,222.36,1915.31,0.0,0.0,0.0,1915.31,0.0,0.0,122.49,157.35,2295.02,99.25,0.0,9.36,108.62,-4.17,9.25,132.04,0.0,3.49,258.04,1804.66,96.79,2162.98,2295.02,0.0,0.0,0.0,0.0,0.0,0.0,18.34,0.0,34.87,0.0,18.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,49.0,49.0,322.17,322.17,0.0,371.17,2105.41,3.79,0.0,0.0,2109.2,1060.18,4.04,176.51,1293.19,3773.55,116.19,0.0,13.12,129.31,0.0,8.78,145.62,0.0,4.1,882.53,2694.19,47.11,3627.93,3773.55,0.92,0.0,0.0,0.0,42.0,0.01,7.53,0.0,52.45,0.0,7.53,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,301.0,301.0,283.55,283.55,0.0,584.55,3196.08,2.48,0.0,0.0,3198.56,2084.45,11.36,441.07,2659.87,6442.98,124.21,0.0,29.07,153.27,0.0,0.35,161.13,0.0,3.34,575.99,5599.81,102.7,6281.85,6442.98,154.26,1.32,0.0,0.0,252.0,0.01,7.5,0.0,122.99,0.0,7.5,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,320.21,320.21,1014.2,1014.2,0.0,1334.41,2669.22,0.0,125.86,0.0,2795.08,7241.41,2289.97,0.0,9591.51,13721.0,183.56,0.22,4.8,188.57,-2.47,0.0,283.99,0.0,346.87,1375.49,11705.72,8.92,13437.01,13721.0,366.55,0.0,0.0,0.0,252.0,0.02,7.5,0.0,60.13,0.0,7.5,90.39,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,371.71,371.71,2554.02,2554.02,0.0,2925.73,6241.65,0.0,268.69,0.0,6510.35,9238.68,4422.77,0.0,13936.12,23372.2,262.11,0.58,3.89,268.23,0.39,0.05,386.04,90.0,734.02,795.04,21360.02,7.08,22986.16,23372.2,467.91,0.21,0.0,0.0,252.0,0.01,7.5,90.0,274.68,1.64,7.5,109.87,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,371.71,371.71,3363.85,3363.85,0.0,3735.57,7952.94,0.0,563.38,0.24,8516.57,9480.24,7315.59,0.0,17164.13,29416.27,288.81,0.57,9.6,303.02,19.54,0.0,434.59,75.0,1148.18,1342.0,26413.11,3.39,28981.68,29416.27,36.43,0.58,2.56,0.0,252.0,0.01,7.5,75.0,368.3,4.04,7.5,104.52,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,371.71,371.71,3892.86,3892.86,0.0,4264.58,6904.6,0.0,897.51,1.87,7803.98,6064.29,7243.19,0.0,13525.31,25593.87,311.97,0.61,8.38,326.99,21.05,0.0,454.65,30.7,1163.97,2048.93,21894.49,1.14,25139.22,25593.87,32.74,1.22,6.08,0.0,252.0,0.01,4.67,30.7,217.84,6.03,4.67,101.95,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,397.97,397.97,4685.54,4685.54,0.0,5083.5,6712.56,0.0,1207.81,0.75,7921.12,7760.65,5705.18,0.0,13764.63,26769.25,251.85,5.45,6.33,264.17,34.84,0.0,435.92,0.0,1153.9,1736.62,23442.81,0.01,26333.33,26769.25,523.24,0.71,3.2,0.0,252.0,31.45,4.67,0.0,298.8,0.53,38.49,98.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
