Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Capital Work-In-Progress,Intangible Assets Under Development,Long Term Loans And Advances,Equity Share Application Money,Government/Other Grants,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Long Term Provisions,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2004-03-31,2.08,2.08,5.87,5.87,0.0,7.95,0.07,0.0,0.0,0.07,0.0,0.0,7.29,0.09,7.39,15.41,1.56,0.0,1.64,0.52,0.08,0.0,2.24,0.0,0.67,11.38,1.12,0.0,13.17,15.41,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,6.24,6.24,6.35,6.35,0.0,12.59,0.08,0.17,0.0,0.25,0.0,0.0,18.27,0.17,18.44,31.28,5.88,0.0,6.01,2.08,0.0,0.0,8.08,0.0,0.87,15.59,6.73,0.0,23.19,31.28,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,21.84,21.84,2.27,2.27,0.0,24.11,0.0,0.24,0.0,0.24,0.0,7.43,28.36,13.56,49.36,74.51,6.71,2.78,9.49,12.6,0.0,0.03,22.12,0.0,1.22,32.1,19.06,0.0,52.39,74.51,0.0,3.9,0.0,6.05,21.71,0.0,12.6,0.0,0.0,0.0,0.0,0.0,0.63,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,27.3,27.3,185.7,185.7,0.0,212.99,0.0,0.0,0.0,0.0,0.0,14.2,52.25,27.63,94.08,307.94,7.37,2.78,10.36,218.03,0.67,0.0,229.06,0.0,2.26,41.52,35.11,0.0,78.88,307.94,0.54,9.0,0.0,13.8,21.71,0.0,218.03,0.0,0.0,0.2,0.0,0.0,0.49,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,27.3,27.3,239.11,239.11,0.0,266.41,0.0,0.06,0.0,0.06,0.0,24.74,72.84,49.0,146.58,415.25,29.03,2.78,38.15,265.38,1.19,0.0,304.73,0.0,3.56,48.57,58.39,0.0,110.52,415.25,36.18,7.72,0.0,21.56,21.71,0.0,265.38,0.0,0.0,6.34,0.0,0.0,1.76,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,27.3,27.3,296.62,296.62,0.0,323.91,0.0,0.0,0.0,0.0,0.0,15.7,54.84,6.09,76.63,403.67,27.37,2.78,38.44,19.52,1.91,0.0,59.87,0.0,3.81,321.81,16.56,1.63,343.8,403.67,2.07,9.97,0.0,29.04,21.71,0.0,19.52,0.0,0.0,8.29,0.0,0.0,2.83,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,27.3,27.3,352.07,352.07,0.0,379.37,0.0,0.0,0.0,0.0,0.0,19.63,59.55,107.58,186.77,569.37,23.91,4.86,35.7,127.63,3.37,0.0,166.7,0.0,5.96,277.71,117.02,1.97,402.67,569.37,0.0,10.52,0.0,24.45,21.71,0.0,127.63,0.0,0.0,6.93,0.0,0.0,2.66,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,54.59,54.59,408.39,408.39,0.0,462.98,0.29,0.0,0.0,0.29,0.0,23.63,92.87,19.66,136.16,599.43,52.11,1.76,62.8,93.41,4.07,78.17,250.71,203.47,3.89,129.2,8.7,3.47,348.72,599.43,0.12,10.13,28.95,0.0,49.0,0.0,93.41,0.0,203.47,8.92,0.0,12.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,54.59,54.59,519.82,519.82,0.0,574.41,0.28,0.0,0.0,0.28,0.0,27.04,122.6,23.12,172.76,747.45,51.88,1.23,62.56,287.17,4.17,66.7,433.3,94.22,3.59,204.31,6.25,5.77,314.15,747.45,0.12,12.83,34.7,0.0,49.0,0.0,287.17,0.0,94.22,9.44,0.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,109.18,109.18,556.25,556.25,0.0,665.44,0.48,0.0,0.0,0.48,0.0,35.73,124.92,24.06,184.7,850.62,85.76,5.0,100.58,295.39,4.49,104.72,521.03,129.31,4.46,178.33,10.28,7.21,329.59,850.62,5.86,17.01,43.46,0.0,103.59,0.0,295.39,0.0,129.31,9.82,0.0,15.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
