Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,106.45,1.35,107.8,41.12,2.04,13.78,15.87,34.98,11.24,46.23,0.64,45.58,0.0,45.58,12.27,33.32,0.0,33.32,109.18,3.05,3.05,5.09,46.6,5.83,100.0,53.4
2012-12-31,106.41,0.0,106.41,42.95,2.17,12.39,15.39,33.51,10.85,44.36,0.63,43.73,0.0,43.73,12.93,30.8,0.0,30.8,109.18,2.82,2.82,5.2,47.61,5.72,100.0,53.39
2013-03-31,116.06,0.0,116.06,43.13,3.37,16.48,16.77,36.32,13.8,50.12,0.64,49.48,-29.29,20.19,13.85,6.34,0.0,6.34,109.18,0.58,0.58,5.22,47.79,5.7,100.0,52.21
2013-06-30,120.76,0.0,120.76,47.18,3.96,19.73,17.0,32.9,13.41,46.32,0.56,45.76,-2.6,43.16,13.75,29.41,0.0,29.41,109.18,2.69,2.69,5.22,47.79,5.7,100.0,52.21
2013-09-30,123.01,0.56,123.57,47.52,3.95,13.93,17.93,40.23,9.17,49.4,0.59,48.81,0.0,48.81,15.54,33.27,0.0,33.27,109.18,3.05,3.05,5.22,47.79,5.7,100.0,52.21
2013-12-31,123.36,0.0,123.36,49.42,3.9,14.87,16.77,38.4,9.46,47.86,0.62,47.23,0.0,47.23,15.02,32.22,0.0,32.22,109.18,2.95,2.95,5.34,48.9,5.58,100.0,51.1
2014-03-31,138.0,0.18,138.18,52.67,5.56,17.72,24.35,37.88,11.21,49.09,0.7,48.39,0.0,48.39,14.79,33.6,0.0,33.6,109.18,3.08,3.08,5.41,49.55,5.51,100.0,50.45
2014-06-30,144.94,0.0,144.94,58.93,4.36,16.84,19.92,44.89,12.89,57.78,0.7,57.08,0.0,57.08,17.28,39.81,0.0,39.81,109.78,3.64,3.64,5.47,49.85,5.51,100.0,50.15
2014-09-30,147.57,0.0,147.57,60.26,4.64,22.34,22.72,37.6,11.0,48.6,0.71,47.89,0.0,47.89,14.66,33.23,0.0,33.23,119.92,2.97,2.92,6.66,55.53,5.33,100.0,44.47
2014-12-31,145.75,0.0,145.75,64.2,4.76,23.07,22.14,31.58,25.57,57.15,0.75,56.4,0.0,56.4,17.76,38.64,0.0,38.64,120.22,3.22,3.18,6.69,55.64,5.33,100.0,44.36
2015-03-31,173.1,0.24,173.34,68.65,3.56,21.92,28.37,50.84,26.95,77.79,0.86,76.93,29.16,106.09,23.91,82.18,0.0,82.18,120.22,6.84,6.75,6.76,56.19,5.27,100.0,43.81
2015-06-30,171.79,0.0,171.79,75.93,4.5,46.11,25.92,19.33,21.29,40.63,0.02,40.61,0.0,40.61,11.86,28.75,0.0,28.75,120.42,2.4,2.37,6.78,56.27,5.27,100.0,43.73
