Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,5.05,5.05,125.13,125.13,0.0,130.18,12.66,0.0,0.0,70.87,9.12,71.95,5.57,8.24,94.88,295.92,67.41,0.0,16.98,0.0,84.39,22.02,28.76,0.0,0.0,135.17,0.0,37.34,32.93,58.92,31.56,0.0,160.75,295.92,13.93,4.75,0.0,63.7,2.65,0.0,22.02,0.0,0.0,58.21,39.29,0.0,3.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,7.58,7.58,141.8,141.8,0.0,149.37,16.33,0.0,0.0,77.11,9.31,85.28,5.92,12.92,113.43,339.91,95.03,0.0,24.6,0.0,119.63,22.62,18.97,0.0,0.0,161.22,0.0,40.35,43.88,54.38,40.07,0.0,178.69,339.91,28.6,5.46,0.0,91.56,1.19,0.0,22.62,0.0,0.0,60.78,54.59,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,10.09,10.09,164.18,164.18,0.0,174.26,17.95,0.0,0.0,92.72,13.29,93.37,5.39,19.37,131.43,398.41,109.65,0.0,33.63,0.0,143.28,22.62,16.37,0.0,0.0,182.27,0.0,57.21,41.5,60.76,56.67,0.0,216.14,398.41,26.45,8.39,0.0,91.67,5.27,0.0,22.62,0.0,0.0,74.77,72.65,0.0,5.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,10.1,10.1,175.58,175.58,0.0,185.67,18.91,0.0,0.0,85.97,25.42,95.3,5.54,8.58,134.85,406.49,115.48,0.0,58.67,0.0,174.15,17.43,9.31,0.0,0.0,200.89,0.0,59.42,45.79,45.89,54.5,0.0,205.6,406.49,29.12,4.61,0.0,91.59,1.99,0.0,17.43,0.0,0.0,67.05,70.84,0.0,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,10.1,10.1,182.29,182.29,0.0,192.39,25.04,0.0,0.0,81.94,34.86,131.47,5.19,8.16,179.68,454.0,155.73,0.0,29.01,0.0,184.75,16.25,10.4,0.0,0.0,211.39,0.0,68.03,71.43,22.29,80.87,0.0,242.61,454.0,16.88,3.02,0.0,119.22,0.14,0.0,16.25,0.0,0.0,56.89,100.41,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,10.1,10.1,218.92,218.92,0.0,229.02,26.3,0.0,0.0,55.3,23.64,105.36,16.27,8.78,154.06,438.37,147.47,0.0,26.48,0.0,173.96,16.25,9.15,0.0,0.0,199.36,0.0,60.88,60.76,14.81,102.56,0.0,239.02,438.37,19.62,7.09,0.19,235.83,0.11,0.0,16.25,0.0,0.0,29.0,100.67,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,10.1,10.1,280.88,280.88,0.0,290.98,29.32,0.0,0.0,40.13,0.55,109.98,14.21,11.79,136.53,467.64,150.81,0.98,26.15,0.0,177.93,0.85,8.32,0.0,0.0,187.1,0.0,47.18,38.96,80.47,113.93,0.0,280.53,467.64,26.99,8.25,0.26,245.22,0.15,0.0,0.85,0.0,0.0,10.81,95.38,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,9.76,9.76,322.05,322.05,0.0,331.8,19.14,27.68,2.24,49.06,49.07,55.24,13.0,15.49,132.81,513.67,171.78,0.9,32.24,0.0,204.91,47.76,0.0,102.99,0.0,355.66,0.0,55.1,57.8,17.41,26.14,1.57,158.01,513.67,19.51,7.39,0.26,130.51,78.54,0.0,47.76,0.0,0.0,0.0,107.21,0.15,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,9.76,9.76,473.62,473.62,0.0,483.37,28.64,20.14,2.84,51.61,93.34,45.15,10.18,76.53,225.21,760.2,235.46,0.99,5.23,0.0,241.68,185.94,0.0,45.96,0.0,473.59,19.0,84.02,62.39,105.02,11.17,5.01,286.61,760.2,16.72,9.75,0.61,415.39,0.86,11.41,174.56,0.0,19.0,0.0,187.97,0.78,3.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,9.76,9.76,499.71,499.71,0.0,509.46,32.56,20.5,3.4,56.46,83.24,50.15,12.39,9.73,155.51,721.43,229.57,0.91,8.71,0.0,239.18,165.18,0.0,51.81,0.0,456.17,81.46,71.93,70.85,27.47,12.41,1.14,265.26,721.43,18.12,8.93,4.42,192.82,13.68,9.59,153.8,0.0,81.46,0.0,145.99,0.72,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
