Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Long Term Loans And Advances,Short Term Loans And Advances,Deferred Tax Liabilities [Net],Preference Share Capital,Long Term Borrowings,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Intangible Assets,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2004-03-31,90.0,120.0,-89.82,-89.82,30.18,0.0,0.0,125.34,0.0,798.71,32.75,831.46,986.98,9.87,0.0,0.0,9.87,0.15,5.84,0.0,15.86,0.0,85.06,381.82,318.39,0.0,971.12,986.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.85,0.0,30.0,125.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,90.0,120.0,-74.37,-74.37,45.63,0.0,0.0,125.17,0.0,989.51,46.03,1035.54,1206.34,13.51,0.0,0.0,13.51,0.15,6.08,0.91,20.65,0.0,87.83,380.17,498.0,0.0,1185.69,1206.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.69,0.0,30.0,125.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,90.0,120.0,-46.33,-46.33,73.67,0.0,0.0,79.14,0.0,1289.99,62.43,1352.42,1505.23,13.08,0.0,0.0,13.08,0.15,5.02,0.35,18.6,0.0,121.42,475.13,635.43,0.0,1486.63,1505.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.65,0.0,30.0,79.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,90.0,120.0,27.96,27.96,147.96,0.0,0.0,68.07,0.0,1389.13,100.69,1489.82,1705.85,12.41,0.0,0.0,12.41,0.22,5.87,0.1,18.6,0.0,155.59,479.9,751.41,10.34,1687.26,1705.85,0.0,0.0,0.0,0.0,0.22,0.0,0.0,290.02,0.94,30.0,67.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,90.0,90.0,243.33,243.33,333.33,0.0,0.0,0.85,0.0,1525.17,281.88,1807.04,2141.23,12.83,0.0,0.0,12.83,53.58,3.94,0.07,70.41,0.0,268.99,447.08,873.11,13.03,2070.82,2141.23,0.0,0.0,0.0,0.0,53.58,0.0,0.0,468.62,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,90.0,90.0,370.33,370.33,460.33,0.0,0.0,0.85,0.0,1871.69,303.67,2175.36,2636.54,13.32,0.0,0.0,13.32,143.25,5.86,0.03,162.45,0.0,196.02,778.4,909.65,8.91,2474.08,2636.54,0.0,0.0,0.0,0.0,143.25,0.0,0.0,581.1,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,90.0,90.0,458.79,458.79,548.79,0.0,0.0,1.1,0.0,2259.22,224.73,2483.94,3033.83,25.14,0.0,0.0,25.14,250.14,6.46,0.0,281.74,0.0,266.64,882.08,943.92,8.2,2752.09,3033.83,0.0,0.0,0.0,0.0,250.14,0.0,0.0,651.26,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,90.0,90.0,564.14,564.14,654.14,227.18,0.57,227.75,967.03,1336.42,86.87,2390.32,3272.22,23.56,0.0,0.0,23.56,64.14,5.22,301.41,533.82,108.45,409.48,567.53,1169.8,23.31,2738.39,3272.22,780.36,0.0,0.0,0.0,64.14,108.45,139.49,459.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,120.0,120.0,675.49,675.49,795.49,204.75,0.57,205.32,1177.34,1319.09,139.98,2636.41,3637.23,23.32,0.0,0.0,23.32,57.32,8.41,171.94,400.04,166.27,450.06,852.24,1325.2,28.06,3237.19,3637.23,1431.12,0.0,0.0,30.0,57.32,166.27,139.05,415.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,120.0,120.0,830.69,830.69,950.69,210.08,56.55,266.63,820.52,1603.07,88.11,2511.7,3729.03,24.33,0.0,0.0,24.33,57.32,9.46,81.41,338.86,104.77,632.44,830.3,1537.76,28.96,3390.17,3729.03,600.71,0.01,0.0,30.0,57.32,104.77,166.34,255.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,120.0,120.0,1007.29,1007.29,1127.29,152.32,53.21,205.53,919.23,1848.02,90.76,2858.01,4190.83,22.54,0.0,0.0,22.54,57.32,23.35,70.75,309.19,89.35,967.02,1245.67,1195.9,10.16,3881.64,4190.83,737.37,0.12,0.0,30.0,57.36,89.35,135.22,373.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,120.0,120.0,1204.13,1204.13,1324.13,0.0,44.95,44.95,1513.99,1765.15,96.24,3375.37,4744.46,26.22,0.0,0.0,26.22,26.15,19.51,0.0,112.5,134.87,1145.67,1704.12,1059.46,16.17,4631.96,4744.46,774.73,0.36,0.0,30.0,26.15,134.87,40.61,571.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,120.0,120.0,1368.5,1368.5,1488.5,0.0,60.76,60.76,1800.04,2005.2,160.53,3965.78,5515.03,62.0,0.0,0.0,62.0,22.9,31.48,0.0,182.82,207.89,1424.65,2007.94,1133.52,7.09,5332.22,5515.03,1280.07,0.33,0.0,30.0,22.94,207.89,66.44,551.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,180.0,180.0,1493.6,1493.6,1673.6,0.0,66.45,66.45,2543.33,2202.0,37.54,4782.87,6522.93,63.29,0.0,1.7,64.98,57.6,99.54,108.8,330.92,47.25,1570.37,2186.61,1552.96,834.82,6192.01,6522.93,232.26,0.72,0.0,30.0,57.64,47.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,180.0,180.0,1641.37,1641.37,1821.37,0.0,73.43,73.43,2993.79,2684.35,77.1,5755.24,7650.03,61.84,0.0,1.67,63.51,58.6,115.7,81.38,319.18,0.0,1657.51,2258.46,1713.55,1701.33,7330.85,7650.03,1284.21,0.11,0.0,30.0,58.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,180.0,180.0,1384.81,1384.81,1564.81,108.64,96.64,205.28,2938.41,3531.63,59.29,6529.33,8299.41,72.0,0.0,1.64,73.65,343.6,401.2,107.41,925.86,15.01,1832.32,2107.64,1580.65,1837.93,7373.56,8299.41,1477.51,0.25,13.68,30.0,343.6,15.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,180.0,180.0,1343.61,1343.61,1523.61,114.17,97.77,211.94,2151.36,3832.54,45.94,6029.84,7765.38,58.67,0.0,1.61,60.28,333.54,302.94,141.21,837.98,10.0,1767.37,1364.7,1760.89,2024.43,6927.4,7765.38,1801.57,1.07,13.87,30.0,333.54,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,180.0,180.0,1511.5,1511.5,1691.5,116.73,111.02,227.75,2121.46,4232.76,36.7,6390.92,8310.16,56.77,0.0,1.59,58.35,332.0,301.07,1350.57,2041.98,1.54,1693.56,1638.54,1990.77,943.76,6268.18,8310.16,1661.57,1.21,13.43,30.0,332.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,180.0,180.0,1594.75,1594.75,1774.75,119.65,124.2,243.85,2220.37,4219.12,39.47,6478.96,8497.56,55.87,0.0,1.56,57.43,332.0,279.93,1252.79,1922.15,0.0,1570.74,1609.1,2350.02,1045.55,6575.41,8497.56,2160.69,28.61,224.11,30.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,180.0,180.0,1734.54,1734.54,1914.54,117.92,128.81,246.73,2365.05,3468.24,206.65,6039.94,8201.21,63.28,1.0,1.53,65.82,330.0,289.19,1433.1,2118.11,1.94,1407.71,1577.21,2056.92,1039.33,6083.11,8201.21,1831.64,184.11,159.27,30.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,180.0,180.0,1959.0,1959.0,2139.0,116.75,154.46,271.21,2745.41,3024.94,255.15,6025.5,8435.7,66.94,7.96,1.51,76.41,330.0,271.77,399.94,1078.12,256.38,1202.11,2209.51,2231.36,1458.22,7357.58,8435.7,2158.22,230.36,143.09,30.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
