Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22
Net Sales/Income from operations,414.65,333.99,251.06,149.32,265.89,253.4,144.98,59.8,123.39,178.56,73.71,69.31
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,414.65,333.99,251.06,149.32,265.89,253.4,144.98,59.8,123.39,178.56,73.71,69.31
EXPENDITURE,,,,,,,,,,,,
Consumption of Raw Materials,323.38,252.55,228.7,107.16,203.8,209.1,-1.47,49.02,82.48,141.84,53.54,47.38
Purchase of Traded Goods,--,--,--,--,--,--,103.36,--,--,--,--,--
Increase/Decrease in Stocks,-1.57,9.93,-39.63,2.02,-0.97,-10.84,3.93,-11.39,8.36,-9.17,-2.68,2.61
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,18.11,16.19,15.9,11.93,11.87,14.07,14.26,9.85,10.91,7.98,5.42,5.05
Depreciation,3.18,3.1,2.64,2.43,1.73,1.81,1.43,1.29,1.23,1.0,0.75,0.67
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,14.97,11.39,10.37,8.21,10.76,6.83,5.67,3.7,6.47,6.76,4.05,4.89
"P/L Before Other Inc. , Int., Excpt. Items & Tax",56.59,40.84,33.07,17.57,38.69,32.44,17.81,7.34,13.93,30.16,12.62,8.72
Other Income,2.5,1.56,2.05,3.89,3.94,4.51,3.02,0.42,1.23,0.12,0.16,0.1
"P/L Before Int., Excpt. Items & Tax",59.09,42.39,35.12,21.46,42.63,36.95,20.83,7.76,15.16,30.28,12.78,8.81
Interest,1.19,1.47,0.66,0.78,2.83,1.8,0.62,0.96,1.0,1.24,0.59,1.24
P/L Before Exceptional Items & Tax,57.9,40.92,34.46,20.69,39.8,35.15,20.21,6.8,14.16,29.04,12.19,7.58
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,57.9,40.92,34.46,20.69,39.8,35.15,20.21,6.8,14.16,29.04,12.19,7.58
Tax,14.91,10.6,8.75,5.24,10.14,9.14,5.06,1.71,3.63,7.36,3.06,1.97
P/L After Tax from Ordinary Activities,42.99,30.32,25.72,15.44,29.66,26.01,15.14,5.09,10.53,21.68,9.13,5.61
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,42.99,30.32,25.72,15.44,29.66,26.01,15.14,5.09,10.53,21.68,9.13,5.61
Equity Share Capital,11.33,11.27,11.27,11.27,11.27,11.21,11.21,10.19,10.19,5.66,5.66,10.19
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,
Basic EPS,7.57,5.38,4.56,2.74,5.43,4.77,2.71,1.0,2.07,4.26,3.23,1.1
Diluted EPS,7.57,5.38,4.56,2.74,5.43,4.76,2.7,0.99,1.92,4.26,--,1.1
EPS After Extra Ordinary,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--
b) Non-encumbered,,,,,,,,,,,,
Notes,,,,,,,,,,,,
