Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2016-06-30,-57.56,317.18,259.62,0.0,-0.42,-0.26,260.3,5.43,265.73,265.73,265.73,47.57,218.16,218.16,200.0,0.0,0.0,0.0
2016-09-30,4055.32,1314.74,5370.06,578.94,1.4,4542.22,247.5,0.54,248.04,248.04,248.04,-12.2,260.24,260.24,200.0,11642.48,3.25,3.25
2016-12-31,4054.49,990.2,5044.69,583.49,0.21,4508.06,-47.07,6.59,-40.48,-40.48,-40.48,-16.79,-23.69,-23.69,200.0,11587.86,-0.3,-0.3
2017-03-31,5428.38,1210.44,6638.82,510.76,14.53,5628.95,484.58,205.99,690.57,690.57,690.57,137.35,553.22,553.22,200.0,11587.86,6.92,6.92
2017-06-30,4738.56,1248.73,5987.29,454.58,1.17,4939.09,592.45,8.18,600.63,600.63,600.63,101.22,499.41,499.41,200.0,12487.46,6.24,6.24
2017-09-30,4696.56,1526.14,6222.7,581.83,-4.26,4741.0,904.13,3.24,907.37,907.37,907.37,159.1,748.27,748.27,400.0,12750.39,9.35,9.35
2017-12-31,5074.02,1237.93,6311.95,544.84,1.03,4994.59,771.49,-2.35,769.14,769.14,769.14,151.86,617.28,617.28,412.0,14815.26,7.58,7.58
2018-03-31,5215.46,1152.7,6368.16,690.05,2.69,5322.11,353.31,94.61,447.92,447.92,447.92,111.96,335.96,335.96,412.0,14815.26,4.08,4.08
2018-06-30,5164.89,1466.32,6631.21,556.12,0.26,5322.74,752.09,3.26,755.35,755.35,755.35,120.16,635.19,635.19,824.0,15609.52,3.85,3.85
2018-09-30,5207.76,1602.24,6810.0,569.4,1.19,5870.71,368.7,3.79,372.49,372.49,372.49,43.85,328.64,328.64,824.0,15693.25,1.99,1.99
