Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,2723.15,2774.68,2139.22,2647.13,2930.58,2515.73,2471.32,2601.01,4295.58,2812.21,2752.75,3094.46,2579.26,2423.59,2493.67,2359.96,2171.09,1549.69,1445.56,2083.29,2274.52,2128.23,1837.09,1676.46,1902.31,1873.82,1672.98,1696.81,2542.87,1706.48,1992.85,2254.0,2841.86,1892.47,2056.67,1880.37,1854.15,1255.25,1715.91,1843.74,1682.09,1492.65,1402.49,1510.45,1709.89,1314.95,1382.82,1559.57,1653.35,1255.7
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,2723.15,2774.68,2139.22,2647.13,2930.58,2515.73,2471.32,2601.01,4295.58,2812.21,2752.75,3094.46,2579.26,2423.59,2493.67,2359.96,2171.09,1549.69,1445.56,2083.29,2274.52,2128.23,1837.09,1676.46,1902.31,1873.82,1672.98,1696.81,2542.87,1706.48,1992.85,2254.0,2841.86,1892.47,2056.67,1880.37,1854.15,1255.25,1715.91,1843.74,1682.09,1492.65,1402.49,1510.45,1709.89,1314.95,1382.82,1559.57,1653.35,1255.7
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,429.79,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,-246.97,30.88,-107.74,118.75,-196.57,-39.71,-70.04,116.98,-23.09,54.13,45.72,191.66,-178.71,179.3,46.11,--,-23.07,15.46,-113.01,66.15,-123.91,68.38,-39.33,176.85,-219.8,141.63,48.0,273.09,-295.21,-0.9,24.45,339.1,-389.38,-143.58,-107.44,203.69,-517.48,-38.38,50.09,144.52,-320.04,-14.23,38.78,90.83,-95.52,-16.65,17.46,22.17,-73.07,16.9
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,1064.9,639.47,678.51,617.12,680.17,635.92,699.35,631.29,564.05,620.64,694.98,646.65,661.04,676.27,635.54,651.63,721.09,620.4,653.66,693.21,797.34,664.68,737.81,604.87,1034.64,645.86,629.86,653.32,1284.68,558.68,624.77,613.82,597.07,562.34,542.46,592.67,554.95,561.57,502.39,603.34,590.99,542.75,546.99,536.65,624.73,548.12,503.33,518.41,512.78,487.24
Depreciation,378.71,329.35,317.42,342.62,362.76,351.44,360.56,367.0,373.62,365.81,338.34,341.92,519.89,344.24,329.08,334.92,314.51,291.54,290.43,307.93,350.87,238.99,196.97,171.56,173.79,178.28,206.03,187.62,274.1,191.3,213.44,182.32,163.07,172.5,176.85,170.49,93.56,175.23,172.79,157.65,109.84,110.67,107.76,112.35,82.93,118.28,157.86,158.21,134.38,153.74
