Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,"Stores, Spares And Loose Tools",Capital Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Short Term Loans And Advances,Raw Materials,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,Trade/Other Goods
2004-03-31,132.16,132.16,1895.15,1895.15,2027.31,0.0,0.0,0.0,39.97,0.0,101.51,45.64,528.53,675.68,2742.96,574.27,0.0,66.24,0.0,640.51,74.02,46.84,0.0,58.49,819.86,118.38,185.6,1091.61,0.0,1923.1,2742.96,257.64,0.0,0.23,3.54,117.51,0.26,0.0,27.66,49.02,39.97,527.51,5.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,132.16,132.16,2471.53,2471.53,2603.69,0.0,0.0,0.0,45.01,0.0,119.43,123.39,623.82,866.64,3515.34,537.44,0.0,31.47,0.0,568.91,74.02,32.88,0.0,34.75,710.56,117.11,184.74,1904.82,0.0,2804.78,3515.34,394.77,0.0,0.0,1.96,151.02,0.24,0.0,27.99,49.02,45.01,598.11,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,132.16,132.16,3882.49,3882.49,4014.65,0.0,0.0,0.0,31.73,0.0,118.84,151.47,1129.01,1399.32,5445.7,528.46,1.7,56.16,0.0,586.32,74.02,13.27,0.0,29.95,703.56,126.59,316.08,3109.46,0.0,4742.14,5445.7,424.11,0.0,0.18,0.78,21.24,0.14,0.0,27.8,60.29,31.73,1190.01,10.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,132.16,132.16,5668.77,5668.77,5800.93,0.0,0.0,0.0,36.27,0.0,128.63,139.39,1359.1,1627.12,7464.32,502.96,1.94,112.97,0.0,617.87,74.38,9.67,0.0,26.8,728.72,126.74,283.25,4849.17,0.0,6735.6,7464.32,359.67,0.0,0.24,3.43,0.7,0.02,0.0,27.13,60.29,36.27,1476.44,11.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,132.16,132.16,8157.49,8157.49,8289.65,0.0,0.0,0.0,47.22,0.0,228.7,189.74,2109.09,2527.53,10864.4,565.48,2.58,111.83,0.0,679.89,83.28,41.21,0.0,24.55,828.93,166.14,487.71,7198.8,0.0,10035.47,10864.4,628.81,0.0,6.23,5.45,0.0,0.0,0.0,23.34,71.54,47.22,2182.82,9.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,396.47,396.47,11240.44,11240.44,11636.91,0.0,0.0,0.0,67.96,0.0,383.28,101.3,4645.85,5130.43,16835.3,743.69,2.94,248.31,0.0,994.94,71.54,9.92,0.0,22.2,1098.6,302.46,1027.24,9739.65,0.0,15736.7,16835.3,448.24,0.0,0.81,1.95,0.0,0.08,264.31,0.0,71.54,67.96,4667.35,23.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,396.47,396.47,13875.96,13875.96,14272.43,0.0,0.0,0.0,91.36,0.0,520.46,232.04,6287.81,7040.31,21404.1,783.77,3.38,556.09,0.0,1343.24,76.14,6.48,0.0,21.98,1447.84,298.75,427.0,12854.94,0.0,19956.26,21404.1,483.49,0.0,38.76,1.84,0.0,0.07,264.31,0.0,76.14,91.36,6375.57,18.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,396.47,396.47,18818.05,18818.05,19214.52,0.0,22.08,14.92,139.88,0.0,187.56,562.23,993.92,1743.71,21098.11,1007.47,91.79,567.69,0.0,1666.95,135.68,0.0,198.89,10.98,2012.5,415.43,485.4,17228.06,399.53,19085.61,21098.11,2458.9,7.59,81.21,2.02,0.0,0.0,264.31,0.0,148.14,102.88,557.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,396.47,396.47,24009.89,24009.89,24406.36,0.0,23.41,13.45,136.95,0.0,165.82,781.15,1158.16,2105.13,26648.44,1111.0,77.8,1494.16,0.0,2682.96,247.77,0.0,512.43,6.61,3449.77,458.92,737.02,20264.58,690.51,23198.67,26648.44,9940.8,35.85,71.96,4.72,0.0,0.0,264.31,204.45,155.45,100.09,1047.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,396.47,396.47,27114.49,27114.49,27510.96,0.0,30.78,12.38,147.65,0.0,160.76,1214.53,1860.39,3235.68,30894.29,1182.6,82.06,3236.09,0.0,4500.75,249.67,0.0,545.45,5.37,5301.24,637.46,1082.21,21025.75,789.53,25593.05,30894.29,12608.4,9.82,172.35,3.56,0.0,0.0,264.31,79.65,150.04,104.49,2058.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
