Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2022-06-30,91.07,91.07,14.79,0.04,0.16,16.2,59.89,0.2,60.09,53.74,6.34,6.34,2.93,3.42,3.42,35.06,0.0,2.98,2.98
2022-09-30,85.47,85.47,41.85,8.9,0.68,31.59,2.45,9.81,12.26,8.29,3.97,3.97,2.04,1.93,1.93,35.06,0.0,0.55,0.55
2022-12-31,77.07,77.07,42.11,11.3,-0.5,36.97,-12.81,14.0,1.19,9.56,-8.37,-8.37,-2.59,-5.78,-5.78,35.07,0.0,-1.65,-1.65
2023-03-31,117.02,117.02,15.91,0.04,-0.16,15.7,85.53,0.15,85.68,50.7,34.98,34.98,8.64,26.33,26.33,35.06,1560.95,22.98,22.98
2023-06-30,125.52,125.52,38.59,11.06,0.09,47.78,28.0,0.08,28.08,8.2,19.88,19.88,-4.31,24.19,24.19,35.06,0.0,6.9,6.88
2023-09-30,126.36,126.36,45.04,7.79,1.24,44.98,27.31,0.01,27.32,15.78,11.54,11.54,0.11,11.43,11.43,35.07,0.0,3.26,3.24
2023-12-31,186.52,186.52,55.42,28.93,-0.81,44.96,58.02,0.0,58.02,20.35,37.67,37.67,6.7,30.97,30.97,35.07,0.0,8.81,8.68
2024-03-31,215.39,215.39,55.01,25.71,7.35,64.28,63.04,0.01,63.05,24.61,38.44,38.44,6.94,31.5,31.5,35.31,0.0,8.93,8.74
2024-06-30,235.93,235.93,72.92,3.77,2.74,62.63,93.87,0.0,93.87,29.28,64.59,64.59,18.05,46.54,46.54,35.4,0.0,13.16,12.76
2024-09-30,515.55,515.55,81.95,3.97,-3.75,66.65,366.73,0.0,366.73,29.09,337.64,337.64,20.8,316.84,316.84,35.4,0.0,89.21,86.63
2024-12-31,385.18,385.18,66.32,4.05,-0.07,68.31,246.57,0.17,246.74,27.34,219.4,219.4,12.54,206.86,206.86,35.87,0.0,57.77,56.25
