headline,link,date_str,parsed_date_iso,sentiment_score
‘Make in India won’t be replaced’: Ex-commerce secretary downplayes Trump’s tariff concern,https://www.financialexpress.com/india-news/make-in-india-wont-be-replaced-ex-commerce-secretary-downplayes-trumps-tariff-concern/3797926/,2025-04-03T20:08:44+05:30,2025-04-03T14:38:44,0.0
India responds to 26% reciprocal tariff from US: Commerce Ministry evaluating implications on domestic industries,https://www.financialexpress.com/business/industry-india-responds-to-26-reciprocal-tariff-from-us-commerce-ministry-evaluating-implications-on-domestic-industriesnbsp-3797658/,2025-04-03T15:49:08+05:30,2025-04-03T10:19:08,0.0
Commerce ministry to seek extra funds for export mission,https://www.financialexpress.com/policy/economy-commerce-ministry-to-seek-extra-funds-for-export-mission-3784316/,2025-03-21T21:26:22+05:30,2025-03-21T15:56:22,0.0
Startup India registration: Check online step-by-step process to register your startup,https://www.financialexpress.com/business/start-ups-startup-india-registration-check-online-step-by-step-process-to-register-your-startup-3773169/,2025-03-10T14:24:46+05:30,2025-03-10T08:54:46,0.0
"WT-ECIB scheme likely to benefit 1,000 new small exporters: Commerce ministry",https://www.financialexpress.com/business/sme-wt-ecib-scheme-likely-to-benefit-1000-new-small-exporters-commerce-ministry-3701386/,2024-12-26T15:41:00+05:30,2024-12-26T10:11:00,0.4588
"Over Rs 21,000 crore invested in startups so far under Startup India’s schemes: Commerce Ministry",https://www.financialexpress.com/business/sme-over-rs-21000-crore-invested-in-startups-under-startup-indias-schemes-commerce-ministry-3693678/,2024-12-17T16:14:08+05:30,2024-12-17T10:44:08,0.0
Piyush Goyal: Share specific issues faced by MSMEs in credit access; open to exploring alternate financing,https://www.financialexpress.com/business/sme-piyush-goyal-share-specific-issues-faced-by-msmes-in-credit-access-open-to-exploring-alternate-financing-3685158/,2024-12-05T17:36:44+05:30,2024-12-05T12:06:44,0.5859
DPIIT partners with HCLSoftware to support manufacturing startups,https://www.financialexpress.com/business/sme-dpiit-partners-with-hclsoftware-to-support-manufacturing-startups-3649580/,2024-10-25T18:24:39+05:30,2024-10-25T12:54:39,0.4019
DGFT: Exporters claiming RoDTEP benefits to file annual return,https://www.financialexpress.com/business/sme-dgft-exporters-claiming-rodtep-benefits-to-file-annual-return-3648312/,2024-10-24T11:55:48+05:30,2024-10-24T06:25:48,0.3818
43% of new applicants in 3rd round of white goods PLI scheme are MSMEs: Commerce Ministry,https://www.financialexpress.com/business/sme/43-percent-of-new-applicants-in-3rd-round-of-white-goods-pli-scheme-are-msmes-commerce-ministry/3639473/,2024-10-14T18:31:53+05:30,2024-10-14T13:01:53,0.0
"Exporters don’t need RCMC to avail RoSCTL, RoDTEP, duty drawback schemes: Govt",https://www.financialexpress.com/business/sme/exporters-do-not-need-rcmc-to-avail-rosctl-rodtep-duty-drawback-schemes-dgft-commerce-ministry/3632742/,2024-10-07T14:07:55+05:30,2024-10-07T08:37:55,0.0
Import-export: How to apply for IEC online? Check steps,https://www.financialexpress.com/business/sme/import-export-how-to-apply-for-importer-exporter-code-iec-online/3615805/,2024-09-19T17:18:36+05:30,2024-09-19T11:48:36,0.0
New Trade Connect e-Platform for exporters: All you need to know,https://www.financialexpress.com/business/sme/new-trade-connect-e-platform-for-exporters-all-you-need-to-know/3609149/,2024-09-12T13:51:57+05:30,2024-09-12T08:21:57,0.0
Govt extends interest equalisation scheme till Sept 30 only for MSME exporters,https://www.financialexpress.com/business/sme/govt-extends-interest-equalisation-scheme-till-sept-30-only-for-msme-exporters/3601269/,2024-09-04T13:04:31+05:30,2024-09-04T07:34:31,0.5423
Commerce ministry seeks 5-year interest subsidy extension for exporters,https://www.financialexpress.com/business/industry-commerce-ministry-seeks-5-year-interest-subsidy-extension-for-exporters-3597375/,2024-08-31T00:30:00+05:30,2024-08-30T19:00:00,0.4588
Growth of e-commerce through predatory prices is a concern for small retailers: Piyush Goyal,https://www.financialexpress.com/business/sme/growth-of-e-commerce-through-predatory-prices-is-a-concern-for-small-retailers-piyush-goyal/3588755/,2024-08-21T17:13:56+05:30,2024-08-21T11:43:56,0.3818
Protectionist India Inc?,https://www.financialexpress.com/opinion/protectionist-india-inc/3572545/,2024-08-03T03:15:00+05:30,2024-08-02T21:45:00,0.0
"India permits 64,400 tonnes of onion exports to UAE, Bangladesh",https://www.financialexpress.com/policy/economy-india-permits-64400-tonnes-of-onion-exports-to-uae-bangladesh-3412633/,2024-03-04T12:34:41+05:30,2024-03-04T07:04:41,0.0
"New ‘Trade Connect’ platform in the works to help new exporters, MSMEs boost exports",https://www.financialexpress.com/business/sme/new-trade-connect-platform-in-the-works-to-help-new-exporters-msmes-boost-exports/3366774/,2024-01-17T11:58:00+05:30,2024-01-17T06:28:00,0.6597
"Average 11 jobs created by each startup; Rs 17,272 crore invested in 915 startups: Startup India review",https://www.financialexpress.com/business/sme/average-11-jobs-created-by-each-startup-rs-17272-crore-invested-in-915-startups-startup-india-review/3347951/,2023-12-26T18:34:18+05:30,2023-12-26T13:04:18,0.25
DGTR suo-motu initiates probe into dumping of 4 Chinese goods to guard MSMEs against cheap imports,https://www.financialexpress.com/business/sme/dgtr-suo-motu-initiates-probe-into-dumping-of-4-chinese-goodsto-guard-msmes-against-cheap-imports/3308313/,2023-11-16T11:53:56+05:30,2023-11-16T06:23:56,-0.3182
