Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,726.16,726.16,360.61,14.78,96.87,253.9,119.47,373.37,0.0,373.37,0.0,373.37,118.16,255.21,255.21,42.01,30.38,30.24,1.65,19.69,6.75,100.0,80.31
2013-03-31,739.46,739.46,372.56,15.0,79.38,272.52,104.01,376.53,0.0,376.53,0.0,376.53,110.27,266.26,266.26,42.03,31.68,31.54,1.66,19.73,6.75,100.0,80.27
2013-06-30,743.52,743.52,363.52,16.11,93.55,270.34,158.83,429.17,0.0,429.17,0.0,429.17,142.98,286.19,286.19,42.04,34.04,33.94,2.1,25.01,6.31,100.0,74.99
2013-09-30,825.04,825.04,387.44,16.0,110.3,311.3,159.49,470.79,0.0,470.79,0.0,470.79,159.49,311.3,311.3,42.05,37.02,36.89,2.1,25.02,6.31,100.0,74.98
2013-12-31,827.36,827.36,443.13,16.16,100.15,267.92,150.91,418.83,0.0,418.83,0.0,418.83,147.36,271.47,271.47,42.06,32.28,32.15,2.11,25.04,6.31,100.0,74.96
2014-03-31,763.55,763.55,382.14,16.08,105.0,260.33,151.69,412.02,0.0,412.02,0.0,412.02,132.62,279.4,279.4,42.07,33.21,33.08,2.11,25.07,6.31,100.0,74.93
2014-06-30,906.95,906.95,380.06,16.83,110.67,399.39,148.6,547.99,0.0,547.99,0.0,547.99,201.1,346.89,346.89,42.08,41.23,41.08,2.11,25.07,6.31,100.0,74.93
2014-09-30,809.58,809.58,411.96,15.2,103.32,279.1,148.67,427.77,0.0,427.77,0.0,427.77,152.44,275.33,275.33,42.29,32.7,32.52,2.15,25.45,6.31,100.0,74.55
2014-12-31,806.27,806.27,412.6,14.58,109.42,269.67,71.58,341.25,0.0,341.25,0.0,341.25,106.92,234.33,234.33,42.29,27.71,27.61,2.15,25.46,6.31,100.0,74.54
2015-03-31,818.3,818.3,392.75,16.83,119.15,289.57,7.05,296.62,0.0,296.62,0.0,296.62,95.15,201.47,201.47,42.31,23.81,23.73,2.16,25.48,6.31,100.0,74.52
2015-06-30,887.27,887.27,421.25,13.41,137.86,314.75,73.51,388.26,0.0,388.26,0.0,388.26,139.14,249.12,249.12,42.32,28.96,28.81,2.16,25.5,6.31,100.0,74.5
2015-09-30,832.51,832.51,410.71,12.21,110.48,299.11,52.09,351.2,0.0,351.2,0.0,351.2,128.18,223.02,223.02,42.39,26.34,26.17,0.0,0.0,0.0,0.0,0.0
2015-12-31,893.62,893.62,441.72,11.72,121.77,318.41,29.64,348.05,0.0,348.05,0.0,348.05,128.43,219.62,219.62,42.41,25.9,25.71,0.0,0.0,0.0,0.0,0.0
2016-03-31,915.03,915.03,417.18,12.43,162.46,322.96,57.63,380.59,0.0,380.59,0.0,380.59,174.6,205.99,205.99,42.43,23.66,23.56,0.0,0.0,0.0,0.0,0.0
2016-06-30,1010.32,1010.32,476.85,18.32,137.45,377.7,47.37,425.07,0.0,425.07,0.0,425.07,129.49,295.58,295.58,42.45,34.02,33.93,0.0,0.0,0.0,0.0,0.0
2016-09-30,907.82,907.82,453.87,17.27,147.96,288.72,59.64,348.36,0.0,348.36,190.8,539.16,73.75,465.41,465.41,42.51,54.78,54.6,0.0,0.0,0.0,0.0,0.0
2016-12-31,953.46,953.46,449.97,15.66,112.96,374.87,38.66,413.53,0.0,413.53,-62.83,350.7,115.17,235.53,235.53,42.53,27.7,27.62,0.0,0.0,0.0,0.0,0.0
2017-03-31,864.71,864.71,430.17,15.55,157.61,261.38,18.0,279.38,0.0,279.38,88.28,367.66,76.09,291.57,291.57,42.55,34.27,34.14,0.0,0.0,0.0,0.0,0.0
2017-06-30,1023.64,1023.64,464.85,15.16,137.97,405.67,18.01,423.68,0.0,423.68,0.0,423.68,128.31,295.37,295.37,42.65,34.64,34.51,0.0,0.0,0.0,0.0,0.0
2017-09-30,1002.93,1002.93,473.25,14.79,119.33,395.57,14.11,409.68,0.0,409.68,0.0,409.68,102.47,307.21,307.21,42.65,36.01,35.89,0.0,0.0,0.0,0.0,0.0
2017-12-31,905.81,905.81,422.18,13.49,142.76,327.39,14.84,342.23,0.0,342.23,0.0,342.23,116.26,225.97,225.97,42.69,26.48,26.35,0.0,0.0,0.0,0.0,0.0
2018-03-31,929.34,929.34,498.4,13.93,147.36,269.67,41.67,311.33,0.0,311.33,0.0,311.33,133.89,177.45,177.45,42.71,20.78,20.66,0.0,0.0,0.0,0.0,0.0
2018-06-30,985.43,985.43,299.81,12.21,129.22,544.18,35.2,579.38,0.0,579.38,0.0,579.38,205.58,373.8,373.8,42.73,43.75,43.49,0.0,0.0,0.0,0.0,0.0
2018-09-30,877.84,877.84,313.96,11.5,111.88,440.5,42.95,483.45,0.0,483.45,0.0,483.45,161.19,322.25,322.25,42.86,37.65,37.45,0.0,0.0,0.0,0.0,0.0
2018-12-31,834.8,834.8,298.63,11.06,103.2,421.92,17.97,439.89,0.0,439.89,0.0,439.89,150.38,289.51,289.51,42.88,33.77,33.62,0.0,0.0,0.0,0.0,0.0
2019-03-31,882.83,882.83,277.21,15.42,149.33,440.87,42.83,483.7,0.0,483.7,0.0,483.7,186.8,296.9,296.9,42.89,34.62,34.47,0.0,0.0,0.0,0.0,0.0
2019-06-30,934.63,934.63,288.0,20.98,136.15,489.5,37.89,527.39,1.75,525.64,0.0,525.64,178.75,346.89,346.89,42.9,40.43,40.26,0.0,0.0,0.0,0.0,0.0
2019-09-30,848.92,848.92,299.4,20.03,88.23,441.27,34.68,475.94,1.67,474.27,0.0,474.27,112.25,362.02,362.02,42.92,42.18,42.02,0.0,0.0,0.0,0.0,0.0
2019-12-31,835.6,835.6,294.25,21.09,82.85,437.41,51.81,489.22,1.59,487.63,0.0,487.63,116.9,370.74,370.74,42.93,43.19,43.02,0.0,0.0,0.0,0.0,0.0
2020-03-31,906.36,906.36,309.26,21.08,96.76,479.26,44.79,524.05,3.01,521.04,0.0,521.04,18.02,503.01,503.01,42.94,58.58,58.36,0.0,0.0,0.0,0.0,0.0
2020-06-30,1003.92,1003.92,306.56,20.82,92.28,584.26,37.93,622.19,1.36,620.83,0.0,620.83,165.2,455.63,455.63,42.98,53.03,52.85,0.0,0.0,0.0,0.0,0.0
2020-09-30,856.45,856.45,304.12,21.06,49.4,481.88,22.83,504.71,1.24,503.48,0.0,503.48,124.89,378.59,378.59,43.0,44.04,43.87,0.0,0.0,0.0,0.0,0.0
2020-12-31,888.09,888.09,302.44,20.12,64.72,500.81,26.67,527.48,1.19,526.28,0.0,526.28,134.42,391.86,391.86,43.02,45.56,45.38,0.0,0.0,0.0,0.0,0.0
2021-03-31,896.75,896.75,331.2,18.21,38.09,509.25,29.06,538.31,1.02,537.29,0.0,537.29,124.09,413.21,413.21,43.03,48.02,47.83,0.0,0.0,0.0,0.0,0.0
2021-06-30,1041.16,1041.16,326.28,17.86,74.42,622.61,27.96,650.57,1.04,649.53,0.0,649.53,169.85,479.69,479.69,43.06,55.72,55.47,0.0,0.0,0.0,0.0,0.0
2021-09-30,956.69,956.69,360.3,18.21,48.06,530.11,16.26,546.37,2.53,543.84,0.0,543.84,140.42,403.41,403.41,43.1,46.83,46.58,0.0,0.0,0.0,0.0,0.0
2021-12-31,939.93,939.93,359.43,17.18,67.17,496.16,26.98,523.14,3.59,519.55,0.0,519.55,131.5,388.06,388.06,43.12,45.01,44.78,0.0,0.0,0.0,0.0,0.0
2022-03-31,958.35,958.35,408.55,14.73,56.41,478.67,184.82,663.49,0.26,663.23,0.0,663.23,123.17,540.05,540.05,43.12,62.62,62.35,0.0,0.0,0.0,0.0,0.0
2022-06-30,1058.78,1058.78,406.61,14.38,81.39,556.41,31.55,587.96,0.89,587.08,0.0,587.08,147.83,439.25,439.25,43.17,50.89,50.7,0.0,0.0,0.0,0.0,0.0
2022-09-30,1001.39,1001.39,449.66,15.04,75.61,461.09,30.45,491.54,0.83,490.71,0.0,490.71,130.94,359.77,359.77,43.19,41.66,41.52,0.0,0.0,0.0,0.0,0.0
2022-12-31,1083.11,1083.11,461.91,14.52,88.54,518.13,50.69,568.82,0.78,568.05,0.0,568.05,137.61,430.44,430.44,43.19,49.83,49.64,0.0,0.0,0.0,0.0,0.0
2023-03-31,1112.3,1112.3,453.74,14.45,85.96,558.14,139.94,698.08,0.72,697.36,0.0,697.36,154.31,543.06,543.06,43.2,62.86,62.58,0.0,0.0,0.0,0.0,0.0
2023-06-30,1117.01,1117.01,467.41,14.55,96.2,538.86,75.48,614.33,0.63,613.71,0.0,613.71,158.76,454.95,454.95,43.25,52.62,52.37,0.0,0.0,0.0,0.0,0.0
2023-09-30,1080.09,1080.09,478.17,15.32,100.8,485.8,36.44,522.24,0.56,521.68,0.0,521.68,128.02,393.66,393.66,43.3,45.5,45.27,0.0,0.0,0.0,0.0,0.0
2023-12-31,1374.84,1374.84,480.62,15.07,108.36,770.78,80.39,851.17,0.63,850.55,0.0,850.55,150.48,700.07,700.07,43.32,80.83,80.45,0.0,0.0,0.0,0.0,0.0
2024-03-31,1212.55,1212.55,491.68,14.82,102.84,603.21,47.32,650.52,0.3,650.23,0.0,650.23,170.98,479.24,479.24,43.34,55.31,54.97,0.0,0.0,0.0,0.0,0.0
2024-06-30,1295.4,1295.4,482.1,15.2,96.4,701.7,19.8,721.5,0.3,721.2,0.0,721.2,185.2,536.0,536.0,43.4,61.82,61.44,0.0,0.0,0.0,0.0,0.0
2024-09-30,1208.8,1208.8,518.5,15.6,87.9,586.8,87.6,674.4,0.3,674.1,0.0,674.1,177.0,497.1,497.1,43.4,57.32,56.94,0.0,0.0,0.0,0.0,0.0
2024-12-31,1305.4,1305.4,556.9,14.5,94.9,639.1,33.9,673.0,0.2,672.8,0.0,672.8,190.7,482.1,482.1,43.4,55.55,55.21,0.0,0.0,0.0,0.0,0.0
2025-03-31,1289.5,1289.5,533.0,14.5,79.2,662.8,1579.7,2242.5,0.5,2242.0,0.0,2242.0,406.5,1835.5,1835.5,43.4,211.37,210.26,0.0,0.0,0.0,0.0,0.0
