Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,1447.5,1430.02,1536.09,1491.02,1493.45,1485.28,1398.3,1297.29,1373.81,1463.16,1627.85,1409.07,1218.83,1156.14,1067.6,1003.85,866.73,769.4,663.86,359.53,700.38,768.65,862.99,911.52,920.99,945.89,880.26,781.42,753.01,612.4,597.58,583.92,549.98,483.92,460.7,382.54,455.22,455.93,504.77,476.73,591.88,606.65,659.31,609.4,593.77,559.86,596.29,526.18,534.53,544.16
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.02,1.55,0.21,0.42,0.76,0.23,0.42,0.66,0.48,0.47,1.02,0.98,0.37,0.57,0.25,0.17,0.84,1.32
Total Income From Operations,1447.5,1430.02,1536.09,1491.02,1493.45,1485.28,1398.3,1297.29,1373.81,1463.16,1627.85,1409.07,1218.83,1156.14,1067.6,1003.85,866.73,769.4,663.86,359.53,700.38,768.65,862.99,911.52,920.99,945.89,880.26,781.42,753.01,612.4,597.58,583.92,558.0,485.47,460.91,382.96,455.98,456.16,505.19,477.39,592.36,607.12,660.33,610.38,594.14,560.43,596.54,526.35,535.37,545.48
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,1011.75,1023.42,1098.84,973.9,996.96,1076.09,1018.59,879.57,956.85,1063.02,1309.26,1027.21,899.22,844.51,746.11,679.28,525.6,410.78,410.34,238.42,467.89,499.46,610.87,607.5,625.57,639.55,572.19,514.65,504.11,392.7,374.03,380.05,347.57,316.39,295.48,261.82,280.3,324.46,363.75,322.95,395.55,481.44,513.48,473.94,458.93,494.82,451.82,450.48,386.37,462.3
Purchase of Traded Goods,1.16,2.47,20.31,12.68,0.44,--,--,--,--,94.94,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.48,--,--,--,32.94,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,12.98,-34.84,-49.95,19.87,30.33,-35.55,-40.69,19.6,67.5,-19.28,-50.57,-1.54,4.99,-4.19,-28.77,-7.35,-12.91,18.31,23.35,-3.52,-6.7,17.66,-30.48,23.33,-2.15,-10.17,-20.44,-22.64,-3.64,-3.95,7.53,8.48,3.49,-7.5,-1.98,21.27,14.29,-10.31,-2.04,33.67,48.82,-19.17,-3.89,17.33,30.82,-53.81,20.86,-23.41,21.2,-15.96
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,69.98,63.18,54.8,56.9,48.98,55.34,50.35,50.28,46.69,47.72,48.76,47.1,41.77,39.75,41.34,35.86,34.65,34.21,32.22,31.09,33.57,33.9,36.62,30.29,21.56,29.84,34.71,24.81,20.88,28.02,27.79,20.49,14.22,20.38,27.57,19.47,14.02,18.44,22.86,18.03,15.64,17.39,19.85,17.28,10.09,16.8,19.67,16.35,12.6,14.14
Depreciation,41.2,38.99,38.94,37.85,39.73,38.45,37.77,34.58,33.48,33.0,32.68,37.44,30.49,30.8,30.4,29.19,27.95,27.79,27.31,27.07,25.3,22.27,21.82,21.2,17.77,15.64,17.5,15.47,15.13,15.22,15.22,14.95,15.0,15.26,15.26,15.1,10.25,14.97,14.99,14.76,11.77,15.31,15.65,14.8,13.41,13.7,13.39,13.24,12.62,13.78
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20.21,16.45,17.47,18.21,16.26,16.54,17.65,16.26,17.61,21.67,17.73,17.08,14.48,16.88,15.19,15.76,14.77
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,136.97,131.51,138.88,160.23,150.4,134.9,135.38,136.79,118.85,108.43,131.75,140.77,136.08,107.98,122.12,132.14,133.15,117.73,92.57,54.96,106.28,97.41,117.26,136.92,164.24,107.92,118.55,107.61,129.7,98.68,93.61,82.38,100.4,71.2,65.29,9.92,74.27,66.5,58.37,43.94,61.12,64.09,66.46,42.41,45.29,69.96,84.46,89.44,69.86,55.71
"P/L Before Other Inc. , Int., Excpt. Items & Tax",173.46,205.29,234.27,229.59,226.61,216.05,196.9,176.47,150.44,135.33,155.97,158.09,106.28,137.29,156.4,134.73,158.29,160.58,78.07,11.51,74.04,97.95,106.9,92.28,94.0,163.11,157.75,141.52,86.83,81.73,79.4,77.57,77.32,49.53,42.84,37.91,27.16,25.84,30.72,26.39,10.26,30.45,27.11,26.89,18.52,4.48,-10.54,-34.94,16.96,0.74
Other Income,22.25,7.95,2.37,7.25,22.85,3.88,1.37,2.88,16.01,7.83,3.35,11.22,11.69,8.4,3.31,3.33,10.59,1.79,0.87,2.54,8.28,5.17,4.9,5.78,8.32,4.1,3.18,3.19,11.02,3.55,3.62,1.54,--,4.26,4.35,3.52,5.35,7.43,2.67,2.39,6.38,2.31,3.02,2.71,9.18,4.06,3.78,3.49,2.08,2.22
"P/L Before Int., Excpt. Items & Tax",195.71,213.24,236.64,236.84,249.46,219.93,198.27,179.35,166.45,143.16,159.32,169.31,117.97,145.69,159.71,138.06,168.88,162.37,78.94,14.05,82.32,103.12,111.8,98.06,102.32,167.21,160.93,144.71,97.85,85.28,83.02,79.11,77.32,53.79,47.19,41.43,32.51,33.27,33.39,28.78,16.64,32.76,30.13,29.6,27.7,8.54,-6.76,-31.45,19.04,2.96
Interest,69.18,67.46,68.8,72.72,69.1,22.38,17.15,17.57,18.61,14.98,10.97,8.85,6.89,6.93,7.66,7.61,8.08,7.96,6.47,11.37,12.04,10.64,9.08,12.7,10.56,10.88,7.35,7.59,10.23,6.8,11.6,12.81,13.98,11.61,12.99,12.8,12.48,14.07,20.93,23.43,21.07,21.95,24.75,27.03,25.77,25.47,17.9,16.8,17.58,17.44
P/L Before Exceptional Items & Tax,126.53,145.78,167.84,164.12,180.36,197.55,181.12,161.78,147.84,128.18,148.35,160.46,111.08,138.76,152.05,130.45,160.8,154.41,72.47,2.68,70.28,92.48,102.72,85.36,91.76,156.33,153.58,137.12,87.62,78.48,71.42,66.3,63.34,42.18,34.2,28.63,20.03,19.2,12.46,5.35,-4.43,10.81,5.38,2.57,1.93,-16.93,-24.66,-48.25,1.46,-14.48
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,126.53,145.78,167.84,164.12,180.36,197.55,181.12,161.78,147.84,128.18,148.35,160.46,111.08,138.76,152.05,130.45,160.8,154.41,72.47,2.68,70.28,92.48,102.72,85.36,91.76,156.33,153.58,137.12,87.62,78.48,71.42,66.3,63.34,42.18,34.2,28.63,20.03,19.2,12.46,5.35,-4.43,10.81,5.38,2.57,1.93,-16.93,-24.66,-48.25,1.46,-14.48
Tax,31.78,34.79,38.8,47.84,41.95,53.1,48.76,43.71,46.0,28.01,32.18,34.55,20.81,27.72,30.53,26.14,33.42,29.38,14.92,0.37,-1.88,22.86,25.67,20.7,17.33,47.75,45.61,39.58,13.37,21.89,20.64,18.14,35.2,24.71,19.02,16.61,13.22,10.9,7.07,2.99,-4.9,3.83,1.24,1.52,-0.1,-1.45,-3.3,3.54,-3.48,-15.24
P/L After Tax from Ordinary Activities,94.75,110.99,129.04,116.28,138.41,144.45,132.36,118.07,101.84,100.17,116.17,125.91,90.27,111.04,121.52,104.31,127.38,125.03,57.55,2.31,72.16,69.62,77.05,64.66,74.43,108.58,107.97,97.54,74.25,56.59,50.78,48.16,28.14,17.47,15.18,12.02,6.81,8.3,5.39,2.36,0.47,6.98,4.14,1.05,2.03,-15.48,-21.36,-51.79,4.94,0.76
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,94.75,110.99,129.04,116.28,138.41,144.45,132.36,118.07,101.84,100.17,116.17,125.91,90.27,111.04,121.52,104.31,127.38,125.03,57.55,2.31,72.16,69.62,77.05,64.66,74.43,108.58,107.97,97.54,74.25,56.59,50.78,48.16,28.14,17.47,15.18,12.02,6.81,8.3,5.39,2.36,0.47,6.98,4.14,1.05,2.03,-15.48,-21.36,-51.79,4.94,0.76
Equity Share Capital,37.75,37.75,37.75,37.75,37.75,37.75,37.75,37.75,37.75,37.75,37.75,37.75,37.75,37.75,34.47,34.47,34.47,34.47,34.47,34.47,34.47,34.47,34.47,34.47,34.47,34.47,34.47,34.47,34.47,34.47,34.47,34.47,34.47,34.47,34.47,34.47,34.47,34.47,34.47,34.47,34.47,34.47,34.47,34.47,34.47,34.47,34.47,34.47,34.47,34.47
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,2.51,2.94,3.42,3.08,3.67,3.83,3.51,3.13,2.7,2.65,3.08,3.34,2.39,5.91,7.05,6.05,7.39,7.25,3.34,0.13,4.19,4.04,4.47,3.75,4.32,6.3,6.26,5.66,21.54,16.42,14.73,13.97,8.16,5.07,4.4,3.49,1.98,2.41,1.56,0.68,0.14,2.03,1.2,0.3,0.59,-4.49,-6.2,-15.02,1.43,0.22
Diluted EPS,2.5,2.93,3.41,3.08,3.67,3.83,3.51,3.13,2.7,2.65,3.08,3.34,2.39,5.91,7.05,6.05,7.39,7.25,3.34,0.13,4.19,4.04,4.47,3.75,4.32,6.3,6.26,5.66,21.54,16.42,14.73,13.97,8.16,5.07,4.4,3.49,1.98,2.41,1.56,0.68,0.14,2.03,1.2,0.3,0.59,-4.49,-6.2,-15.02,1.43,0.22
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.62,1.63,1.65,1.65,1.65
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,46.44,46.44,46.44,46.44,46.54,46.54,46.54,46.92,47.35,47.74,47.74,47.74
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.85,1.85,1.85,1.85,1.84,1.84,1.84,1.83,1.81,1.8,1.8,1.8
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,53.56,53.56,53.56,53.56,53.46,53.46,53.46,53.08,52.65,52.26,52.26,52.26
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
