Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Intangible Assets Under Development,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Capital Work-In-Progress,Foreign Currency Monetary Item Translation Difference A/C,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Trade Receivables,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2004-03-31,1030.45,1030.45,5952.84,5952.84,6983.29,17748.03,0.0,0.0,18467.08,0.0,0.0,490.24,1223.08,26673.45,79.05,0.12,0.0,85.28,0.0,0.0,97.28,0.0,353.02,25431.76,791.39,26576.17,26673.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719.05,732.84,12.0,0.0,6.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,1030.45,1030.45,6505.6,6505.6,7536.05,19650.02,0.0,0.0,20570.98,1998.22,8.58,511.76,2612.28,30719.31,67.38,0.08,0.0,82.82,21.18,0.0,118.09,0.0,338.37,30262.85,0.0,30601.22,30719.31,21.69,0.37,0.0,0.0,0.0,0.0,2.09,0.0,0.0,920.96,93.71,14.09,0.0,15.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,1030.45,1030.45,7108.04,7108.04,8138.49,24753.16,0.0,0.0,25744.34,2171.66,8.58,576.38,2955.41,36838.24,55.32,0.06,0.0,86.65,20.63,0.0,123.79,0.0,364.84,36349.61,0.0,36714.45,36838.24,7.31,0.4,0.0,0.0,0.0,70.92,4.51,0.0,0.0,991.18,198.79,16.51,0.0,31.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,1147.77,1147.77,8676.95,8676.95,9824.72,31273.18,0.0,0.0,32455.63,2311.0,0.45,1187.42,4422.92,46703.26,81.42,0.04,0.0,81.46,39.85,0.0,180.19,0.0,507.67,46015.41,0.0,46523.07,46703.26,232.84,0.93,0.0,0.0,0.0,71.46,15.49,0.0,0.0,1182.44,924.04,58.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,1147.77,1147.77,9248.83,9248.83,10396.6,38167.81,0.0,0.0,39452.07,2480.0,0.45,1232.23,4915.97,54764.64,76.95,0.05,0.0,77.0,44.01,0.0,186.6,0.0,694.67,53883.37,0.0,54578.04,54764.64,747.77,127.37,0.0,1.08,0.0,126.74,45.58,0.0,0.0,1284.26,1203.29,65.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,1147.77,1147.77,11268.99,11268.99,12416.76,50760.15,0.0,0.0,50825.48,1400.0,0.45,1860.14,4976.16,68218.4,73.54,1.61,0.0,75.15,9.85,0.0,120.86,0.0,392.23,67703.53,1.78,68097.54,68218.4,648.36,151.21,0.0,0.0,0.0,93.86,14.53,0.0,0.0,65.33,1715.57,35.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,1147.77,1147.77,12776.51,12776.51,13924.28,64783.29,0.0,0.0,64837.3,2325.12,0.0,2124.52,6022.64,84784.22,71.18,1.59,0.0,74.5,7.06,0.0,112.99,0.0,1394.3,83237.97,38.96,84671.23,84784.22,545.64,132.4,0.0,0.0,0.0,142.69,15.6,0.0,0.0,54.01,1573.0,31.43,0.0,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,1147.77,1147.77,14034.72,14034.72,15182.49,69984.03,678.38,25.16,70770.54,15614.54,0.0,2783.1,18681.21,104634.24,71.78,2.65,0.0,76.71,0.0,157.0,87707.45,3.83,2350.26,12147.05,2425.65,16926.79,104634.24,6349.35,166.03,0.0,0.0,0.0,100.08,38.05,7.98,0.0,82.97,283.57,50.05,87423.69,2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,1319.93,1319.93,19387.59,19387.59,20707.52,95866.98,550.64,28.95,96534.0,14258.93,0.0,3799.68,18333.54,135575.06,71.75,4.26,0.0,76.46,0.0,101.43,112250.15,3.83,1988.2,18054.9,2762.57,22809.5,135575.06,6350.37,170.78,0.0,0.0,0.0,73.68,43.34,7.84,0.0,87.43,274.93,55.34,112016.92,0.45,515.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,1320.02,1320.02,22734.1,22734.1,24054.12,130762.94,539.8,162.33,131684.86,8819.77,0.0,5063.82,14077.58,169816.56,70.56,3.78,0.0,74.34,0.0,376.07,143132.23,3.83,4753.81,17871.96,3576.76,26206.36,169816.56,4779.69,262.9,0.0,0.0,0.0,71.46,175.18,7.75,0.0,219.79,193.99,187.18,142494.64,0.0,477.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
