Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Capital Work-In-Progress,Fixed Assets,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Liabilities [Net],Non-Current Investments,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Intangible Assets,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,Trade/Other Goods
2004-06-30,32.46,32.46,216.66,216.66,0.0,249.12,0.0,0.0,6.98,137.23,11.65,76.34,225.21,481.32,80.2,1.43,81.63,13.72,0.0,0.0,95.36,44.34,49.22,228.15,64.24,0.0,385.95,481.32,96.6,20.32,28.13,16.66,2.7,23.54,0.01,44.72,0.0,9.02,6.98,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-30,32.46,32.46,193.22,193.22,0.0,225.68,0.0,0.0,7.38,101.53,11.8,150.38,263.71,496.77,79.07,9.96,89.03,5.68,0.0,0.0,94.72,54.9,43.48,225.98,77.7,0.0,402.06,496.77,51.87,26.94,44.62,4.01,2.45,23.54,0.01,50.38,0.0,2.82,7.38,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-30,32.46,32.46,240.2,240.2,0.0,272.66,0.0,0.0,6.44,65.18,8.31,95.56,169.05,448.15,65.38,29.18,94.56,5.56,0.0,0.0,100.12,28.31,8.77,245.76,65.19,0.0,348.03,448.15,136.22,43.04,89.24,1.97,5.09,23.54,0.0,49.9,0.0,14.5,6.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-30,32.46,32.46,258.72,258.72,0.0,291.18,0.0,0.0,8.34,75.45,9.36,79.13,163.93,463.45,94.01,33.47,127.48,14.0,0.0,0.0,141.48,31.36,14.64,29.24,246.73,0.0,321.97,463.45,98.56,36.46,55.78,0.55,1.97,23.54,0.0,42.43,0.0,3.45,8.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-30,32.46,32.46,314.18,314.18,0.0,346.64,0.0,0.0,11.73,116.4,14.44,82.03,212.88,571.25,123.08,12.88,135.96,7.39,0.0,0.0,143.36,46.52,13.34,166.48,201.56,0.0,427.89,571.25,25.55,43.4,44.62,1.24,0.94,23.54,0.0,66.27,0.0,0.96,11.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-06-30,32.46,32.46,407.58,407.58,0.0,440.04,0.0,0.0,11.77,102.31,13.36,90.5,206.17,657.98,132.29,24.51,156.8,6.36,0.0,0.0,163.16,53.98,22.51,88.03,330.29,0.0,494.82,657.98,55.06,56.29,44.62,7.99,1.35,23.54,0.0,96.69,0.0,9.1,11.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-30,32.46,32.46,502.18,502.18,0.0,534.64,0.0,0.0,10.05,187.17,11.83,90.96,289.96,834.65,130.39,66.44,196.83,7.8,0.0,0.0,204.64,54.41,28.68,232.33,314.6,0.0,630.01,834.65,63.85,22.7,50.2,9.69,2.26,23.54,0.0,87.02,0.0,24.03,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-30,32.46,32.46,568.17,568.17,0.0,600.63,0.36,2.07,5.24,154.12,28.3,89.39,271.82,877.68,190.38,7.64,198.02,0.0,85.25,0.0,283.27,65.33,31.02,129.95,353.81,14.3,594.42,877.68,96.51,57.16,52.5,4.81,0.81,23.54,0.0,103.45,1.63,8.57,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-30,32.46,32.46,664.58,664.58,0.0,697.04,0.36,2.2,2.56,255.36,54.01,89.57,398.94,1098.53,198.39,28.91,227.3,1.53,100.38,0.04,329.25,92.27,48.15,182.37,425.4,21.1,769.28,1098.53,105.28,34.22,52.54,7.56,0.87,23.54,0.0,129.72,4.29,27.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-30,32.46,32.46,772.86,772.86,0.0,805.32,0.36,2.43,2.79,204.46,85.7,99.74,389.9,1198.01,214.87,41.24,256.11,2.95,98.14,0.11,357.31,118.9,80.87,166.03,469.38,5.52,840.7,1198.01,95.06,45.59,52.43,17.41,1.33,23.54,0.0,146.85,3.51,15.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-30,32.46,32.46,970.44,970.44,0.0,1002.9,0.28,2.66,2.94,230.32,62.79,208.99,502.1,1507.94,239.51,98.17,337.68,7.17,150.66,0.0,495.51,118.52,86.05,269.08,493.48,45.3,1012.43,1507.94,172.54,142.5,55.78,23.8,2.55,23.54,0.0,162.21,5.62,72.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-30,32.46,32.46,1196.22,1196.22,0.0,1228.68,0.0,3.33,3.33,372.3,84.65,258.72,715.67,1947.68,308.79,38.98,347.77,3.96,238.79,0.05,590.57,119.07,113.94,618.58,451.16,54.36,1357.11,1947.68,205.77,166.08,61.35,8.65,0.59,23.54,0.0,193.37,5.53,24.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
