Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Preference Share Capital,Deferred Tax Assets [Net],Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,25.24,25.24,284.46,284.46,0.0,309.7,30.89,0.0,0.0,47.48,39.64,38.41,16.22,25.33,119.6,476.78,146.9,56.19,13.77,216.86,15.0,0.0,0.97,233.63,0.0,104.79,97.2,7.44,33.72,0.0,243.15,476.78,36.45,4.58,40.72,0.16,22.64,7.9,3.19,0.0,0.0,16.6,94.37,0.0,0.0,0.3,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,25.24,25.24,332.2,332.2,0.0,357.44,29.67,0.0,0.0,74.7,15.94,64.26,17.98,31.85,130.03,562.18,154.15,67.16,35.45,256.76,18.43,0.0,0.73,276.8,0.0,129.95,108.37,11.66,35.39,0.0,285.38,562.18,41.93,8.54,60.0,0.1,22.64,13.2,6.21,0.0,0.0,45.03,117.14,0.0,0.0,0.7,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,25.24,25.24,387.11,387.11,0.0,412.35,31.65,0.0,0.0,58.24,28.7,49.67,48.87,39.85,167.1,637.68,193.53,67.66,29.45,290.63,35.86,0.0,0.49,328.14,0.0,153.4,109.45,12.16,34.53,0.0,309.54,637.68,31.92,10.84,64.56,0.05,22.64,13.54,23.61,0.0,0.0,26.59,135.29,0.0,0.0,1.06,0.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,25.24,25.24,462.74,462.74,0.0,487.98,35.28,0.0,0.0,123.64,49.94,55.47,74.06,49.34,228.81,840.43,234.83,67.66,34.66,337.15,89.2,0.0,0.24,427.99,0.0,197.62,131.81,23.17,59.84,0.0,412.44,840.43,31.39,12.75,95.5,0.08,22.64,9.76,77.08,0.0,0.0,88.36,201.23,0.0,0.0,3.58,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,25.31,28.18,614.3,614.3,0.0,642.48,45.49,0.0,0.0,380.52,167.57,70.08,101.33,59.78,398.77,1421.76,294.13,85.84,167.09,547.07,162.37,0.0,0.0,712.63,0.0,265.54,205.75,148.55,89.29,0.0,709.13,1421.76,66.2,21.6,144.19,0.0,22.64,3.66,161.28,0.0,0.0,335.03,236.59,0.0,0.0,7.48,2.88,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,25.31,25.31,691.87,691.87,0.0,717.17,50.61,0.0,0.0,513.94,94.69,55.29,168.83,59.46,378.26,1609.37,343.96,85.91,243.43,673.3,240.71,0.0,0.0,920.54,0.0,228.89,241.3,127.08,91.57,0.0,688.84,1609.37,85.54,30.19,181.95,0.36,22.64,3.53,238.64,0.0,0.0,463.33,249.3,0.0,0.0,3.65,0.0,6.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,50.61,50.61,887.05,887.05,0.0,937.67,50.07,0.0,0.0,449.74,21.76,116.0,214.2,97.68,449.63,1837.04,324.23,88.02,282.62,694.87,510.66,0.0,0.0,1214.07,0.0,250.63,238.76,33.12,100.46,0.0,622.96,1837.04,124.89,33.39,183.85,0.4,47.95,8.76,509.26,0.0,0.0,399.67,233.73,0.0,0.0,0.66,0.0,8.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,50.61,50.61,1088.91,1088.91,0.0,1139.53,40.97,0.0,8.67,309.53,2.77,142.89,285.36,119.35,550.37,1999.43,412.8,28.17,326.77,767.74,235.59,17.94,0.88,1022.16,164.15,354.44,286.59,92.32,75.68,4.08,977.27,1999.43,169.37,30.09,239.29,0.54,47.95,6.66,259.2,0.0,164.15,259.89,291.25,0.0,58.22,10.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,50.77,50.77,1326.45,1326.45,0.0,1377.22,45.43,0.0,12.61,150.33,0.0,170.61,481.19,126.63,778.42,2305.97,471.71,24.21,371.34,867.26,241.88,24.95,0.17,1134.26,90.92,396.3,326.12,257.61,90.23,10.53,1171.71,2305.97,206.38,35.86,264.32,1.86,47.95,7.27,278.12,0.0,90.92,92.3,351.97,0.0,63.96,11.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,51.26,51.26,1681.17,1681.17,0.0,1732.44,48.36,0.0,14.29,62.65,0.0,207.14,372.77,163.43,743.34,2538.43,511.99,21.71,408.71,942.42,262.32,24.23,0.0,1228.96,284.63,451.16,366.76,136.82,59.41,10.68,1309.47,2538.43,227.52,34.86,320.17,0.55,47.95,7.02,304.12,0.0,284.63,0.0,399.92,0.0,66.57,10.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
