Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2011-12-31,331.68,0.0,331.68,9.04,0.37,-0.06,18.2,304.13,7.4,311.53,231.95,79.58,79.58,23.47,56.11,56.11,30.0,0.0,0.0,0.0
2012-03-31,120.55,0.0,120.55,6.73,0.0,0.0,10.99,102.83,1.26,104.09,81.61,22.48,22.48,3.76,18.72,18.72,30.0,0.0,6.24,6.24
2012-12-31,165.17,0.0,165.17,6.78,0.45,3.58,18.65,135.71,10.15,145.86,118.04,27.82,27.82,6.98,20.84,20.84,43.53,0.0,0.0,0.0
2013-03-31,183.95,5.03,188.98,7.79,0.91,2.99,-7.05,184.34,0.0,184.34,141.82,42.52,42.52,13.09,29.43,29.43,50.0,0.0,0.0,0.0
2013-06-30,227.14,0.0,227.14,7.17,0.94,5.36,12.53,201.14,8.06,209.2,169.54,39.66,39.66,11.7,27.96,27.96,50.0,0.0,0.0,0.0
2013-09-30,252.93,0.0,252.93,8.7,1.07,7.11,15.77,220.28,7.65,227.93,187.66,40.27,40.27,11.62,28.65,28.65,50.0,0.0,5.73,5.73
2013-12-31,281.77,0.0,281.77,10.49,1.5,10.19,15.4,244.19,8.69,252.88,211.07,41.81,41.81,10.33,31.48,31.48,50.0,0.0,0.0,0.0
2014-03-31,315.05,11.0,326.05,10.59,1.38,7.77,19.44,286.87,0.0,286.87,232.88,53.99,53.99,14.65,39.34,39.34,65.69,0.0,0.0,0.0
2014-12-31,458.55,16.45,475.0,17.4,1.86,7.42,28.75,419.57,0.0,419.57,344.73,74.84,74.84,23.18,51.66,51.66,92.53,0.0,0.0,0.0
2015-03-31,495.66,21.48,517.14,18.58,0.19,12.68,33.23,452.46,0.0,452.46,362.76,89.7,89.7,32.61,57.09,57.09,103.85,0.0,0.0,0.0
2015-06-30,535.89,24.54,560.43,18.26,3.14,16.49,35.27,487.27,0.0,487.27,402.68,84.59,84.59,28.19,56.4,56.4,126.92,0.0,0.0,0.0
2015-09-30,614.41,28.8,643.21,20.93,3.43,19.65,36.87,562.33,0.0,562.33,446.11,116.22,116.22,39.02,77.2,77.2,126.92,0.0,6.08,6.08
2015-12-31,675.25,33.85,709.1,20.21,4.3,15.85,36.97,631.77,0.63,632.4,486.65,145.75,145.75,55.44,90.31,90.31,126.92,0.0,7.12,7.12
2016-03-31,873.99,-87.19,786.8,15.88,4.17,29.14,54.42,683.2,-0.63,682.57,524.85,157.72,157.72,54.06,103.66,103.66,126.92,2017.53,0.0,0.0
2016-06-30,817.2,45.65,862.85,22.12,4.47,27.98,53.13,755.15,0.02,755.17,607.99,147.18,147.18,51.28,95.9,95.9,126.92,0.0,7.56,7.49
2016-09-30,913.04,57.13,970.17,26.58,4.56,-22.51,69.68,891.86,0.08,891.94,684.68,207.26,207.26,69.61,137.65,137.65,126.92,0.0,10.85,10.64
2016-12-31,937.62,61.13,998.75,24.97,4.77,30.78,57.22,881.01,0.0,881.01,673.08,207.93,207.93,70.15,137.78,137.78,165.64,0.0,9.18,9.04
2017-03-31,1075.93,0.0,1075.93,27.59,4.83,66.66,57.36,919.49,0.05,919.54,677.9,241.64,241.64,89.24,152.4,152.4,165.64,0.0,9.2,9.08
2017-06-30,1192.15,0.0,1192.15,28.92,5.08,48.06,74.15,1035.94,0.12,1036.06,752.92,283.14,283.14,98.39,184.75,184.75,166.59,0.0,11.12,10.99
2017-09-30,1315.78,0.0,1315.78,33.08,5.25,50.28,71.78,1155.39,0.07,1155.46,836.07,319.39,319.39,111.4,207.99,207.99,166.59,0.0,12.49,12.33
2017-12-31,1438.49,0.0,1438.49,34.86,6.77,56.06,82.06,1258.74,0.14,1258.88,925.03,333.85,333.85,116.39,217.46,217.46,166.59,0.0,13.05,12.89
2018-03-31,1569.97,0.0,1569.97,39.62,7.01,44.43,119.66,1359.25,0.23,1359.48,1016.78,342.7,342.7,122.25,220.45,220.45,166.59,0.0,13.23,13.08
2018-06-30,1615.83,0.0,1615.83,44.85,6.72,44.01,75.08,1445.17,0.2,1445.37,1099.75,345.62,345.62,110.57,235.05,235.05,167.44,0.0,14.06,13.96
2018-09-30,1730.41,0.0,1730.41,51.61,7.89,64.69,72.3,1533.92,0.0,1533.92,1228.89,305.03,305.03,96.77,208.26,208.26,167.46,0.0,12.44,12.35
2018-12-31,1999.5,0.0,1999.5,50.87,7.57,70.14,81.01,1789.91,0.72,1790.63,1410.28,380.35,380.35,113.4,266.95,266.95,167.47,0.0,15.94,15.83
2019-03-31,2135.12,0.0,2135.12,64.0,9.11,10.11,80.13,1971.77,2.82,1974.59,1427.54,547.05,547.05,175.93,371.12,371.12,167.47,0.0,22.16,22.03
2019-06-30,2301.57,0.0,2301.57,59.79,16.34,164.16,64.51,1996.77,1.58,1998.35,1512.76,485.59,485.59,117.34,368.25,368.25,168.06,0.0,21.94,21.86
2019-09-30,2187.29,0.0,2187.29,55.89,16.74,151.58,49.45,1913.63,0.54,1914.17,1521.36,392.81,392.81,50.72,342.09,342.09,168.12,0.0,20.35,20.29
2019-12-31,2069.55,0.0,2069.55,50.91,18.09,179.94,61.77,1758.84,0.08,1758.92,1461.14,297.78,297.78,62.69,235.09,235.09,168.19,0.0,13.98,13.95
2020-03-31,1919.91,0.0,1919.91,28.69,14.47,754.83,98.46,1023.46,5.4,1028.86,1380.04,-351.18,-351.18,-88.06,-263.12,-263.12,168.19,0.0,-15.64,-15.63
2020-06-30,1866.35,0.0,1866.35,49.09,15.94,75.09,30.48,1695.75,2.23,1697.98,1363.65,334.33,334.33,74.72,259.61,259.61,168.19,0.0,15.44,15.44
2020-09-30,2012.68,0.0,2012.68,47.88,14.56,179.55,41.28,1729.41,6.04,1735.45,1339.82,395.63,395.63,83.27,312.36,312.36,168.19,0.0,18.57,18.57
2020-12-31,1872.77,0.0,1872.77,35.06,13.99,256.66,46.76,1520.3,8.29,1528.59,1246.35,282.24,282.24,58.97,223.27,223.27,168.19,0.0,13.28,13.28
2021-03-31,1813.4,0.0,1813.4,44.34,14.29,350.53,82.31,1321.93,2.22,1324.15,1149.63,174.52,174.52,44.54,129.98,129.98,168.27,0.0,7.73,7.72
2021-06-30,1675.35,0.0,1675.35,47.56,12.76,159.51,47.53,1407.99,1.1,1409.09,1103.09,306.0,306.0,71.04,234.96,234.96,168.51,0.0,13.96,13.95
2021-09-30,1569.35,0.0,1569.35,47.32,13.38,141.83,49.66,1317.16,3.1,1320.26,1034.08,286.18,286.18,52.87,233.31,233.31,168.58,0.0,13.84,13.81
2021-12-31,1482.23,0.0,1482.23,41.41,13.08,129.49,53.47,1244.78,0.23,1245.01,997.5,247.51,247.51,63.82,183.69,183.69,168.59,0.0,10.9,10.87
2022-03-31,1414.16,0.0,1414.16,43.76,13.96,145.55,57.25,1153.64,0.4,1154.04,930.96,223.08,223.08,53.12,169.96,169.96,168.6,0.0,10.08,10.06
2022-06-30,1404.34,0.0,1404.34,49.34,12.97,48.28,51.12,1242.63,1.28,1243.91,930.48,313.43,313.43,75.23,238.2,238.2,168.61,0.0,14.13,14.11
2022-09-30,1672.18,0.0,1672.18,55.96,13.14,243.24,56.88,1302.96,-0.62,1302.34,964.13,338.21,338.21,75.3,262.91,262.91,168.62,0.0,15.59,15.57
2022-12-31,1787.22,0.0,1787.22,46.05,12.55,254.84,108.21,1365.57,0.18,1365.75,996.64,369.11,369.11,96.86,272.25,272.25,168.79,0.0,16.14,16.13
2023-03-31,1626.81,0.0,1626.81,62.99,12.57,144.88,52.98,1353.39,1.0,1354.39,1008.33,346.06,346.06,63.15,282.91,282.91,168.86,0.0,16.74,16.72
2023-06-30,1698.83,0.0,1698.83,64.26,12.56,60.46,62.63,1498.92,0.13,1499.05,1047.82,451.23,451.23,98.55,352.68,352.68,259.54,0.0,13.85,13.84
2023-09-30,1766.14,0.0,1766.14,67.23,11.27,44.82,77.7,1565.12,1.67,1566.79,1057.62,509.17,509.17,124.77,384.4,384.4,259.58,0.0,14.81,14.79
2023-12-31,1748.05,0.0,1748.05,63.1,13.02,59.1,84.01,1528.82,3.42,1532.24,1086.99,445.25,445.25,98.71,346.54,346.54,259.68,0.0,13.35,13.31
2024-03-31,1800.72,0.0,1800.72,69.54,14.13,6.63,79.42,1631.0,5.02,1636.02,1069.99,566.03,566.03,122.23,443.8,443.8,259.72,0.0,17.09,17.04
2024-06-30,1812.53,0.0,1812.53,83.87,13.31,-11.96,80.81,1646.5,9.48,1655.98,1097.25,558.73,558.73,120.02,438.71,438.71,259.73,0.0,16.89,16.84
2024-09-30,1867.53,0.0,1867.53,81.68,13.82,-45.61,93.79,1723.85,1.53,1725.38,1118.79,606.59,606.59,134.89,471.7,471.7,259.84,0.0,18.16,18.1
2024-12-31,1922.76,0.0,1922.76,80.07,14.34,-36.13,105.27,1759.21,2.13,1761.34,1158.23,603.11,603.11,131.68,471.43,471.43,259.86,0.0,18.14,18.07
2025-03-31,2029.94,0.0,2029.94,83.76,14.28,-64.85,106.35,1890.4,15.32,1905.72,1178.28,727.44,727.44,160.33,567.11,567.11,259.93,0.0,21.82,21.74
