Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,420.97,410.94,402.47,367.42,360.93,320.86,319.9,305.56,293.31,271.74,263.99,239.01,244.44,220.05,211.93,202.97,202.51,194.03,190.23,160.62,159.18,171.41,163.22,152.36,159.87,148.7,146.75,131.37,140.36,125.75,134.93,107.4,116.05,111.99,103.21,101.03,105.12,90.59,99.5,94.51,96.33,95.77,93.87,81.33,80.8,77.79,67.83,68.44,61.25,61.29
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.03,1.92,1.88,1.66,1.64,1.36,0.97,0.79,1.57,1.59,1.77,1.46,1.04,1.76,2.83,0.68,1.74,1.07
Total Income From Operations,420.97,410.94,402.47,367.42,360.93,320.86,319.9,305.56,293.31,271.74,263.99,239.01,244.44,220.05,211.93,202.97,202.51,194.03,190.23,160.62,159.18,171.41,163.22,152.36,159.87,148.7,146.75,131.37,140.36,125.75,134.93,107.4,118.09,113.92,105.09,102.69,106.76,91.95,100.46,95.3,97.9,97.36,95.64,82.79,81.84,79.55,70.66,69.12,62.99,62.36
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,135.12,135.43,145.02,125.3,117.03,111.46,104.88,99.4,101.18,99.12,102.46,92.08,87.32,88.36,87.53,76.7,73.12,60.61,63.3,48.88,55.59,54.67,53.34,43.41,46.24,51.06,45.36,42.55,45.54,42.27,41.47,37.86,40.14,36.92,32.3,35.65,32.1,30.45,34.8,34.42,33.15,36.42,34.14,27.56,27.1,25.64,22.14,21.77,20.02,20.18
Purchase of Traded Goods,2.51,3.32,1.21,0.89,1.35,1.05,2.85,1.77,1.31,0.44,1.16,2.3,5.3,0.49,3.37,1.5,0.9,0.46,0.85,0.87,0.06,0.34,0.08,0.23,8.19,1.07,5.11,0.17,1.34,1.29,0.61,1.13,0.98,1.62,1.36,1.72,1.54,2.1,1.68,1.44,1.07,1.78,2.12,1.56,0.84,1.95,1.73,1.45,0.95,1.3
Increase/Decrease in Stocks,6.28,1.48,-19.69,-5.11,5.69,-1.49,5.37,3.47,-3.47,-1.35,-4.3,-6.41,3.04,-3.41,-13.12,-9.32,-2.85,3.22,-6.48,3.88,-5.65,-0.85,-4.38,3.11,1.97,0.85,-3.95,-2.98,1.1,-5.07,1.14,-7.11,2.03,-2.1,-1.65,-2.54,2.66,-1.56,0.24,0.66,2.85,-2.7,-3.49,0.27,-2.38,-0.58,-1.61,-0.6,-0.75,-0.27
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,71.98,72.79,73.04,66.4,62.29,57.06,55.1,54.41,49.94,49.73,46.81,41.88,40.3,39.46,35.52,34.62,34.87,34.38,33.74,27.76,31.64,32.33,33.05,30.32,29.29,27.68,26.77,26.02,24.65,24.37,23.73,21.18,20.36,21.19,20.16,19.89,18.54,17.58,17.16,15.71,14.79,15.9,15.89,13.73,13.29,12.24,11.69,11.11,9.93,9.73
Depreciation,21.33,20.83,20.11,18.98,16.16,15.53,15.33,15.04,14.71,13.62,13.72,13.58,13.53,13.27,13.19,12.55,12.21,12.25,11.14,10.71,9.09,10.46,9.99,9.74,9.32,9.36,9.09,8.6,7.87,7.08,6.92,6.54,6.19,5.88,5.52,5.33,5.09,4.97,4.95,5.18,4.82,4.78,4.47,4.01,3.73,3.29,3.1,3.0,3.1,2.91
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,6.6,3.99,5.15,4.12,4.87,4.71,5.06,--,5.74,--,3.94,3.92,5.1,--,--,--,3.77,3.27,3.11,2.98,3.09,2.8,2.84,2.82,1.25,2.92,3.05,2.93,2.72,2.39,2.49,2.45,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,82.43,78.32,84.81,74.62,72.28,63.68,64.04,61.42,56.94,55.47,47.64,57.03,46.53,44.26,48.18,45.5,39.79,35.67,41.67,31.29,36.46,37.26,37.76,35.71,37.36,34.05,35.9,31.38,32.07,30.91,31.29,28.73,34.53,30.26,29.97,24.83,25.77,23.76,25.89,25.06,26.73,23.81,23.32,20.4,26.52,19.37,18.34,18.42,16.39,22.59
"P/L Before Other Inc. , Int., Excpt. Items & Tax",94.71,94.77,92.82,82.22,81.25,68.88,67.28,70.06,66.96,54.7,52.56,34.62,43.32,37.62,37.27,41.42,40.7,44.16,42.9,34.25,28.9,34.39,30.54,27.02,26.25,21.7,25.41,22.69,25.09,22.5,27.28,16.62,13.86,20.15,17.45,17.81,21.06,14.64,15.74,12.84,14.49,17.36,19.2,15.27,12.74,17.64,15.27,13.97,13.34,5.93
Other Income,23.95,21.75,27.24,16.83,15.66,16.56,12.78,13.17,8.66,14.35,8.71,4.58,9.0,7.17,12.29,10.23,7.43,4.79,3.62,3.45,5.42,3.98,5.01,4.17,4.65,3.75,4.11,3.33,4.66,3.55,2.52,3.65,3.99,2.89,2.2,2.03,1.94,1.74,2.99,1.71,1.23,3.97,0.75,0.5,0.61,0.26,0.15,0.03,0.13,0.1
"P/L Before Int., Excpt. Items & Tax",118.66,116.52,120.06,99.06,96.91,85.44,80.06,83.23,75.62,69.05,61.26,39.2,52.32,44.78,49.56,51.65,48.13,48.95,46.52,37.7,34.32,38.38,35.55,31.19,30.9,25.45,29.52,26.03,29.75,26.05,29.79,20.26,17.85,23.04,19.64,19.84,23.0,16.38,18.73,14.55,15.72,21.33,19.95,15.76,13.35,17.9,15.42,13.99,13.47,6.03
Interest,2.17,3.13,3.13,2.98,2.93,3.35,2.1,2.36,2.22,4.73,0.29,1.07,1.3,-0.75,0.03,3.02,-1.97,4.62,2.64,2.63,7.92,5.2,1.45,3.09,1.91,-0.86,6.44,3.81,3.22,1.76,2.41,2.11,1.55,1.98,1.6,1.88,2.05,2.2,1.53,1.99,1.74,2.8,1.74,1.94,2.91,1.61,1.4,0.58,1.88,1.46
P/L Before Exceptional Items & Tax,116.5,113.39,116.93,96.08,93.97,82.09,77.96,80.87,73.4,64.32,60.97,38.13,51.02,45.53,49.53,48.63,50.1,44.33,43.88,35.07,26.4,33.18,34.1,28.1,28.99,26.31,23.08,22.22,26.53,24.28,27.38,18.16,16.3,21.06,18.04,17.97,20.94,14.18,17.2,12.55,13.98,18.53,18.21,13.82,10.44,16.29,14.02,13.42,11.59,4.58
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19.58,--,6.21,--,--,--,--,--
P/L Before Tax,116.5,113.39,116.93,96.08,93.97,82.09,77.96,80.87,73.4,64.32,60.97,38.13,51.02,45.53,49.53,48.63,50.1,44.33,43.88,35.07,26.4,33.18,34.1,28.1,28.99,26.31,23.08,22.22,26.53,24.28,27.38,18.16,16.3,21.06,18.04,17.97,20.94,14.18,17.2,12.55,13.98,18.53,37.78,13.82,16.64,16.29,14.02,13.42,11.59,4.58
Tax,29.84,28.24,29.71,23.77,23.44,20.63,18.76,20.34,15.92,16.78,15.75,9.33,12.58,11.33,12.19,12.6,12.96,10.82,10.65,9.45,5.79,8.61,7.08,7.92,7.51,9.48,8.62,8.6,3.47,7.75,8.8,6.14,3.03,6.03,5.61,5.3,6.54,3.65,4.58,2.8,1.88,6.6,10.51,4.11,5.26,5.24,4.48,4.16,3.34,1.09
P/L After Tax from Ordinary Activities,86.66,85.15,87.22,72.3,70.53,61.46,59.21,60.52,57.48,47.54,45.22,28.8,38.44,34.21,37.34,36.03,37.14,33.52,33.24,25.62,20.61,24.56,27.02,20.18,21.48,16.83,14.46,13.62,23.06,16.54,18.59,12.02,13.27,15.04,12.43,12.66,14.41,10.54,12.61,9.75,12.1,11.93,27.27,9.71,11.38,11.04,9.55,9.25,8.24,3.48
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,86.66,85.15,87.22,72.3,70.53,61.46,59.21,60.52,57.48,47.54,45.22,28.8,38.44,34.21,37.34,36.03,37.14,33.52,33.24,25.62,20.61,24.56,27.02,20.18,21.48,16.83,14.46,13.62,23.06,16.54,18.59,12.02,13.27,15.04,12.43,12.66,14.41,10.54,12.61,9.75,12.1,11.93,27.27,9.71,11.38,11.04,9.55,9.25,8.24,3.48
Equity Share Capital,50.66,50.66,50.65,47.99,47.99,47.97,47.97,47.97,47.97,47.96,47.96,47.95,47.95,47.95,47.94,47.94,47.94,44.12,44.12,44.12,44.12,44.12,44.12,44.12,44.12,44.12,44.12,44.11,44.11,44.11,44.11,44.11,44.11,22.06,22.06,22.06,22.06,22.06,22.06,22.06,22.06,22.06,22.04,22.04,22.03,22.03,11.01,11.01,11.01,11.01
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,8.4,8.48,8.99,7.53,7.35,6.41,6.17,6.31,6.0,4.95,4.72,3.0,4.01,3.57,3.89,3.76,4.07,3.8,3.77,2.9,2.34,2.78,3.06,2.29,2.43,1.91,1.64,1.54,2.63,1.89,2.11,1.36,1.5,3.41,2.82,2.87,3.27,2.39,2.86,2.21,2.74,5.38,12.38,4.41,5.17,5.01,8.67,8.4,7.49,3.16
Diluted EPS,8.4,8.48,8.98,7.53,7.35,6.4,6.17,6.3,5.99,4.95,4.71,3.0,4.01,3.57,3.89,3.75,4.07,3.79,3.76,2.9,2.33,2.78,3.06,2.29,2.43,1.91,1.64,1.54,2.62,1.89,2.11,1.36,1.5,3.41,2.82,2.87,3.27,2.39,2.86,2.21,2.74,5.38,12.37,4.4,5.16,5.01,8.66,8.4,7.49,3.16
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.27,2.27,2.27,1.13,1.13,1.13,1.13,1.13,0.56,0.56,0.56,0.56
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,51.37,51.37,51.37,51.37,51.34,51.34,51.32,51.3,51.3,51.3,51.3,51.3
