Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Intangible Assets Under Development,Other Assets,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Dividend Remittance In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Preference Share Capital,Short Term Provisions,Capital Work-In-Progress,Non-Current Investments,Long Term Loans And Advances,Expenditure In Foreign Currency,Money Received Against Share Warrants,Deferred Tax Liabilities [Net],Inventories,Trade/Other Goods,Equity Share Application Money,Raw Materials,Revaluation Reserves,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Capital Goods
2004-03-31,11.38,27.38,42.96,42.96,0.0,70.33,86.22,0.0,0.0,92.69,124.17,42.26,74.65,245.45,408.47,39.25,0.0,0.0,0.0,39.25,1.15,0.0,49.4,0.0,4.83,69.17,37.21,0.0,359.07,408.47,1.94,0.0,0.0,1.67,7.52,0.0,16.0,4.37,0.0,9.0,0.0,0.06,0.0,6.47,247.86,0.0,0.0,5.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,11.38,27.38,52.67,52.67,0.0,80.04,163.5,0.0,0.0,176.06,185.6,102.15,117.34,409.33,665.43,117.54,0.0,0.0,0.0,117.54,0.85,0.0,127.14,0.0,4.12,193.44,43.94,41.68,538.29,665.43,1.62,0.0,0.0,1.49,7.6,0.0,16.0,4.25,0.0,8.75,0.0,0.03,0.0,12.56,255.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,14.39,47.48,92.21,92.21,0.0,139.7,172.71,0.0,0.0,189.68,289.01,134.0,217.04,645.34,974.72,155.66,0.0,0.0,0.0,155.66,0.85,0.0,164.66,0.0,3.82,227.8,50.27,0.91,810.06,974.72,1.63,0.0,0.0,0.8,7.6,0.0,33.09,5.29,0.0,8.15,0.0,0.03,0.0,16.98,527.27,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,16.93,163.03,179.85,179.85,0.0,342.88,647.06,0.0,0.0,679.01,371.14,215.7,492.9,1090.07,2115.19,209.22,0.0,0.0,0.0,209.22,1.3,0.0,226.3,0.0,5.67,562.06,80.03,0.89,1888.89,2115.19,0.88,0.53,0.0,2.76,13.35,0.0,146.1,10.32,0.0,15.79,0.0,0.32,0.0,31.95,1240.24,0.0,3.23,2.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,21.78,137.88,242.77,242.77,0.0,380.65,1151.2,0.0,0.0,1194.13,759.55,178.75,732.64,1709.8,3284.58,221.74,2.65,0.0,0.0,224.4,1.14,0.0,303.14,0.0,8.21,598.01,111.47,0.91,2981.44,3284.58,1.34,5.78,0.0,50.82,27.55,0.0,116.1,38.86,0.0,77.6,0.0,0.23,0.0,42.94,2262.84,0.0,0.0,17.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,21.78,137.88,272.78,272.78,0.0,410.66,1102.99,0.0,0.0,1153.51,1370.26,119.21,226.94,1740.33,3304.49,225.03,13.17,0.0,0.0,238.2,0.84,0.0,281.18,0.0,6.55,899.0,137.05,0.45,3023.32,3304.49,31.74,7.89,0.0,0.52,42.41,0.0,116.1,23.91,0.0,42.14,0.0,0.31,0.0,50.52,1980.27,0.0,0.0,22.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,21.78,137.88,326.71,326.71,0.0,464.59,1646.39,0.0,0.0,1695.13,1920.7,214.04,212.85,2399.56,4559.28,194.7,13.26,0.0,0.0,207.96,0.83,0.0,239.0,0.0,7.45,968.46,162.25,0.36,4320.28,4559.28,110.9,7.15,0.0,0.03,30.56,0.0,116.1,51.97,0.0,30.22,0.0,0.12,0.0,48.74,3181.76,0.0,0.0,36.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,25.95,172.84,536.8,536.8,0.0,722.14,1020.79,0.0,14.55,1073.64,3087.67,202.69,674.02,4050.33,5846.11,180.48,6.65,0.0,0.0,188.52,0.0,2893.54,3144.72,0.0,6.06,856.14,106.12,1732.89,2701.39,5846.11,694.07,5.24,0.0,0.07,30.23,0.0,146.88,85.95,1.39,29.88,32.78,0.91,12.5,38.29,0.17,19.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,37.95,180.61,1043.35,1043.35,0.0,1223.96,2065.17,0.0,21.75,2110.51,3749.37,221.71,620.12,4651.21,7985.68,172.68,5.79,0.0,0.0,178.8,0.0,4084.75,4384.74,0.0,8.61,789.1,99.22,2704.02,3600.94,7985.68,698.44,4.78,0.0,0.04,33.6,0.0,142.67,60.01,0.33,33.32,87.86,1.26,0.0,23.59,0.0,6.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,37.99,199.44,1135.61,1135.61,0.0,1335.05,3286.47,0.0,67.43,3410.05,5435.72,245.89,1272.03,6996.81,11741.9,162.03,3.89,0.0,0.0,174.42,0.0,173.35,6717.38,64.92,6.81,1163.96,3701.79,87.05,5024.52,11741.9,628.75,5.29,27.96,0.04,220.8,64.92,161.44,43.17,8.5,220.52,6149.1,0.6,0.0,56.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
