Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Purchase of Traded Goods,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,3361.67,0.0,3361.67,0.0,224.44,865.37,214.18,2057.68,128.55,2186.23,684.82,1501.41,-0.62,1500.79,371.73,1129.06,0.0,0.0,1129.06,4629.73,0.0,2.44,2.44,141.57,30.58,321.4,100.0,69.42
2013-03-31,3380.66,0.0,3380.66,63.5,221.55,904.89,257.65,1933.07,234.84,2167.91,674.72,1493.19,11.67,1504.86,395.42,1109.44,0.0,0.0,1109.44,4629.73,0.0,2.4,2.4,141.57,30.58,321.4,100.0,69.42
2013-06-30,3553.75,6.21,3559.96,23.02,231.78,964.4,246.02,2094.74,74.07,2168.81,759.85,1408.96,6.04,1415.0,374.66,1040.34,0.0,0.0,1040.34,4629.73,0.0,2.25,2.25,141.57,30.58,321.4,100.0,69.42
2013-09-30,3981.64,17.85,3999.49,114.89,229.88,965.98,266.04,2422.7,104.94,2527.64,801.41,1726.23,-5.49,1720.74,481.54,1239.2,0.0,0.0,1239.2,4629.73,0.0,2.67,2.67,141.57,30.58,321.4,100.0,69.42
2013-12-31,3683.29,1.26,3684.55,64.67,245.76,990.27,268.75,2115.1,114.76,2229.86,787.35,1442.51,-1.02,1441.49,399.45,1042.04,0.0,0.0,1042.04,5231.59,0.0,2.2,2.2,220.28,42.1,302.88,100.0,57.9
2014-03-31,3934.06,52.22,3986.28,16.81,234.26,1075.03,352.11,2308.07,197.36,2505.43,818.91,1686.52,0.0,1686.52,510.68,1175.84,0.0,0.0,1175.84,5231.59,0.0,2.24,2.24,220.28,42.1,302.88,100.0,57.9
2014-06-30,3938.42,3.43,3941.85,0.0,231.26,1155.03,337.73,2217.83,133.26,2351.09,927.94,1423.15,0.0,1423.15,286.64,1136.51,0.0,0.0,1136.51,5231.59,0.0,2.17,2.17,220.28,42.1,302.88,100.0,57.9
2014-09-30,4153.3,25.24,4178.54,0.0,257.05,1211.63,341.62,2368.24,130.72,2498.96,989.09,1509.87,0.0,1509.87,308.6,1201.27,0.0,0.0,1201.27,5231.59,0.0,2.3,2.3,220.28,42.1,302.88,100.0,57.9
2014-12-31,4352.44,1.18,4353.62,0.0,253.84,1300.69,359.66,2439.43,132.49,2571.92,1024.67,1547.25,0.0,1547.25,318.34,1228.91,0.0,0.0,1228.91,5231.59,0.0,2.35,2.35,220.28,42.1,302.88,100.0,57.9
2015-03-31,4662.19,41.03,4703.22,0.0,281.5,1418.05,363.27,2640.4,206.34,2846.74,1037.63,1809.11,0.0,1809.11,396.63,1412.48,0.0,0.0,1412.48,5231.59,0.0,2.7,2.7,220.28,42.1,302.88,100.0,57.9
2015-06-30,4689.34,0.54,4689.88,0.0,233.63,1377.9,321.71,2756.64,102.5,2859.14,1141.61,1717.53,0.0,1717.53,361.89,1355.64,0.0,0.0,1355.64,5231.59,0.0,2.59,2.59,0.0,0.0,0.0,0.0,0.0
2015-09-30,4848.16,17.77,4865.93,0.0,242.25,1447.84,321.85,2853.99,124.13,2978.12,1185.35,1792.77,5.96,1798.73,380.7,1418.03,0.0,0.0,1418.03,5231.59,0.0,2.71,2.71,0.0,0.0,0.0,0.0,0.0
2015-12-31,5322.53,46.96,5369.49,0.0,241.57,1585.01,339.75,3203.16,106.88,3310.04,1288.44,2021.6,-1.39,2020.21,413.96,1606.25,0.0,0.0,1606.25,5231.59,0.0,3.07,3.07,0.0,0.0,0.0,0.0,0.0
2016-03-31,5740.51,0.0,5740.51,0.0,276.27,1769.05,410.98,3284.21,243.98,3528.19,1519.53,2008.66,-4.62,2004.04,435.46,1568.58,0.0,0.0,1568.58,5231.59,0.0,3.01,3.01,0.0,0.0,0.0,0.0,0.0
2016-06-30,6069.06,50.8,6119.86,0.0,271.42,1757.27,428.8,3662.37,139.44,3801.81,1517.77,2284.04,-0.41,2283.63,1383.43,900.2,901.57,0.0,1801.77,5231.59,0.0,3.44,3.44,0.0,0.0,0.0,0.0,0.0
2016-09-30,6229.55,25.33,6254.88,0.0,255.32,1876.86,395.42,3727.28,225.32,3952.6,1587.6,2365.0,-4.18,2360.82,488.82,1872.0,0.0,0.0,1872.0,5231.59,0.0,3.58,3.58,0.0,0.0,0.0,0.0,0.0
2016-12-31,6500.95,128.81,6629.76,0.0,312.95,1965.34,357.59,3993.88,157.75,4151.63,1642.62,2509.01,-8.39,2500.62,570.6,1930.02,0.0,0.0,1930.02,5231.59,0.0,3.69,3.69,0.0,0.0,0.0,0.0,0.0
2017-03-31,6712.04,0.0,6712.04,0.0,537.44,2063.33,556.06,3555.21,342.41,3897.62,1555.84,2341.78,82.91,2424.69,508.33,1916.36,0.0,0.0,1916.36,5231.59,0.0,3.66,3.66,0.0,0.0,0.0,0.0,0.0
2017-06-30,7181.35,0.0,7181.35,0.0,403.6,2131.14,577.38,4069.23,208.48,4277.71,1762.42,2515.29,0.0,2515.29,532.4,1982.89,0.0,69.52,2052.41,5231.59,0.0,3.79,3.79,0.0,0.0,0.0,0.0,0.0
2017-09-30,7252.84,0.0,7252.84,0.0,328.83,2235.01,449.13,4239.87,239.68,4479.55,1867.28,2612.27,0.0,2612.27,552.32,2059.95,0.0,81.09,2141.04,5231.59,0.0,3.94,3.94,0.0,0.0,0.0,0.0,0.0
2017-12-31,7506.95,0.0,7506.95,0.0,400.89,2318.6,367.72,4419.74,278.09,4697.83,1955.45,2742.38,-101.93,2640.45,599.62,2040.83,0.0,0.0,2040.83,5231.59,0.0,3.9,3.9,0.0,0.0,0.0,0.0,0.0
