Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,58.37,69.21,46.06,70.23,52.52,53.05,70.81,59.13,56.77,54.04,46.05,50.69,44.9,38.29,45.06,53.03,37.48,44.67,28.16,39.1,50.23,39.47,39.33,43.78,41.84,37.03,28.6,33.8,23.88,24.39,19.01,24.42,22.75,27.94,22.16,28.06,23.51,21.85,19.66,25.22,25.25,23.6,24.05,26.48,35.93,29.02,23.89,31.11,34.05,31.26
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.62,0.76,0.74,0.71,0.6,0.7,0.59,0.46,0.93,0.68,0.59,0.64,0.76,1.2,1.14,1.0,1.25,0.78
Total Income From Operations,58.37,69.21,46.06,70.23,52.52,53.05,70.81,59.13,56.77,54.04,46.05,50.69,44.9,38.29,45.06,53.03,37.48,44.67,28.16,39.1,50.23,39.47,39.33,43.78,41.84,37.03,28.6,33.8,23.88,24.39,19.01,24.42,23.37,28.7,22.91,28.77,24.11,22.56,20.25,25.68,26.17,24.28,24.64,27.12,36.69,30.22,25.03,32.12,35.3,32.03
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,25.6,25.26,18.8,34.51,11.73,15.83,19.85,14.24,24.47,12.58,11.84,16.49,19.59,14.27,5.31,12.13,10.82,9.61,4.38,9.41,9.87,13.32,15.28,10.61,14.09,9.76,10.33,9.03,7.34,2.74,6.12,5.75,5.31,7.52,6.42,9.87,4.27,6.27,5.86,7.7,8.68,6.5,8.8,6.18,10.53,10.27,8.98,6.34,15.03,22.22
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,-2.01,-0.16,-5.67,-3.63,3.44,-0.32,3.4,1.03,-4.26,2.87,3.9,-1.19,-6.86,-3.94,6.46,1.18,-3.9,3.58,3.23,-3.7,4.09,-5.59,-6.16,2.24,-2.8,0.38,-3.94,-0.68,-0.43,4.97,-1.61,-0.93,-1.16,1.33,-0.85,-1.56,1.44,0.17,-1.84,-2.45,-0.17,0.02,-1.81,-2.79,4.94,0.17,0.07,-0.15,-1.34,-10.35
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.99,4.16,3.75,3.06,3.4,3.32,1.64,1.87,2.34,2.54,2.32,2.42,2.52,3.78,2.56,2.48,2.21,2.22,2.3,1.9,2.21,4.02,2.44,2.48,--,--,--,--
Employees Cost,7.44,6.94,6.58,7.66,6.95,6.44,6.69,7.0,5.89,5.59,5.03,5.37,5.39,4.36,4.9,5.19,4.6,5.41,4.77,5.09,5.89,5.51,5.12,4.66,5.28,5.04,4.48,5.01,4.3,4.19,3.13,4.49,4.51,4.38,4.13,1.4,5.2,4.47,3.99,4.84,3.0,4.19,4.03,4.83,3.9,4.25,3.19,4.62,4.16,4.05
Depreciation,4.56,4.12,4.02,4.08,4.11,4.09,4.09,4.11,4.13,4.13,4.11,3.62,3.67,3.63,3.63,3.57,3.65,3.56,3.89,2.81,2.63,2.43,2.35,2.41,2.45,2.88,1.35,1.75,1.42,1.32,1.29,1.38,1.42,1.38,1.37,--,1.51,1.1,1.42,1.6,1.63,1.59,1.54,1.04,1.26,1.05,1.03,1.15,1.07,1.04
