Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Money Received Against Share Warrants,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Government/Other Grants,Preference Share Capital,Revaluation Reserves,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Trade/Other Goods
2009-03-31,4.19,4.19,34.05,34.05,0.0,38.24,46.09,3.98,0.0,0.0,50.06,0.0,0.0,14.7,1.43,16.12,104.43,39.31,0.0,0.18,0.0,39.48,0.01,0.0,0.0,39.49,0.0,28.99,29.37,0.98,5.59,0.0,64.94,104.43,2.46,1.79,45.43,0.0,2.76,0.02,0.0,0.0,3.7,0.0,3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,4.19,4.19,36.99,36.99,0.0,41.18,41.11,4.45,0.0,0.0,45.55,0.0,0.0,13.33,2.35,15.68,102.42,40.98,0.0,1.27,0.0,42.25,0.01,0.0,0.0,42.26,0.0,29.76,24.21,0.32,5.87,0.0,60.15,102.42,5.44,1.29,25.32,0.0,2.76,0.04,0.0,0.0,3.18,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,4.19,4.19,40.15,40.15,0.0,44.34,10.31,5.18,0.01,0.64,16.14,37.24,17.66,6.28,0.57,61.76,122.24,46.64,0.39,2.92,0.0,49.95,0.01,1.44,0.0,51.4,0.0,39.09,22.71,1.52,3.33,4.19,70.84,122.24,13.93,0.75,0.0,40.0,2.76,0.04,0.0,0.0,2.73,0.0,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,4.19,4.19,47.19,47.19,0.0,51.38,14.07,5.71,0.0,0.75,20.53,42.69,22.96,7.53,0.57,73.76,147.67,51.85,0.31,6.32,0.0,58.49,0.01,4.03,0.0,62.52,0.0,48.66,26.64,1.57,4.82,3.46,85.14,147.67,10.68,0.87,0.0,52.31,2.76,0.03,0.0,0.0,7.4,0.0,4.05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,4.19,4.19,54.85,54.85,0.0,59.04,11.35,5.09,0.0,1.08,17.52,49.91,13.09,11.11,0.51,74.61,154.18,49.27,0.35,9.13,0.0,58.76,0.01,6.92,0.0,65.69,0.0,35.15,41.64,3.01,3.51,5.19,88.5,154.18,52.77,5.15,0.0,81.49,2.76,0.0,0.01,0.0,8.33,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,4.19,4.19,64.88,64.88,0.0,69.07,45.77,7.62,0.0,1.03,54.42,20.42,8.7,11.94,0.69,41.75,165.24,47.76,0.32,18.2,0.0,66.27,0.02,6.93,0.13,73.35,0.18,28.83,31.68,14.69,6.67,9.83,91.89,165.24,12.44,1.0,89.14,0.0,2.76,0.04,0.01,0.19,0.66,1.63,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,5.24,5.24,108.75,108.75,0.0,113.98,1.54,6.34,0.0,0.62,8.5,20.35,8.25,8.36,0.38,37.33,159.82,42.76,0.25,34.72,0.0,77.72,0.03,7.41,0.0,85.15,0.18,32.17,31.72,1.33,5.76,3.51,74.67,159.82,36.34,1.51,72.72,0.0,2.76,0.05,0.02,0.2,0.0,0.66,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,5.24,5.24,114.9,114.9,0.0,120.14,16.73,6.78,0.0,0.84,24.36,38.3,9.69,9.87,0.12,57.99,202.48,44.12,0.19,65.92,0.0,110.23,0.03,13.91,0.18,124.34,0.03,35.47,30.96,0.98,6.69,4.0,78.14,202.48,34.72,1.54,73.95,0.0,2.76,0.04,0.02,0.04,0.95,0.65,11.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,5.24,5.24,116.81,116.81,0.0,122.05,78.05,5.12,5.0,0.65,88.82,39.46,8.64,16.26,0.09,64.45,275.31,48.68,0.13,134.88,0.0,183.69,0.02,1.63,6.94,192.29,0.09,38.29,27.28,3.72,1.76,11.89,83.02,275.31,0.0,39.48,71.64,0.0,2.76,0.0,0.02,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,5.24,5.24,124.28,124.28,0.0,129.52,77.08,4.69,7.89,0.69,90.35,54.84,17.48,17.09,0.09,89.49,309.36,61.03,0.67,152.73,0.0,214.42,0.0,1.88,2.65,218.95,0.11,38.21,33.62,1.72,0.8,15.95,90.41,309.36,0.0,56.07,76.58,0.0,2.76,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
