Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Current Investments,Revaluation Reserves,Equity Share Application Money,Foreign Currency Monetary Item Translation Difference A/C,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency,Preference Share Capital,Deferred Tax Assets [Net],Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,19.29,19.29,58.11,67.86,0.0,87.15,81.67,17.6,0.0,0.0,99.28,53.43,38.66,8.58,5.57,106.25,293.18,93.42,4.75,2.69,0.0,100.86,8.65,0.0,14.07,124.32,28.88,54.75,2.4,82.83,0.0,168.86,293.18,2.5,0.0,8.21,0.0,0.0,8.65,0.0,0.0,9.74,0.0,0.0,1.48,0.0,0.0,0.0,0.98,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0
2005-03-31,19.29,19.29,79.31,88.98,0.0,108.27,131.76,21.09,0.0,0.0,152.85,82.81,48.86,7.4,6.44,145.52,406.77,115.34,35.3,17.37,0.0,168.01,0.01,0.0,7.78,176.39,60.66,61.51,6.79,101.42,0.0,230.38,406.77,21.78,0.0,13.85,0.0,0.0,0.01,0.0,0.0,9.67,0.0,0.0,1.83,0.0,0.0,0.23,0.77,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0
2006-03-31,19.29,19.29,114.04,123.64,0.0,142.93,214.49,23.97,0.0,0.0,238.46,127.49,47.69,7.67,7.63,190.48,571.87,197.85,59.6,3.76,0.0,261.21,7.21,0.0,2.84,273.34,63.84,90.29,4.27,140.12,0.0,298.52,571.87,18.24,0.0,31.58,0.0,2.22,5.08,0.0,0.0,9.61,0.0,0.0,2.26,0.0,0.0,1.02,1.85,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,19.29,76.97,146.32,155.86,0.0,232.83,417.09,27.86,0.0,0.0,444.96,193.15,62.75,7.83,20.36,284.08,961.86,224.88,59.6,44.23,0.0,328.71,25.29,0.0,0.0,355.44,73.79,129.58,208.98,194.07,0.0,606.42,961.86,29.67,0.0,69.38,7.87,3.7,21.34,0.0,0.0,9.54,0.0,0.0,4.69,0.0,0.0,5.25,33.29,57.68,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,20.49,20.49,212.09,221.57,0.0,242.06,345.89,34.52,0.0,0.0,380.41,194.14,73.33,7.13,48.94,323.54,957.36,287.63,59.6,40.92,0.0,388.14,33.57,0.0,0.0,424.06,76.79,138.97,83.15,234.39,0.0,533.29,957.36,18.65,0.0,56.47,7.45,10.73,17.45,0.0,0.0,9.47,11.35,0.0,1.94,0.0,0.0,4.87,18.23,0.0,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,20.49,20.49,199.25,208.66,0.0,229.16,336.74,46.94,0.0,0.0,383.68,363.62,77.43,9.19,49.26,499.5,1112.34,341.1,59.6,76.98,0.0,477.68,52.59,0.0,0.0,540.5,108.44,170.03,41.98,241.5,9.9,571.84,1112.34,25.38,0.0,61.3,2.61,0.8,49.93,0.0,0.0,9.41,0.0,0.0,4.03,0.0,0.0,16.16,10.35,0.0,10.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,26.37,26.37,560.77,570.11,0.0,596.48,271.12,53.46,0.0,0.0,324.57,175.03,86.26,11.33,47.94,320.55,1241.6,352.26,61.68,52.96,0.0,466.9,89.37,0.0,0.0,564.62,123.05,235.55,33.24,285.14,0.0,676.98,1241.6,83.98,0.0,75.66,0.0,0.0,89.37,0.0,0.0,9.35,0.0,0.0,2.44,0.0,0.0,1.32,7.88,0.0,8.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,26.51,26.51,615.61,624.89,0.0,651.41,44.02,49.75,1.56,2.33,97.66,264.87,83.99,212.59,56.92,618.36,1367.43,372.58,46.32,21.86,0.0,440.76,67.85,70.8,0.5,579.91,126.87,319.1,8.89,258.87,20.91,787.52,1367.43,162.89,0.0,124.59,0.0,0.0,67.85,53.02,52.87,9.28,0.0,0.0,2.27,1.2,1.18,8.48,13.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,26.54,26.54,659.5,668.72,0.0,695.26,338.35,56.33,1.83,4.02,400.53,277.71,118.73,151.61,15.28,563.33,1659.14,458.03,44.18,4.84,0.0,507.06,58.38,85.4,0.72,651.56,177.45,347.79,21.04,347.27,34.23,980.73,1659.14,227.6,0.0,239.65,0.0,0.0,58.38,53.22,52.96,9.22,0.02,26.85,5.21,1.19,0.98,13.74,79.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,26.58,26.58,692.46,701.61,0.0,728.19,413.98,58.83,0.04,4.34,477.18,305.43,117.25,154.0,20.99,597.67,1803.05,486.6,42.84,5.33,0.0,534.76,58.37,88.98,1.49,683.6,184.95,435.38,16.0,399.26,33.64,1119.45,1803.05,237.05,0.0,212.0,0.0,0.0,58.37,50.22,50.22,9.16,0.0,0.0,6.23,1.98,3.66,13.18,31.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
