Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Deferred Tax Assets [Net],Long Term Borrowings,Raw Materials,Other Non-Current Assets,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2004-03-31,7.0,7.0,106.03,106.03,113.03,0.0,0.0,0.0,75.16,217.49,66.95,2.12,1.2,287.76,475.95,35.54,0.0,35.54,5.02,0.0,41.47,76.48,202.09,145.25,10.66,0.0,434.48,475.95,0.0,0.02,2372.41,0.0,0.0,0.39,0.0,0.82,75.16,3015.45,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,7.0,7.0,141.15,141.15,148.15,0.0,0.0,0.0,30.82,611.33,30.65,11.67,5.19,658.84,837.82,47.97,0.29,48.25,5.03,0.0,54.11,56.56,110.51,585.85,30.78,0.0,783.71,837.82,0.04,0.01,4023.22,0.0,0.0,0.55,0.01,0.82,30.82,3780.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,7.39,7.39,228.88,228.88,236.27,0.0,0.0,0.0,38.24,1306.05,280.14,4.22,8.43,1598.83,1873.35,48.42,1.53,49.95,4.91,0.0,55.68,148.1,376.87,1210.81,81.89,0.0,1817.67,1873.35,0.08,0.05,5217.39,0.0,0.0,0.0,0.01,0.82,38.24,5307.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,7.39,7.39,301.68,301.68,309.07,0.0,0.0,0.0,691.7,2631.68,3331.69,2.61,8.65,5974.62,6975.39,51.75,1.93,53.68,6.3,0.0,60.82,95.66,896.7,5764.67,157.54,0.0,6914.57,6975.39,0.43,0.0,6383.15,0.0,0.0,0.0,1.4,0.82,691.7,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,25.06,25.06,763.86,763.86,788.92,0.0,0.0,0.0,380.93,589.89,4411.04,3.23,10.28,5014.44,6184.29,56.21,0.44,56.65,136.3,0.0,193.79,245.82,504.27,5002.37,238.04,0.0,5990.5,6184.29,126.89,0.01,8063.97,0.0,14.78,0.0,136.3,0.82,380.93,8233.96,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,25.7,25.7,888.13,888.13,913.84,0.0,0.0,0.0,391.97,1558.54,4568.49,23.49,18.31,6168.82,7474.63,64.39,0.5,64.88,384.91,0.0,450.62,174.29,547.27,5537.18,765.26,0.0,7024.0,7474.63,126.89,0.0,10538.91,0.0,14.78,0.0,384.91,0.82,391.97,11698.28,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,26.58,26.58,1117.63,1117.63,1144.21,0.0,0.0,0.0,328.03,1758.26,5324.93,37.67,31.45,7152.32,8624.55,70.66,0.0,70.66,4.42,0.0,75.9,413.5,612.06,6653.51,869.57,0.0,8548.65,8624.55,46.68,0.0,16253.6,0.0,14.78,0.0,1.41,0.82,328.03,18396.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,29.53,29.53,1567.25,1567.25,1596.77,0.0,5.2,0.41,5.61,2534.21,5906.17,480.25,20.59,8941.21,10543.59,71.38,0.0,71.38,3.42,0.61,76.23,377.34,1588.77,7815.0,450.74,235.52,10467.37,10543.59,13.76,20242.11,17580.95,0.0,14.78,0.0,3.42,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,29.53,29.53,1959.09,1959.09,1988.62,0.0,8.7,0.41,9.12,3256.67,6252.25,426.14,40.04,9975.1,11972.83,70.8,0.32,71.13,3.42,0.6,75.97,634.4,2601.79,7854.83,517.02,288.82,11896.86,11972.83,136.0,24910.82,23131.41,0.0,14.78,0.0,3.42,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,29.53,29.53,2385.04,2385.04,2414.57,0.0,8.25,0.41,8.67,2728.61,8049.91,571.84,66.54,11416.9,13840.13,69.43,0.35,69.78,3.42,0.6,74.62,775.3,2329.11,9845.76,459.67,355.67,13765.51,13840.13,11.94,30781.75,24683.64,0.0,14.78,0.0,3.42,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
