Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Provisions,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Trade/Other Goods
2004-03-31,9.0,9.0,30.48,30.48,39.48,5.22,8.81,0.0,14.03,7.83,24.73,5.16,1.02,38.73,92.24,41.99,0.26,0.99,43.25,0.0,0.0,0.0,43.25,0.0,25.83,15.57,3.59,4.0,0.0,48.99,92.24,36.07,0.44,13.81,0.0,3.07,0.0,0.0,0.0,0.0,0.0,15.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,9.0,9.0,41.68,41.68,50.68,44.51,14.36,0.0,58.87,5.93,43.07,5.6,2.52,57.11,166.65,81.73,0.26,24.76,106.75,0.04,0.0,0.0,106.79,0.0,23.49,21.6,7.96,6.81,0.0,59.86,166.65,106.28,0.55,23.98,0.0,3.07,0.0,0.04,0.0,0.0,0.0,23.53,0.0,15.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,9.0,9.0,72.65,72.65,81.65,93.17,20.28,0.0,113.45,12.9,50.75,10.72,3.9,78.26,273.36,160.33,0.26,0.18,160.77,0.01,0.0,0.0,160.78,0.0,58.8,34.67,10.14,8.98,0.0,112.58,273.36,86.27,0.77,54.41,0.0,3.07,0.0,0.01,0.0,0.0,0.0,49.67,0.0,11.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,9.0,9.0,131.57,131.57,140.57,107.34,31.96,0.0,139.31,76.99,136.02,10.79,11.93,235.73,515.6,250.49,0.0,8.37,258.86,0.01,0.0,0.0,258.86,0.0,164.87,60.75,11.3,19.81,0.0,256.74,515.6,192.81,2.17,72.14,0.0,3.07,0.0,0.01,0.0,0.0,0.0,185.75,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,9.0,9.0,214.22,214.22,223.22,90.57,45.47,0.0,136.04,61.19,121.29,36.78,13.27,232.53,598.7,263.49,0.0,21.75,285.24,0.01,0.0,0.0,285.25,0.0,150.27,114.04,19.84,29.31,0.0,313.45,598.7,233.53,6.78,97.59,0.0,3.07,0.0,0.01,0.0,0.0,0.0,259.23,0.0,12.61,6.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,9.0,9.0,275.25,275.25,284.25,122.54,53.55,0.0,176.09,68.13,148.51,18.7,15.23,250.57,714.87,365.88,0.0,19.98,385.85,0.01,0.0,0.0,385.86,0.0,101.0,123.06,52.11,52.84,0.0,329.01,714.87,130.61,10.73,250.21,0.0,3.07,0.0,0.01,0.0,0.0,0.0,268.27,0.0,57.38,3.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,9.19,9.19,352.48,352.48,361.67,94.17,58.09,0.0,152.27,225.97,73.99,13.5,22.1,335.57,852.56,359.94,0.0,2.97,362.91,50.05,0.0,0.0,412.96,0.0,167.57,166.31,24.3,81.43,0.0,439.6,852.56,206.41,6.86,66.6,0.0,3.07,50.04,0.01,0.0,0.0,0.0,337.47,0.0,8.51,3.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,9.28,9.28,427.71,427.71,436.99,61.27,53.68,0.0,114.95,178.34,197.89,51.45,15.44,443.13,995.06,346.19,2.43,12.18,360.8,0.01,6.56,0.0,367.37,7.0,351.81,174.72,47.41,46.72,0.03,627.69,995.06,74.95,8.45,50.01,0.0,3.07,0.0,0.01,0.0,7.0,0.0,450.74,1.58,21.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,9.28,9.28,523.2,523.2,532.49,54.7,35.66,0.0,90.36,219.84,95.51,54.92,21.26,391.54,1014.38,364.55,2.23,28.33,395.11,0.01,6.35,0.0,401.47,6.5,283.81,228.89,70.69,20.78,2.24,612.91,1014.38,91.14,26.11,288.59,0.0,3.07,0.0,0.01,0.0,6.5,0.0,325.78,5.09,21.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,9.28,9.28,637.43,637.43,646.71,42.02,39.96,0.0,81.98,77.26,100.6,89.07,33.07,300.0,1028.69,387.58,2.91,22.86,413.34,0.01,8.95,0.0,422.3,29.11,232.73,251.19,60.04,31.57,1.76,606.39,1028.69,164.97,17.29,343.76,0.0,3.07,0.0,0.01,0.0,29.11,0.0,246.74,14.85,23.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
