Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,271.8,0.0,271.8,177.23,0.03,-16.09,16.09,11.04,37.87,45.63,4.68,50.31,4.38,45.93,45.93,14.29,31.64,31.64,9.28,6.82,6.78,1.86,40.11,2.74,98.56,59.03
2013-03-31,345.26,0.0,345.26,215.43,1.86,5.12,20.51,11.14,34.22,56.98,4.71,61.7,2.72,58.98,58.98,19.5,39.49,39.49,9.28,8.51,8.46,1.86,40.06,2.74,98.56,59.08
2013-06-30,275.32,15.76,291.09,178.11,2.29,-2.08,19.75,10.75,36.2,46.06,3.04,49.1,2.03,47.07,47.07,17.05,30.02,30.02,9.28,6.47,6.44,1.85,39.96,2.75,98.56,59.18
2013-09-30,273.85,13.62,287.47,192.42,7.89,-27.45,18.76,10.96,45.79,39.1,3.09,42.2,2.06,40.14,40.14,14.08,26.06,26.06,9.28,5.61,5.58,1.85,39.78,2.76,98.57,59.36
2013-12-31,334.41,12.27,346.68,236.91,2.9,-7.16,20.15,12.21,29.42,52.25,3.98,56.22,2.59,53.63,53.63,17.69,35.94,35.94,9.28,7.74,7.7,1.85,39.78,2.76,98.57,59.36
2014-03-31,388.44,12.44,400.87,202.36,9.8,44.61,20.27,11.94,38.48,73.41,3.63,77.04,3.66,73.38,73.38,22.59,50.79,50.79,9.34,10.92,10.77,1.87,40.08,2.76,98.57,59.06
2014-06-30,330.59,18.85,349.44,256.45,0.77,-30.33,21.15,12.69,32.52,56.18,3.55,59.73,1.41,58.32,58.32,19.85,38.47,38.47,9.34,8.24,8.21,1.87,40.08,2.76,98.57,59.06
2014-09-30,417.67,20.39,438.07,321.82,0.13,-41.36,24.96,16.23,44.32,71.97,4.27,76.24,1.27,74.97,74.97,25.74,49.23,49.23,9.34,10.55,10.51,1.87,40.08,2.76,98.57,59.06
2014-12-31,487.18,12.34,499.52,327.67,0.09,6.28,24.4,13.52,46.3,81.26,1.39,82.65,3.62,79.02,79.02,26.5,52.52,52.52,9.35,11.24,11.24,1.88,40.14,2.76,98.57,59.01
2015-03-31,361.0,13.91,374.91,242.87,0.08,10.03,21.04,11.93,45.06,43.9,7.59,51.48,3.07,48.42,48.42,16.13,32.29,32.29,9.35,6.91,6.91,1.87,40.03,2.8,100.0,59.97
2015-06-30,420.45,9.34,429.8,279.07,1.39,-8.26,25.59,13.65,43.76,74.6,3.57,78.18,1.46,76.71,76.71,26.79,49.92,49.92,9.35,10.68,10.68,1.87,39.96,2.81,100.0,60.04
2015-09-30,398.78,9.65,408.42,249.91,0.08,24.8,24.79,14.22,51.1,43.51,3.76,47.27,1.25,46.02,46.02,13.65,32.37,32.37,9.35,6.93,6.93,1.86,39.73,2.82,100.0,60.27
2015-12-31,347.99,16.11,364.1,242.54,0.01,-2.04,24.33,14.11,44.04,41.12,5.56,46.67,2.05,44.62,44.62,10.32,34.3,34.3,9.35,7.34,7.34,0.0,0.0,0.0,0.0,0.0
2016-03-31,494.12,12.83,506.95,281.0,0.14,49.7,26.57,14.79,66.3,68.46,3.72,72.18,2.3,69.88,69.88,23.75,46.13,46.13,9.35,9.87,9.87,0.0,0.0,0.0,0.0,0.0
2016-06-30,338.44,0.0,338.44,241.6,1.3,-26.77,24.51,14.99,37.25,45.57,2.64,48.21,1.88,46.33,46.33,15.15,31.18,31.18,9.35,6.67,6.67,0.0,0.0,0.0,0.0,0.0
2016-09-30,313.21,8.67,321.88,198.21,0.0,7.4,24.7,14.28,39.76,37.53,3.97,41.49,0.84,40.65,40.65,12.11,28.54,28.54,9.35,6.11,6.11,0.0,0.0,0.0,0.0,0.0
2016-12-31,354.05,8.86,362.91,228.87,0.0,-12.59,25.2,15.12,44.92,61.39,3.04,64.43,1.07,63.36,63.36,18.6,44.76,44.76,9.35,9.58,9.58,0.0,0.0,0.0,0.0,0.0
2017-03-31,388.43,0.0,388.43,244.39,4.54,-6.45,23.4,15.32,54.07,53.16,3.42,56.58,1.47,55.11,55.11,15.3,39.82,39.82,9.35,8.52,8.52,0.0,0.0,0.0,0.0,0.0
2017-06-30,294.52,0.0,294.52,204.32,0.0,-17.81,23.41,15.24,37.49,31.87,2.99,34.86,1.47,33.39,33.39,10.33,23.06,23.06,9.35,4.94,4.94,0.0,0.0,0.0,0.0,0.0
2017-09-30,317.63,0.0,317.63,197.6,0.0,5.58,25.12,14.56,38.17,36.6,3.22,39.82,1.04,38.78,38.78,12.02,26.76,26.76,9.35,5.72,5.72,0.0,0.0,0.0,0.0,0.0
2017-12-31,535.6,0.0,535.6,390.13,0.0,-41.81,29.18,15.49,73.94,68.67,3.81,72.47,3.36,69.11,69.11,23.36,45.75,45.75,9.35,9.79,9.79,0.0,0.0,0.0,0.0,0.0
2018-03-31,619.07,0.0,619.07,443.41,0.0,-40.72,31.46,15.33,92.13,77.47,13.12,90.59,3.99,86.6,86.6,30.39,56.21,56.21,9.35,12.03,12.03,0.0,0.0,0.0,0.0,0.0
2018-06-30,609.35,0.0,609.35,434.32,0.0,-20.21,32.51,15.91,72.24,74.59,16.7,91.29,4.74,86.55,86.55,28.88,57.67,57.67,9.35,12.34,12.34,0.0,0.0,0.0,0.0,0.0
2018-09-30,730.33,0.0,730.33,535.0,0.0,-51.58,38.07,15.89,92.84,100.1,10.62,110.72,4.21,106.51,106.51,37.21,69.3,69.3,9.35,14.83,14.83,0.0,0.0,0.0,0.0,0.0
2018-12-31,728.48,0.0,728.48,512.36,0.0,-6.5,32.92,15.63,88.79,85.27,11.28,96.55,3.76,92.79,92.79,30.03,62.76,62.76,9.35,13.43,13.43,0.0,0.0,0.0,0.0,0.0
2019-03-31,686.74,0.0,686.74,455.61,0.0,45.03,25.58,15.0,61.39,84.14,2.62,86.76,2.06,84.7,84.7,21.51,63.2,63.2,9.35,13.53,13.53,0.0,0.0,0.0,0.0,0.0
2019-06-30,587.67,0.0,587.67,373.13,0.0,14.0,35.49,14.32,62.05,88.68,11.07,99.75,3.8,95.94,95.94,33.22,62.73,62.73,9.35,13.42,13.42,0.0,0.0,0.0,0.0,0.0
2019-09-30,610.33,0.0,610.33,411.48,0.0,-32.55,39.36,14.43,75.52,102.09,21.53,123.62,5.7,117.92,117.92,41.49,76.43,76.43,9.35,16.36,16.36,0.0,0.0,0.0,0.0,0.0
2019-12-31,756.05,0.0,756.05,511.08,0.0,-0.25,36.82,15.17,100.0,93.23,14.92,108.15,5.85,102.3,102.3,1.31,100.99,100.99,9.35,21.61,21.61,0.0,0.0,0.0,0.0,0.0
2020-03-31,629.09,0.0,629.09,454.48,0.0,-35.07,33.14,14.59,80.52,81.43,14.32,95.75,5.61,90.14,90.14,22.79,67.35,67.35,9.35,14.42,14.42,0.0,0.0,0.0,0.0,0.0
2020-06-30,578.07,0.0,578.07,352.8,0.0,61.94,32.85,14.31,56.83,59.34,12.69,72.03,5.3,66.72,66.72,17.04,49.69,49.69,9.35,10.63,10.63,0.0,0.0,0.0,0.0,0.0
2020-09-30,576.89,0.0,576.89,356.16,0.0,26.98,34.86,14.21,77.08,67.6,13.98,81.58,5.76,75.82,75.82,19.13,56.69,56.69,9.35,12.14,12.14,0.0,0.0,0.0,0.0,0.0
2020-12-31,440.79,0.0,440.79,244.2,0.0,18.17,33.42,13.35,65.12,66.53,13.58,80.12,6.0,74.12,74.12,13.99,60.13,60.13,9.35,12.86,12.86,0.0,0.0,0.0,0.0,0.0
2021-03-31,696.08,0.0,696.08,406.69,0.0,4.45,39.7,14.98,86.42,143.84,8.71,152.55,5.84,146.72,146.72,37.32,109.39,109.39,9.35,23.41,23.41,0.0,0.0,0.0,0.0,0.0
