Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Depreciation,Operating Profit before Provisions and contingencies,Provisions And Contingencies,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %
2015-06-30,434.05,162.45,6.03,2.34,125.9,438.21,88.97,92.03,0.0,111.56,22.65,0.0,88.91,28.59,60.32,60.32,297.19,0.0,2.03,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-30,475.05,180.83,7.52,0.96,112.29,474.43,91.18,90.19,0.0,120.85,22.3,0.0,98.55,31.62,66.93,66.93,297.19,0.0,2.27,2.21,161.61,82.16,0.93,0.48,0.94
2015-12-31,507.53,193.91,10.02,1.67,109.64,490.69,94.25,88.65,0.0,149.18,31.58,0.0,117.6,36.55,81.05,81.05,323.1,0.0,2.65,2.6,199.16,126.11,1.08,0.69,1.07
2016-03-31,536.17,208.19,16.27,1.32,142.71,521.77,95.52,78.19,48.36,160.82,37.88,0.0,122.95,38.76,84.19,84.19,324.73,2663.51,0.0,0.0,208.05,124.44,0.98,0.59,0.98
2016-06-30,582.8,259.84,19.29,1.76,167.54,619.03,100.29,127.45,0.0,184.46,42.6,0.0,141.86,44.52,97.34,97.34,328.55,0.0,2.99,2.97,252.61,147.8,1.13,0.66,1.02
2016-09-30,647.0,230.35,22.95,1.63,169.11,598.99,114.53,138.43,0.0,219.09,49.58,-28.47,141.04,51.15,89.89,89.89,369.81,0.0,2.6,2.44,274.65,137.97,1.1,0.55,0.91
2016-12-31,691.69,246.33,20.74,2.46,182.26,639.64,118.46,150.27,0.0,235.11,36.17,0.0,198.94,70.25,128.69,128.69,373.14,0.0,3.46,3.27,284.7,139.6,1.06,0.52,1.17
2017-03-31,717.91,244.95,22.51,0.95,236.55,634.16,112.86,194.1,0.0,281.75,82.1,0.0,199.65,69.52,130.13,130.13,375.2,0.0,3.48,3.29,356.84,189.94,1.2,0.64,1.2
2017-06-30,770.94,250.2,19.92,1.72,256.92,664.4,133.01,190.9,0.0,311.39,94.46,0.0,216.93,75.91,141.02,141.02,376.72,0.0,3.75,3.54,457.81,250.42,1.46,0.81,1.19
2017-09-30,819.05,252.91,18.07,1.26,241.07,671.13,143.54,214.54,0.0,303.15,74.89,0.0,228.26,77.64,150.62,150.62,415.59,0.0,3.78,3.62,487.24,260.81,1.44,0.78,1.19
2017-12-31,888.41,245.42,15.57,1.39,258.22,683.5,143.63,248.45,0.0,333.43,82.31,0.0,251.12,85.79,165.33,165.33,417.54,0.0,3.97,3.83,579.88,357.84,1.56,0.97,1.22
2018-03-31,952.5,249.64,16.59,3.98,311.98,722.25,130.5,298.84,0.0,383.1,112.86,0.0,270.24,92.12,178.12,178.12,419.67,0.0,4.26,4.14,566.73,312.56,1.4,0.78,1.25
2018-06-30,1077.4,260.83,18.82,7.17,325.97,811.52,153.0,293.35,0.0,432.32,140.35,0.0,291.97,101.93,190.04,190.04,420.93,0.0,4.52,4.41,595.94,315.77,1.4,0.75,1.26
2018-09-30,1173.38,261.39,22.98,5.68,333.11,870.46,150.91,326.12,0.0,449.05,139.68,0.0,309.37,104.83,204.54,204.54,430.77,0.0,4.84,4.73,644.97,338.55,1.4,0.74,1.26
2018-12-31,1330.41,273.83,24.21,10.48,374.06,983.85,164.06,366.61,0.0,498.47,160.68,0.0,337.79,112.6,225.19,225.19,428.11,0.0,5.3,5.21,695.54,358.24,1.38,0.72,1.27
2019-03-31,1468.64,297.39,45.23,22.86,409.23,1095.4,168.2,419.76,0.0,559.99,199.97,0.0,360.02,112.84,247.18,247.18,426.71,0.0,5.79,5.68,754.62,372.74,1.38,0.69,1.3
2019-06-30,1618.61,340.26,42.1,21.7,481.21,1205.35,184.54,495.19,0.0,618.8,213.18,0.0,405.62,138.57,267.05,267.05,427.71,0.0,6.25,6.11,789.21,371.64,1.38,0.65,1.31
2019-09-30,1720.24,339.02,56.12,10.77,441.53,1257.46,196.06,478.34,0.0,635.82,533.3,0.0,102.52,48.21,54.31,54.31,430.59,0.0,1.26,1.26,1539.1,912.3,2.6,1.56,0.25
2019-12-31,1761.44,354.72,35.51,5.66,486.97,1234.68,187.97,489.48,0.0,732.17,638.29,0.0,93.88,23.93,69.95,69.95,508.28,0.0,1.56,1.56,2010.48,1236.41,3.33,2.07,0.32
2020-03-31,1806.51,338.69,57.69,5.34,500.54,1187.25,199.86,556.82,0.0,764.84,614.08,0.0,150.76,36.4,114.36,114.36,508.7,0.0,2.25,2.24,2136.52,1189.37,3.62,2.05,0.52
2020-06-30,1799.09,332.89,96.3,6.71,333.33,1193.69,212.38,472.53,0.0,689.72,500.16,0.0,189.56,48.34,141.22,141.22,508.74,0.0,2.78,2.77,1992.07,932.68,3.45,1.65,0.6
2020-09-30,1647.09,334.67,87.02,8.48,456.21,1145.19,215.28,453.24,0.0,719.76,525.57,0.0,194.19,50.03,144.16,144.16,509.18,0.0,2.83,2.82,1911.72,775.77,3.34,1.38,0.62
2020-12-31,1564.4,352.59,53.33,9.57,579.87,1071.74,210.7,472.51,0.0,804.81,609.76,0.0,195.05,47.99,147.06,147.06,597.75,0.0,2.64,2.62,1050.21,402.46,1.84,0.71,0.62
2021-03-31,1513.12,343.03,55.28,10.97,688.43,1016.36,206.99,510.95,0.0,876.53,766.25,0.0,110.28,34.94,75.34,75.34,598.02,0.0,1.26,1.25,2601.53,1241.35,4.34,2.12,0.32
2021-06-30,1570.63,347.54,55.27,52.39,694.67,1056.33,231.53,625.19,0.0,807.45,1425.67,0.0,-618.22,-158.75,-459.47,-459.47,598.42,0.0,-7.68,-7.63,2911.28,1137.17,4.99,2.01,-1.88
2021-09-30,1515.35,336.01,90.37,33.07,592.85,1059.32,237.64,579.71,0.0,690.98,651.49,0.0,39.49,8.69,30.8,30.8,599.33,0.0,0.51,0.51,3130.93,1200.43,5.4,2.14,0.12
2021-12-31,1576.89,329.49,109.82,28.0,619.87,1033.78,253.38,746.14,0.0,630.77,423.88,0.0,206.89,50.79,156.1,156.1,599.45,0.0,2.6,2.59,2901.91,1075.54,4.84,1.85,0.61
2022-03-31,1654.01,334.52,106.65,35.78,511.35,999.62,278.99,706.28,0.0,657.42,400.67,0.0,256.75,58.92,197.83,197.83,599.51,0.0,3.3,3.3,2728.39,806.56,4.4,1.34,0.77
2022-06-30,1601.23,358.81,113.34,15.96,613.57,1061.61,309.02,803.16,0.0,529.12,253.0,0.0,276.12,74.96,201.16,201.16,599.52,0.0,3.36,3.36,2536.87,697.13,4.08,1.16,0.75
2022-09-30,1676.75,417.61,57.56,23.74,583.32,1111.25,341.01,794.37,0.0,512.35,241.5,0.0,270.85,69.3,201.55,201.55,599.52,0.0,3.36,3.36,2456.6,790.23,3.8,1.26,0.77
2022-12-31,1882.93,404.44,54.55,26.72,618.43,1220.49,332.94,866.44,0.0,567.2,292.74,0.0,274.46,65.49,208.97,208.97,599.53,0.0,3.49,3.47,2468.68,789.92,3.61,1.18,0.78
2023-03-31,1970.73,444.79,39.71,40.98,674.11,1285.04,357.37,934.13,0.0,593.78,234.7,0.0,359.08,88.03,271.05,271.05,599.57,0.0,4.52,4.49,2419.86,772.54,3.37,1.1,1.0
2023-06-30,2094.31,518.2,28.72,38.62,685.41,1433.68,341.16,942.93,0.0,647.49,266.19,0.0,381.3,93.19,288.11,288.11,599.64,0.0,4.81,4.78,2404.25,729.8,3.22,1.0,1.01
2023-09-30,2430.12,500.99,33.99,42.85,704.44,1532.97,374.73,1073.71,0.0,730.98,640.35,0.0,90.63,-203.45,294.08,294.08,601.36,0.0,4.9,4.82,2440.66,594.5,3.12,0.78,1.0
2023-12-31,2598.78,501.46,40.91,50.23,777.57,1645.52,398.87,1159.31,0.0,765.25,458.14,0.0,307.11,74.02,233.09,233.09,602.62,0.0,3.87,3.8,2551.05,635.64,3.12,0.8,0.75
2024-03-31,2679.25,513.4,58.15,88.29,875.47,1739.24,377.47,1210.82,0.0,887.03,413.79,0.0,473.24,120.6,352.64,352.64,605.1,0.0,5.84,5.73,2270.97,619.3,2.65,0.74,1.08
2024-06-30,2750.17,522.98,67.31,155.78,805.46,1796.27,368.01,1278.34,0.0,859.08,366.29,0.0,492.79,121.27,371.52,371.52,606.28,0.0,6.13,6.04,2377.82,638.94,2.69,0.74,1.14
2024-09-30,2829.05,527.41,93.11,81.36,927.36,1915.96,465.43,1167.01,0.0,909.89,618.33,0.0,291.56,69.04,222.52,222.52,607.68,0.0,3.67,3.63,2581.08,697.51,2.88,0.79,0.64
2024-12-31,2846.09,533.24,87.34,69.66,1073.33,1951.27,453.0,1208.76,0.0,996.63,1188.9,0.0,-192.27,-224.9,32.63,32.63,607.77,0.0,0.54,0.53,2701.0,481.64,2.92,0.53,0.09
2025-03-31,2799.45,563.65,54.69,57.78,1000.03,1912.55,448.0,1253.86,0.0,861.19,785.14,0.0,76.05,7.35,68.7,68.7,607.88,0.0,1.13,1.13,2465.47,270.79,2.6,0.29,0.2
