Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,551.69,551.69,695.4,695.4,1247.09,28.8,210.68,0.0,0.0,239.48,187.08,78.39,137.16,178.87,581.5,2068.07,874.91,0.14,19.39,0.0,894.44,0.17,0.0,13.01,939.17,0.0,391.39,397.06,32.31,308.14,0.0,1128.9,2068.07,475.58,0.32,0.16,0.0,0.0,0.17,101.01,0.0,1.69,31.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,551.69,551.69,729.35,729.35,1281.04,76.97,200.12,0.0,0.0,277.09,297.74,107.83,139.15,230.8,775.52,2333.65,888.87,0.19,60.35,0.0,949.41,0.17,0.0,9.62,1006.06,0.0,433.99,482.59,54.54,356.47,0.0,1327.59,2333.65,446.74,13.47,9.05,0.01,0.0,0.17,147.68,0.0,18.11,46.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,551.69,551.69,814.41,814.41,1366.1,125.13,193.34,0.0,0.0,318.47,312.11,325.61,168.28,192.0,998.0,2682.57,867.63,4.78,185.74,0.0,1058.15,0.17,0.0,4.6,1112.29,0.0,426.34,724.56,66.57,352.81,0.0,1570.28,2682.57,431.97,43.38,1.03,0.01,0.0,0.17,224.91,0.0,71.55,49.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,551.69,551.69,898.61,898.61,1450.3,177.93,216.91,0.0,0.0,394.84,777.3,248.8,172.36,207.31,1405.77,3250.91,1009.77,6.14,119.38,0.0,1135.29,0.17,0.0,3.0,1188.38,0.0,720.25,882.54,230.54,229.2,0.0,2062.53,3250.91,234.47,22.36,0.66,0.33,0.0,0.17,544.2,0.0,66.42,49.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,551.69,551.69,987.22,987.22,1538.91,162.29,223.29,0.0,0.0,385.58,1081.19,263.67,329.24,275.89,1949.99,3874.48,1047.89,6.25,114.68,0.0,1168.82,359.69,0.0,1.53,1587.24,0.0,865.52,1141.09,49.31,231.32,0.0,2287.24,3874.48,419.59,13.17,0.13,0.0,335.0,0.17,260.92,0.0,18.52,57.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,551.69,551.69,1121.35,1121.35,1673.04,133.84,220.15,0.0,0.0,353.99,1290.39,1187.45,452.86,405.89,3336.59,5363.62,1070.54,6.62,236.58,0.0,1313.74,35.61,0.0,0.62,1421.41,0.0,692.69,1788.17,404.5,422.28,634.57,3942.21,5363.62,267.61,1140.04,2.23,0.0,20.0,15.24,758.65,0.0,20.72,71.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,551.69,551.69,1285.45,1285.45,1837.14,258.1,219.95,0.0,0.0,478.05,1072.74,400.67,922.81,222.84,2619.06,4934.25,1242.71,0.0,140.05,0.0,1382.76,15.3,0.0,0.0,1454.27,0.0,409.59,858.98,784.65,813.71,613.05,3479.98,4934.25,125.23,1363.74,2.6,0.0,0.0,15.3,214.93,0.0,4.64,56.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,551.69,551.69,1460.04,1460.04,2011.73,167.66,155.51,85.36,108.42,516.95,254.21,508.65,311.86,145.46,1220.18,3748.86,1281.2,1.23,82.28,0.0,1364.71,15.32,98.47,13.85,1492.35,0.0,534.75,856.85,419.25,88.42,357.24,2256.51,3748.86,410.2,655.19,0.74,0.0,0.0,15.32,337.46,32.09,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,551.69,551.69,1619.51,1619.51,2171.2,275.26,214.11,72.45,127.06,688.88,909.95,1196.96,488.18,163.21,2758.3,5618.38,1394.38,2.77,177.31,0.0,1574.46,18.04,135.5,16.04,1744.04,0.0,1177.71,1978.24,592.28,85.04,41.07,3874.34,5618.38,634.93,1018.65,1.65,0.17,0.0,18.04,751.22,18.97,79.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,551.69,551.69,1803.6,1803.6,2355.29,216.37,243.05,43.84,103.85,607.11,1456.84,738.07,475.57,191.47,2861.95,5824.35,1415.04,1.67,184.25,0.0,1600.96,18.04,124.77,18.96,1762.73,0.0,1205.06,2579.21,175.74,71.36,30.25,4061.62,5824.35,548.26,822.65,1.67,0.01,0.0,18.04,673.5,14.32,53.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,551.69,551.69,1956.7,1956.7,2508.39,332.11,257.0,55.2,103.2,747.51,1334.98,492.97,331.39,199.61,2358.95,5614.85,1616.4,3.27,77.19,0.0,1696.86,17.86,131.49,30.96,1877.17,0.0,802.54,2769.09,70.95,37.08,58.02,3737.68,5614.85,438.78,258.17,1.68,0.0,0.0,17.86,476.13,29.09,65.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,551.69,551.69,2159.24,2159.24,2710.93,374.56,196.73,59.03,150.68,781.0,1509.89,596.72,405.48,235.78,2747.87,6239.8,1495.8,5.24,61.16,0.0,1562.2,0.17,224.67,9.83,1796.87,0.0,991.64,3297.36,85.33,38.81,29.79,4442.93,6239.8,1150.47,211.31,0.73,0.0,0.0,0.17,835.54,9.05,47.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,551.69,551.69,2277.43,2277.43,2829.12,152.88,210.6,191.18,144.96,699.62,2603.16,605.65,771.64,176.83,4157.28,7686.02,1490.98,5.58,149.97,0.0,1646.53,0.19,406.29,10.7,2063.71,0.0,1215.45,4311.42,3.15,74.31,17.98,5622.31,7686.02,1254.91,33.52,0.0,0.0,0.0,0.19,801.23,10.12,49.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,551.69,551.69,2373.33,2373.33,2925.02,113.84,218.81,242.88,141.61,717.14,1545.54,634.33,581.24,132.51,2893.62,6535.78,1538.24,3.35,107.24,5.25,1654.08,44.9,0.6,335.2,2034.78,0.0,793.3,3641.72,13.01,1.32,51.65,4501.0,6535.78,2022.63,0.0,0.0,0.0,0.0,44.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,551.69,551.69,2378.0,2378.0,2929.69,320.06,219.77,272.88,253.78,1066.49,934.59,703.11,553.87,135.8,2327.37,6323.55,1903.49,1.41,152.36,5.1,2062.36,62.4,0.41,329.19,2454.36,0.0,741.65,2860.41,5.96,6.86,254.31,3869.19,6323.55,2614.74,1200.6,0.0,0.0,0.0,62.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,551.69,551.69,2483.01,2483.01,3034.7,425.11,280.33,293.79,181.46,1180.69,2885.47,1155.09,522.71,141.83,4705.1,8920.49,1942.71,0.99,275.69,6.29,2225.68,86.34,0.27,297.26,2609.55,0.0,1478.78,4550.19,4.86,26.01,251.1,6310.94,8920.49,2352.02,1587.06,0.0,0.0,0.0,86.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,551.69,551.69,2634.58,2634.58,3186.27,600.91,196.94,294.79,188.55,1281.19,4076.87,996.73,617.3,142.14,5833.04,10300.5,2121.3,2.62,433.49,6.1,2563.51,263.0,20.53,203.7,3050.74,0.0,949.94,4551.23,3.36,6.5,1738.73,7249.76,10300.5,2778.26,1412.92,0.33,0.0,0.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,551.69,551.69,2786.78,2786.78,3338.47,1043.04,217.8,281.65,186.32,1728.81,819.52,905.79,714.36,119.23,2558.9,7626.18,2158.8,2.98,392.67,5.91,2560.36,650.19,15.32,185.27,3411.14,0.0,787.55,1449.54,1520.32,6.19,451.44,4215.04,7626.18,2539.37,1065.59,0.34,0.0,0.0,650.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,551.69,551.69,3337.54,3337.54,3889.23,1120.41,30.93,231.46,214.07,1596.87,1847.81,2861.65,219.48,123.14,5052.08,10538.18,2126.91,1.6,512.93,5.18,2646.62,933.88,187.56,10.22,3778.28,8.04,2327.61,3026.73,1164.26,5.18,228.08,6759.9,10538.18,979.95,3047.1,0.0,0.0,0.0,933.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,551.69,551.69,4046.63,4046.63,4598.32,1034.98,236.9,71.01,191.08,1533.97,827.67,2011.29,569.85,171.72,3580.53,9712.82,2537.2,0.43,211.48,4.99,2754.1,1002.39,0.0,309.72,4066.21,0.0,2585.41,2608.82,64.53,5.13,382.72,5646.61,9712.82,1332.41,4024.12,562.77,0.0,0.0,1002.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
