Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,3501.44,32.24,3533.68,35.55,0.87,25.0,36.22,3436.04,18.55,3454.59,2071.1,1383.49,1383.49,356.84,1026.65,0.0,1026.65,987.46,0.0,10.4,10.4,32.79,33.2,65.96,100.0,66.8
2013-03-31,3552.24,72.55,3624.79,37.29,1.09,0.0,137.01,3449.4,15.26,3464.66,2143.47,1321.19,1321.19,360.85,960.34,0.0,960.34,987.46,0.0,9.73,9.73,32.79,33.2,65.96,100.0,66.8
2013-06-30,3914.06,67.51,3981.57,37.7,1.0,0.0,130.86,3812.01,19.81,3831.82,2243.86,1587.96,1587.96,434.3,1153.66,0.0,1153.66,987.46,0.0,11.68,11.68,32.79,33.02,65.96,100.0,66.8
2013-09-30,4167.2,43.22,4210.42,34.48,1.1,0.0,145.2,4029.64,13.83,4043.47,2424.03,1619.44,1619.44,495.03,1124.41,-13.74,1110.67,987.46,0.0,11.25,11.25,32.79,33.2,65.96,100.0,66.8
2013-12-31,4328.97,43.96,4372.93,38.29,1.07,0.0,95.99,4237.58,32.24,4269.82,2593.8,1676.02,1676.02,448.35,1227.67,0.0,1227.67,987.46,0.0,12.43,12.43,32.79,33.2,65.96,100.0,66.8
2014-03-31,4396.16,46.35,4442.51,19.44,1.04,147.46,51.01,4223.56,47.49,4271.05,2623.35,1647.7,1647.7,455.7,1192.0,-0.3,1191.7,987.46,0.0,12.07,12.07,33.93,34.36,64.82,100.0,65.64
2014-06-30,4648.1,19.03,4667.13,34.93,1.87,14.37,2880.65,1735.31,39.57,1774.88,0.0,1774.88,1774.88,492.09,1282.79,0.0,1282.79,987.46,0.0,12.99,12.99,33.93,34.36,64.82,100.0,65.64
2014-09-30,4986.19,37.52,5023.71,33.76,1.77,0.0,40.64,4947.54,42.56,4990.1,2954.47,2035.63,2035.63,534.88,1500.75,0.0,1500.75,987.46,0.0,15.2,15.2,33.93,34.36,64.82,100.0,65.64
2014-12-31,5144.53,60.76,5205.29,26.92,1.65,2.06,211.33,4963.33,39.03,5002.36,3044.87,1957.49,1957.49,577.07,1380.42,-0.59,1379.83,987.46,0.0,13.97,13.97,33.93,34.36,64.82,100.0,65.64
2015-03-31,5293.26,40.14,5333.4,38.33,1.47,121.77,457.17,4714.66,37.36,4752.02,3092.98,1659.04,1659.04,561.83,1097.21,-0.71,1096.5,987.46,0.0,11.1,11.1,33.93,34.36,64.82,100.0,65.64
2015-06-30,5640.98,21.91,5662.89,35.5,1.34,24.14,218.07,5383.84,46.74,5430.58,3306.36,2124.22,2124.22,645.64,1478.58,0.0,1478.58,987.46,25279.84,14.97,14.97,0.0,0.0,0.0,0.0,0.0
2015-09-30,5827.05,66.32,5893.37,33.52,1.4,55.77,48.63,5754.05,31.36,5785.41,3516.62,2268.79,2268.79,649.6,1619.19,0.0,1619.19,987.46,0.0,8.2,8.2,0.0,0.0,0.0,0.0,0.0
2015-12-31,5987.25,30.7,6017.95,32.71,1.34,259.06,158.22,5566.62,19.5,5586.12,3706.61,1879.51,1879.51,509.65,1369.86,0.0,1369.86,987.46,23869.57,13.87,13.87,0.0,0.0,0.0,0.0,0.0
2016-03-31,6015.38,48.76,6064.14,35.71,1.37,464.39,56.78,5505.89,20.33,5526.22,3753.53,1772.69,1772.69,612.66,1160.03,0.0,1160.03,987.46,0.0,5.87,5.87,0.0,0.0,0.0,0.0,0.0
2016-06-30,5889.52,64.13,5953.65,36.85,0.56,356.53,50.71,5509.0,97.08,5606.08,3553.35,2052.73,2052.73,631.87,1420.86,0.0,1420.86,987.46,27630.3,14.39,14.39,0.0,0.0,0.0,0.0,0.0
2016-09-30,5755.86,200.96,5956.82,41.55,1.83,121.42,71.6,5720.42,151.73,5872.15,3425.48,2446.67,2446.67,695.4,1751.27,0.0,1751.27,1974.92,0.0,8.87,8.87,0.0,0.0,0.0,0.0,0.0
2016-12-31,5572.84,73.51,5646.35,39.74,1.32,15.33,54.33,5535.63,311.4,5847.03,3373.14,2473.89,2473.89,719.49,1754.4,0.0,1754.4,1974.92,0.0,8.88,8.88,0.0,0.0,0.0,0.0,0.0
2017-03-31,5717.39,76.58,5793.97,59.93,1.33,616.19,-8.04,5124.56,184.35,5308.91,3422.51,1886.4,1886.4,568.18,1318.22,1.01,1319.23,1974.92,0.0,6.68,6.68,0.0,0.0,0.0,0.0,0.0
2017-06-30,5463.23,108.33,5571.56,56.05,1.3,342.5,30.05,5141.66,90.6,5232.26,3342.54,1889.72,1889.72,588.58,1301.14,0.0,1301.14,1974.92,0.0,6.59,6.59,0.0,0.0,0.0,0.0,0.0
2017-09-30,5371.05,121.76,5492.81,36.38,1.3,310.48,29.49,5115.16,134.9,5250.06,3427.49,1822.57,1822.57,607.91,1214.66,0.0,1214.66,1974.92,0.0,6.15,6.15,0.0,0.0,0.0,0.0,0.0
2017-12-31,5470.08,28.37,5498.45,46.38,1.4,205.31,40.71,5204.65,104.29,5308.94,3434.16,1874.78,1874.78,578.37,1296.41,0.0,1296.41,1974.92,0.0,6.56,6.56,0.0,0.0,0.0,0.0,0.0
2018-03-31,5444.59,187.41,5632.0,38.06,1.61,557.26,60.89,4974.18,33.03,5007.21,3742.66,1264.55,1264.55,430.23,834.32,0.47,834.79,1974.92,0.0,4.23,4.23,0.0,0.0,0.0,0.0,0.0
