Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Trade/Other Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Long Term Borrowings,Long Term Loans And Advances,Deferred Tax Liabilities [Net],Raw Materials,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,"Stores, Spares And Loose Tools",Capital Goods
2004-03-31,29.39,29.39,75.47,75.47,0.0,104.86,0.0,0.0,70.97,0.0,0.0,95.09,30.05,125.14,300.96,13.74,0.0,0.17,0.0,0.0,13.91,0.2,0.0,0.0,14.11,78.82,133.99,24.73,49.31,0.0,286.85,300.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.27,0.0,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,60.7,60.7,255.55,255.55,0.0,316.25,0.0,0.0,114.14,0.0,0.0,112.16,26.55,138.71,569.11,14.92,0.0,0.08,0.0,0.0,15.0,158.93,0.0,0.0,173.94,95.19,233.95,8.92,57.11,0.0,395.17,569.11,57.11,0.0,31.18,0.0,15.13,50.62,0.0,0.0,112.44,0.0,1.7,767.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,63.08,63.08,304.55,304.55,0.0,367.63,0.0,0.0,102.66,99.33,173.14,47.86,43.54,363.87,834.16,16.75,3.89,0.51,0.0,0.0,21.15,177.56,1.1,0.0,199.81,177.95,344.31,33.07,65.62,13.4,634.35,834.16,451.35,0.0,34.12,0.0,14.94,64.09,0.0,177.56,100.2,0.0,2.45,964.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,77.87,77.87,457.16,457.16,0.0,535.02,0.0,0.0,103.08,217.06,265.5,76.39,75.1,634.06,1272.15,25.7,4.01,0.87,0.0,0.0,30.58,238.08,2.01,0.0,270.67,294.18,528.9,93.82,84.59,0.0,1001.48,1272.15,474.81,0.0,44.1,0.0,11.39,52.67,0.0,238.08,100.04,0.0,3.03,1105.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,77.87,77.87,491.69,491.69,0.0,569.56,0.0,0.0,252.55,0.0,0.0,387.22,36.94,424.16,1246.26,49.87,0.0,3.26,0.0,0.0,53.13,320.82,0.0,0.0,373.95,301.82,428.72,77.59,64.18,0.0,872.31,1246.26,395.63,0.0,0.0,14.11,79.94,0.0,0.0,320.82,252.26,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,77.87,77.87,536.52,536.52,0.0,614.39,0.0,0.0,3.59,289.91,387.98,105.27,41.71,824.88,1442.86,50.64,4.56,10.28,0.0,0.0,65.48,320.93,3.46,0.0,389.88,273.45,645.02,55.96,78.56,0.0,1052.98,1442.86,517.27,0.0,62.64,19.68,0.66,93.19,0.0,320.93,0.0,0.0,3.59,1277.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,78.64,78.64,597.34,597.34,0.0,675.98,0.0,0.0,26.15,350.52,491.72,133.69,50.98,1026.91,1729.04,61.14,5.93,1.31,0.0,0.0,68.39,459.05,3.65,0.0,531.09,422.41,678.55,19.96,77.02,0.0,1197.95,1729.04,519.15,0.0,55.16,22.49,0.03,53.2,0.0,459.05,25.0,0.0,1.15,1574.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,79.27,79.27,684.8,684.8,0.0,764.06,0.0,5.26,5.26,515.03,916.58,132.45,51.52,1615.58,2384.9,65.2,0.84,1.4,0.0,0.0,67.44,463.0,4.05,0.0,566.28,717.43,854.27,150.2,96.72,0.0,1818.62,2384.9,553.07,2922.1,17.44,22.57,2.48,121.26,0.0,463.0,0.0,31.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,79.72,79.72,829.26,829.26,0.0,908.97,0.0,6.64,6.64,620.72,964.39,121.49,19.38,1725.97,2641.58,71.71,0.44,8.68,0.0,0.0,80.83,590.43,5.07,0.0,713.72,816.99,834.17,61.82,214.87,0.0,1927.86,2641.58,746.43,3554.9,16.62,19.76,6.75,161.24,0.0,590.43,0.0,37.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,79.83,79.83,985.64,985.64,0.0,1065.47,0.0,7.1,7.1,619.27,925.63,194.19,19.82,1758.9,2831.47,66.55,0.18,15.3,0.0,0.0,82.03,659.12,6.75,0.0,817.53,771.86,933.02,150.38,158.68,0.0,2013.95,2831.47,800.5,2386.99,17.93,7.16,6.18,194.38,0.0,659.12,0.0,69.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
