Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,774.31,660.94,701.15,736.23,692.41,718.27,677.18,640.28,643.88,599.14,600.55,588.53,542.46,431.39,428.32,406.29,199.56,178.92,115.47,161.57,167.31,178.84,188.38,187.38,199.78,186.7,174.09,178.86,157.83,148.41,141.7,127.84,127.18,131.28,130.43,121.91,114.47,110.34,109.64,107.89,116.81,117.44,108.06,105.03,105.69,97.04,95.28,89.66,88.13,90.98
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.9,0.94,0.81,0.87,0.59,0.58,0.48,0.5,0.12,0.32,0.21,0.13,0.09,0.11,0.13,0.16,0.29,0.19
Total Income From Operations,774.31,660.94,701.15,736.23,692.41,718.27,677.18,640.28,643.88,599.14,600.55,588.53,542.46,431.39,428.32,406.29,199.56,178.92,115.47,161.57,167.31,178.84,188.38,187.38,199.78,186.7,174.09,178.86,157.83,148.41,141.7,127.84,128.08,132.23,131.24,122.78,115.06,110.92,110.12,108.39,116.93,117.76,108.28,105.17,105.78,97.15,95.41,89.82,88.41,91.17
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,264.78,267.8,238.81,238.93,215.49,267.3,271.55,241.54,200.97,252.07,206.04,208.1,211.99,152.99,141.55,164.55,86.21,70.19,48.99,69.8,67.64,74.05,74.76,80.11,78.81,83.91,72.37,68.54,63.72,55.35,53.75,50.07,48.95,53.48,51.27,45.17,46.07,44.62,45.73,44.3,47.56,51.11,41.12,42.03,41.06,40.0,37.34,38.64,37.4,39.94
Purchase of Traded Goods,199.37,298.46,175.01,101.84,151.42,182.53,209.12,178.12,121.04,220.19,182.71,156.49,71.91,180.03,191.4,123.46,61.53,27.97,30.86,46.48,25.34,30.13,30.84,34.54,45.26,40.02,30.24,29.82,25.81,22.06,25.6,23.51,28.48,23.1,25.0,20.04,16.24,17.23,17.34,15.21,17.5,18.3,15.51,15.0,15.44,13.62,12.96,11.77,11.14,12.61
Increase/Decrease in Stocks,41.37,-151.7,-8.75,99.56,65.62,9.6,-64.05,-0.77,103.15,-100.59,-26.41,-31.27,34.27,-61.21,-65.36,-37.97,-24.03,11.11,-12.2,-22.8,7.79,1.93,5.21,-2.48,-4.15,-13.98,-0.02,-0.23,-4.41,5.74,1.3,-0.7,-7.06,-4.02,-1.47,4.17,-0.15,-1.0,-1.54,0.69,-1.74,-2.5,3.21,-0.76,-2.29,-2.44,2.39,-2.29,-0.56,-1.51
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,56.65,57.96,61.51,58.5,64.76,52.29,55.04,52.8,39.8,40.02,38.08,34.41,30.64,30.14,27.81,32.38,18.6,15.89,12.67,14.01,13.97,15.08,14.53,13.63,13.93,13.47,13.39,11.9,11.8,11.38,12.2,10.04,11.67,10.7,10.55,9.03,10.28,9.85,10.21,9.8,9.73,9.55,9.18,8.64,8.9,8.17,7.85,6.55,6.78,6.51
Depreciation,19.92,19.42,18.45,17.28,18.67,16.76,15.44,13.41,10.0,9.27,9.1,9.2,8.53,8.2,7.71,7.79,3.6,3.39,3.19,3.0,2.99,2.6,2.37,2.27,2.23,2.16,1.98,1.7,1.74,1.75,1.64,1.52,1.72,1.59,1.53,1.53,1.55,1.47,1.34,1.31,1.22,1.19,1.77,0.8,0.98,0.95,0.9,1.08,1.02,0.92
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,115.63,101.88,106.75,109.7,105.5,104.55,104.31,114.72,86.97,87.72,85.03,83.66,87.54,64.2,58.88,59.1,22.48,24.71,20.65,26.61,24.86,26.38,28.26,27.13,32.3,31.9,29.58,27.92,27.8,24.66,25.02,18.62,20.63,23.88,19.68,18.95,20.09,21.14,21.09,18.4,23.59,21.67,19.34,20.07,21.19,18.12,17.06,17.58,17.53,16.62
"P/L Before Other Inc. , Int., Excpt. Items & Tax",76.59,67.12,109.38,110.42,70.96,85.23,85.77,40.47,81.95,90.47,106.0,127.95,97.58,57.04,66.33,57.0,31.17,25.66,11.3,24.47,24.72,28.66,32.41,32.17,31.41,29.21,26.56,39.2,31.36,27.47,22.19,24.77,23.68,23.5,24.67,23.9,20.98,17.62,15.95,18.69,19.07,18.44,18.15,19.4,20.51,18.74,16.91,16.48,15.1,16.07
Other Income,2.81,1.48,2.64,2.44,1.2,2.17,1.62,5.21,4.34,3.91,4.11,1.94,3.11,0.76,3.58,4.74,0.83,1.87,1.78,1.64,1.46,1.65,1.67,1.89,4.69,5.08,6.52,2.94,2.14,3.05,2.49,2.18,1.96,2.2,1.93,1.42,1.19,1.52,2.09,0.68,0.97,2.47,1.2,0.53,0.58,1.41,1.58,0.46,0.66,0.03
"P/L Before Int., Excpt. Items & Tax",79.4,68.61,112.01,112.86,72.15,87.4,87.38,45.67,86.29,94.37,110.1,129.88,100.69,57.79,69.91,61.73,32.0,27.54,13.08,26.11,26.19,30.32,34.09,34.06,36.1,34.29,33.07,42.14,33.5,30.52,24.69,26.95,25.64,25.7,26.59,25.32,22.17,19.13,18.03,19.37,20.04,20.91,19.35,19.93,21.09,20.14,18.49,16.94,15.76,16.1
Interest,4.09,2.98,2.89,5.1,3.02,0.77,7.13,14.81,7.45,-1.53,-0.12,-0.25,0.76,-0.93,2.6,3.86,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.0,0.0,0.0,0.0,0.0,--,0.0,0.0,0.03,0.0,0.01,0.0,0.04,0.01,0.02,0.01,0.12,0.34,0.44
P/L Before Exceptional Items & Tax,75.31,65.62,109.12,107.76,69.13,86.63,80.25,30.86,78.84,95.9,110.23,130.14,99.92,58.73,67.31,57.88,32.0,27.54,13.08,26.11,26.19,30.32,34.09,34.06,36.1,34.29,33.07,42.14,33.5,30.52,24.69,26.95,25.64,25.7,26.59,25.32,22.17,19.13,18.03,19.34,20.04,20.9,19.35,19.89,21.08,20.13,18.48,16.83,15.42,15.66
Exceptional Items,--,--,--,-309.36,--,--,--,-660.68,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,75.31,65.62,109.12,-201.6,69.13,86.63,80.25,-629.82,78.84,95.9,110.23,130.14,99.92,58.73,67.31,57.88,32.0,27.54,13.08,26.11,26.19,30.32,34.09,34.06,36.1,34.29,33.07,42.14,33.5,30.52,24.69,26.95,25.64,25.7,26.59,25.32,22.17,19.13,18.03,19.34,20.04,20.9,19.35,19.89,21.08,20.13,18.48,16.83,15.42,15.66
Tax,19.14,16.83,27.48,28.42,17.76,23.07,20.54,8.74,20.41,24.46,28.34,30.81,23.98,15.89,17.49,15.46,7.86,7.09,3.45,6.76,6.57,4.29,11.83,9.07,15.52,11.93,11.17,14.68,11.51,10.44,8.38,9.25,8.93,8.87,9.21,9.01,7.25,6.5,6.08,6.44,6.88,7.03,6.44,6.7,7.06,6.76,6.21,5.51,5.05,5.14
P/L After Tax from Ordinary Activities,56.17,48.79,81.64,-230.02,51.37,63.56,59.71,-638.56,58.44,71.45,81.89,99.32,75.95,42.83,49.82,42.42,24.14,20.44,9.63,19.35,19.62,26.02,22.25,24.99,20.57,22.36,21.91,27.46,21.99,20.09,16.3,17.7,16.71,16.83,17.38,16.31,14.92,12.63,11.96,12.9,13.16,13.87,12.91,13.19,14.02,13.36,12.27,11.32,10.38,10.52
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,56.17,48.79,81.64,-230.02,51.37,63.56,59.71,-638.56,58.44,71.45,81.89,99.32,75.95,42.83,49.82,42.42,24.14,20.44,9.63,19.35,19.62,26.02,22.25,24.99,20.57,22.36,21.91,27.46,21.99,20.09,16.3,17.7,16.71,16.83,17.38,16.31,14.92,12.63,11.96,12.9,13.16,13.87,12.91,13.19,14.02,13.36,12.27,11.32,10.38,10.52
Equity Share Capital,20.65,20.65,20.65,20.65,20.65,20.65,20.65,18.8,16.1,16.1,16.1,16.1,16.1,16.1,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,2.72,2.36,3.95,-11.14,2.49,3.08,2.94,-34.18,3.63,4.44,5.09,6.17,4.72,2.66,3.09,2.63,2.01,1.7,0.8,1.61,1.66,2.17,1.85,2.08,1.71,1.86,1.82,2.29,1.84,1.68,1.36,1.47,1.39,1.4,1.45,1.36,1.24,1.05,1.0,1.07,1.09,1.16,1.07,1.1,1.17,1.11,1.02,0.94,0.86,0.88
Diluted EPS,2.72,2.36,3.95,-11.14,2.49,3.08,2.94,-34.18,3.63,4.44,5.09,6.17,4.72,2.66,3.09,2.63,2.01,1.7,0.8,1.61,1.66,2.17,1.85,2.08,1.71,1.86,1.82,2.29,1.84,1.68,1.36,1.47,1.39,1.4,1.45,1.36,1.24,1.05,1.0,1.07,1.09,1.16,1.07,1.1,1.17,1.11,1.02,0.94,0.86,0.88
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,6.77,6.17,6.17
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30.38,30.38,30.38,30.38,30.38,30.38,30.38,30.38,30.38,30.38,56.38,51.39,51.39
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,8.36,5.24,5.84,5.84
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,69.62,69.62,69.62,69.62,69.62,69.62,69.62,69.62,69.62,69.62,43.62,48.61,48.61
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
