Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Money Received Against Share Warrants,Preference Share Capital,Revaluation Reserves,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Foreign Currency Monetary Item Translation Difference A/C,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2011-03-31,0.05,0.05,0.13,0.13,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,254.59,254.59,367.3,367.3,621.89,0.0,0.0,0.23,0.23,0.0,0.0,0.4,0.0,0.41,622.53,0.05,0.0,0.05,592.5,0.14,0.1,0.0,592.8,0.0,0.0,0.01,29.45,0.27,29.74,622.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,254.59,254.59,365.15,365.15,619.74,0.0,0.0,0.28,0.28,0.0,0.0,0.32,0.01,0.33,620.35,0.05,0.0,0.05,592.5,0.16,0.0,0.0,592.71,0.0,0.0,0.06,25.36,2.22,27.64,620.35,0.0,0.0,977.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,254.59,254.59,365.53,365.53,638.95,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,639.02,0.04,0.0,0.04,592.5,0.0,0.0,0.0,592.54,0.0,0.0,0.09,43.74,2.65,46.48,639.02,0.0,0.0,900.6,0.0,0.0,18.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,265.29,265.29,372.53,372.53,652.37,0.0,0.0,0.62,0.62,0.0,0.0,0.38,0.02,0.4,653.39,0.06,0.0,0.06,592.5,0.0,0.0,0.0,592.56,0.0,0.0,59.58,1.25,0.01,60.83,653.39,0.0,0.0,1060.58,0.0,0.0,14.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,276.45,276.45,408.33,408.33,684.78,0.0,0.0,0.83,0.83,0.0,0.0,0.71,0.02,0.73,686.33,0.06,0.0,0.06,592.5,0.15,0.0,91.56,684.27,0.0,0.0,1.8,0.0,0.26,2.06,686.33,0.0,0.0,1179.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,276.45,276.45,403.6,403.6,680.06,0.0,0.0,0.3,0.3,0.0,0.0,0.32,0.01,0.33,680.68,0.06,0.0,0.06,592.5,0.2,0.0,87.61,680.37,0.0,0.0,0.28,0.01,0.03,0.31,680.68,0.0,0.0,965.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,276.45,276.45,401.7,401.7,678.15,0.0,0.0,0.29,0.29,0.0,0.0,0.26,0.01,0.27,678.71,0.05,0.0,0.05,592.5,0.2,0.0,85.47,678.22,0.41,0.0,0.07,0.0,0.0,0.49,678.71,0.0,0.0,610.28,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,276.45,276.45,401.03,401.03,677.49,0.0,0.0,0.01,0.01,0.0,0.0,0.2,0.0,0.2,677.7,0.05,0.0,0.05,592.5,0.2,0.0,69.58,662.34,0.0,0.0,15.33,0.0,0.03,15.37,677.7,0.0,0.0,319.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,276.45,276.45,400.65,400.65,677.11,0.0,0.0,0.02,0.02,0.0,0.0,0.11,0.0,0.11,677.24,0.05,0.0,0.05,592.5,0.2,0.0,68.85,661.61,0.0,0.0,15.6,0.0,0.04,15.63,677.24,0.0,0.0,159.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
