Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,Trade/Other Goods
2004-03-31,4130.4,4130.4,907.27,907.27,5037.67,7090.97,0.0,0.0,0.0,7090.97,1597.79,1600.83,2805.17,4526.62,10530.41,22659.05,13091.61,62.24,382.2,0.0,13536.05,543.17,0.0,0.0,378.5,14457.72,3081.44,1549.96,2017.16,1552.77,0.0,8201.33,22659.05,3697.19,2422.18,125.56,0.0,1687.77,0.62,0.77,568.32,0.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,4130.4,4130.4,6176.25,6176.25,10306.65,5273.98,3032.05,0.0,0.0,8306.03,495.81,1994.03,2784.89,5387.15,10661.88,29274.56,12410.16,74.91,366.48,0.0,12851.55,606.71,1187.74,0.0,294.93,14940.93,4220.69,1908.45,6132.12,2072.37,0.0,14333.63,29274.56,4566.72,4566.46,94.95,20.96,1335.06,0.37,0.89,608.32,0.0,50.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,4130.4,4130.4,8471.01,8471.01,12601.41,3881.26,2889.53,0.0,0.0,6770.79,416.36,2111.23,3080.47,7236.44,12844.5,32216.7,11973.92,188.22,757.94,0.0,12920.08,292.0,1405.07,0.0,215.82,14832.97,6210.06,1881.73,6172.64,3119.3,0.0,17383.73,32216.7,5541.62,6082.12,78.78,48.55,1091.11,0.53,3.33,296.61,0.0,66.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,4130.4,4130.4,13182.75,13182.75,17313.15,3891.22,2707.79,0.0,0.0,6599.01,289.3,2183.31,3214.89,5550.78,11238.28,35150.44,11376.18,221.53,1236.04,0.0,12833.75,513.79,1295.13,0.0,129.15,14771.82,6651.47,2314.75,9609.83,1802.57,0.0,20378.62,35150.44,5605.9,7169.47,98.03,57.89,1169.48,0.07,4.31,521.61,0.0,111.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,4130.4,4130.4,18933.17,18933.17,23063.57,2784.43,2559.99,0.0,0.0,5344.42,260.81,2473.08,3927.84,6797.83,13459.56,41867.55,11257.06,314.25,2389.55,0.0,13960.86,538.2,991.39,0.0,59.48,15549.93,6857.23,3048.12,13759.44,2652.83,0.0,26317.62,41867.55,17143.54,6472.9,89.24,84.89,1233.99,0.0,5.12,546.02,0.0,350.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,4130.4,4130.4,23853.7,23853.7,27984.1,5856.78,2488.12,0.0,0.0,8344.9,1682.01,4156.77,3556.62,9408.21,18803.61,55132.61,11867.58,401.25,6544.24,0.0,18813.07,652.7,1155.97,0.0,0.0,20621.74,10121.45,3024.36,18228.53,3136.53,0.0,34510.87,55132.61,32193.13,12832.04,79.24,49.86,807.53,0.0,2.7,660.12,0.0,911.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,4130.4,4130.4,29186.3,29186.3,33316.7,13083.7,2446.81,0.0,0.0,15530.51,3427.55,4117.88,6818.98,6211.67,20576.08,69423.29,12162.54,1439.04,15039.83,0.0,28641.41,668.83,1031.89,0.0,0.0,30342.13,9027.46,3493.9,22436.37,4120.8,2.63,39081.16,69423.29,28382.46,10671.88,80.81,51.29,783.0,0.0,6.08,676.25,0.0,3389.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,4130.4,4130.4,32939.07,32939.07,37069.47,9052.56,1491.07,1096.52,3191.68,14831.83,10003.24,3186.54,8308.46,2683.45,24181.69,76082.99,13689.07,1369.44,22075.31,0.0,37133.82,684.14,0.0,1691.54,29.84,39539.34,11302.79,4130.27,17480.09,1246.09,2384.41,36543.65,76082.99,0.0,12677.39,129.73,0.0,980.46,0.0,7.49,691.56,456.62,2352.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,4130.53,4130.53,35680.79,35680.79,39811.32,11586.66,1644.48,1089.9,3513.44,17834.48,4510.55,3190.42,8681.46,2308.79,18691.22,76337.02,15717.45,1409.93,28049.14,0.0,45176.52,684.94,0.0,2003.4,40.87,47905.73,13742.37,4761.32,6415.7,1385.77,2126.13,28431.29,76337.02,0.0,16073.8,161.48,0.0,1230.01,0.0,6.71,692.36,425.13,1226.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,4130.53,4130.53,36894.11,36894.11,41024.64,13485.55,1728.53,1271.12,4204.16,20689.36,8015.02,3322.04,8654.7,2512.7,22504.46,84218.46,15234.63,1542.77,35890.85,0.0,52668.25,718.36,0.0,3165.17,50.7,56602.48,16008.21,4424.18,3850.35,990.69,2342.55,27615.98,84218.46,0.0,12886.26,324.49,28.09,1157.95,0.0,8.1,725.78,508.35,1369.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,4130.53,4130.53,38535.82,38535.82,42666.35,13632.22,2040.46,1381.3,3901.28,20955.26,10634.48,3205.34,12478.51,2021.95,28340.28,91961.89,25256.52,1514.13,33650.54,0.0,60421.19,720.2,0.0,3794.32,135.43,65071.14,15200.82,5481.98,2855.95,1160.51,2191.49,26890.75,91961.89,0.0,13404.62,458.34,61.46,1496.96,1056.26,8.27,727.62,486.32,1706.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
