Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2021-03-31,284.49,284.49,84.18,48.97,50.52,106.87,-6.05,6.39,0.34,17.63,-17.29,0.0,-17.29,0.0,-17.29,-17.29,52.79,-3.28,-3.29
2021-06-30,242.95,242.95,70.16,42.97,44.96,104.97,-20.11,9.42,-10.69,15.14,-25.83,0.0,-25.83,0.0,-25.83,-25.83,52.79,-4.89,-4.89
2021-09-30,342.2,342.2,101.5,67.7,42.67,129.66,0.67,7.52,8.19,16.99,-8.81,0.0,-8.81,0.0,-8.81,-8.81,63.54,-1.39,0.0
2021-12-31,414.68,414.68,126.12,50.32,43.22,146.39,48.63,7.41,56.04,16.41,39.63,0.0,39.63,0.0,39.63,39.63,63.54,6.24,6.18
2022-03-31,398.33,398.33,121.13,50.69,49.3,148.96,28.25,9.75,38.0,18.19,19.81,0.0,19.81,0.0,19.81,19.81,63.54,3.12,3.09
2022-06-30,473.3,473.3,146.11,55.89,54.26,170.29,46.73,5.83,52.56,18.13,34.43,0.0,34.43,0.0,34.43,34.43,63.54,5.42,5.36
2022-09-30,487.29,487.29,156.28,62.84,56.3,176.04,35.83,7.1,42.93,18.86,24.07,0.0,24.07,0.0,24.07,24.07,63.54,3.79,3.74
2022-12-31,514.37,514.37,162.56,59.97,61.18,186.57,44.1,7.02,51.12,19.5,31.62,0.0,31.62,0.0,31.62,31.62,63.54,4.97,4.91
2023-03-31,487.82,487.82,153.16,63.59,64.96,181.45,24.66,9.0,33.66,22.98,10.68,0.0,10.68,-125.27,135.94,135.94,63.54,21.39,21.18
2023-06-30,561.58,561.58,170.12,69.55,64.25,210.59,47.07,7.43,54.51,20.53,33.98,0.0,33.98,8.65,25.33,25.33,63.59,3.99,3.94
2023-09-30,545.46,545.46,164.72,71.65,68.09,207.06,33.94,8.34,42.28,22.54,19.74,0.0,19.74,4.79,14.95,14.95,63.68,2.35,2.32
2023-12-31,568.54,568.54,170.53,72.21,78.23,216.01,31.56,6.35,37.91,24.43,13.48,0.0,13.48,3.44,10.04,10.04,63.69,1.58,1.56
2024-03-31,548.0,548.0,165.03,73.72,78.51,215.2,15.54,9.99,25.53,25.67,-0.14,0.0,-0.14,-2.29,2.15,2.15,63.7,0.34,0.33
2024-06-30,617.34,617.34,185.45,78.33,80.71,240.01,32.84,5.24,38.08,25.57,12.51,0.0,12.51,3.17,9.34,9.34,63.77,1.47,1.45
2024-09-30,590.75,590.75,175.99,78.49,79.04,238.35,18.89,8.56,27.44,25.51,1.94,-16.96,-15.03,0.43,-15.46,-15.46,63.97,-0.49,-0.49
2024-12-31,638.34,638.34,192.48,79.59,90.88,251.25,24.15,6.31,30.47,26.0,4.47,0.0,4.47,1.01,3.46,3.46,64.14,0.11,0.11
2025-03-31,604.64,604.64,184.78,78.93,75.42,251.29,14.23,12.7,26.92,27.78,-0.86,-3.88,-4.74,-1.08,-3.66,-3.66,64.24,-0.11,-0.11
