Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Interest Earned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Int. /Disc. on Adv/Bills,85709.69,83399.48,81528.57,78692.57,77133.8,73516.97,70259.53,67127.94,63679.17,58865.01,52382.94,46473.53,44610.57,43752.74,42316.89,41143.53,40213.71,43736.75,43377.57,44101.11,42579.66,48063.33,45242.45,43863.4,42627.75,41820.5,38326.5,38865.48,34234.86,35185.39,35801.23,36141.69,29861.16,29831.27,29933.82,29883.76,29242.48,28860.22,28981.65,28581.66,28268.54,28646.37,27869.18,27559.82,26949.22,26309.65,25378.74,23846.49,23064.21,22800.19
(b) Income on Investment,29456.17,29286.3,28023.64,28265.23,28200.51,28430.73,27002.31,25006.96,25293.73,24525.36,23669.56,22439.62,21839.64,21593.07,21074.66,20369.83,20376.88,20472.07,20253.66,18705.48,17316.46,17231.98,16701.2,16955.08,17913.78,18824.41,19080.46,18587.51,18278.36,18146.84,17314.71,16597.71,13507.03,12608.66,11385.23,10704.39,11007.91,10712.0,10564.66,10019.41,9982.75,9484.73,9060.97,8559.32,8228.2,8227.6,8137.33,7360.76,7035.03,7071.97
(c) Int. on balances With RBI,1129.09,1243.9,980.89,1062.13,1165.76,1274.53,1290.59,1359.31,844.52,732.26,735.91,1178.32,923.8,1187.73,1231.31,1035.07,1365.93,648.24,508.94,1794.42,948.87,736.41,844.93,390.19,398.91,306.31,229.26,244.59,255.89,275.11,773.2,945.79,887.7,488.69,194.44,182.64,105.02,101.85,179.93,234.27,158.9,151.51,104.67,90.04,98.37,92.03,105.78,113.13,166.14,109.74
(d) Others,3371.23,3496.95,3337.46,3506.05,4542.56,3511.55,2826.37,2481.24,3133.64,2493.41,3071.18,2584.9,3359.24,3144.58,4858.63,3016.0,3145.12,1877.44,2673.94,1899.37,1836.41,1660.27,1523.81,1429.14,2044.94,1325.39,1157.26,1115.6,3172.17,1195.55,960.58,1220.23,3136.68,996.97,805.36,822.73,2586.36,879.43,931.32,807.55,1690.97,263.57,227.79,277.94,581.83,241.18,300.27,397.95,518.81,361.72
Other Income,24209.88,11040.76,15270.55,11161.87,17369.25,11458.9,10790.63,12063.38,13961.4,11467.73,8874.27,2312.2,11880.15,8673.42,8207.6,11802.74,16225.32,9246.15,8527.69,7957.48,13346.11,9105.92,8538.39,8015.42,12685.12,8035.23,7814.5,6679.49,12494.78,8084.17,10579.91,8005.66,10327.5,9661.92,8424.14,7335.08,10585.2,6177.51,6197.25,5087.98,8515.25,5237.8,4570.75,4252.09,6585.65,4190.3,3277.8,4474.29,5546.68,3648.49
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest Expended,76891.55,75981.12,72251.02,70400.53,69387.44,66918.05,61878.84,57070.5,52558.55,48547.42,44676.15,41480.44,39535.39,38990.72,38297.59,37926.0,38034.64,37914.56,38632.61,39858.82,39914.48,39913.2,39712.07,39699.02,40031.55,39585.62,37887.79,37014.82,35967.0,36115.37,36263.82,37299.41,29321.85,29174.05,27881.39,27281.21,27540.59,26947.03,26405.01,25910.86,25389.4,24769.54,23988.01,23234.88,22954.81,22229.94,21670.7,20206.45,19705.77,19189.16
Employees Cost,18005.2,16073.72,14807.35,15465.97,16348.1,19361.82,18926.39,16600.67,17616.43,14756.65,12867.35,12051.41,12556.03,12471.48,12577.8,12538.29,13382.78,13118.01,12570.15,11865.06,12038.67,11455.62,11302.59,10918.09,10477.99,11171.93,9696.37,9708.42,9254.17,8496.79,7703.24,7724.48,6242.25,7137.29,6853.19,6256.55,6942.78,6122.57,6142.09,5906.38,6566.54,5842.03,5563.93,5564.57,5279.16,5867.13,5818.54,5539.45,5612.36,4351.23
Other Expenses,17693.27,12861.74,12789.0,10372.77,13928.79,11576.73,11947.58,9070.73,12116.37,9560.42,10070.34,8704.16,10805.15,8367.7,8734.62,7928.06,10209.39,7614.92,7679.28,6212.63,8340.58,7206.53,7121.66,6789.96,8227.87,6929.34,6679.52,6796.3,7331.71,6520.33,6899.6,6013.13,6129.51,4732.91,4784.09,4336.98,4851.7,4063.49,4041.82,3711.53,4251.11,3877.94,3859.5,3152.02,3581.48,3345.22,3399.0,2895.45,3252.1,2660.96
