Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Revaluation Reserves,Long Term Borrowings,Deferred Tax Liabilities [Net],"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments
2004-12-31,16.62,16.62,121.22,123.81,140.43,0.0,0.0,9.03,0.04,54.91,1.43,13.78,70.16,219.62,77.25,3.48,6.09,86.82,2.72,0.67,0.0,0.0,90.21,59.22,49.66,2.58,17.95,0.0,129.41,219.62,22.22,51.66,11.12,3.84,42.47,2.72,4.52,1.65,1.11,2.59,0.0,9.03,0.0,0.0,6.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-31,16.62,16.62,162.42,164.95,181.57,0.0,0.0,7.82,11.19,64.26,1.43,16.83,93.71,283.1,79.63,3.48,27.19,110.3,2.72,0.99,0.0,0.0,114.01,69.52,65.6,7.98,25.99,0.0,169.09,283.1,31.15,65.4,13.25,2.99,72.01,2.78,4.52,1.62,1.11,2.53,0.0,7.82,0.0,0.0,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-31,16.62,16.62,228.54,231.01,247.63,0.0,0.0,6.19,0.0,86.77,1.55,16.28,104.6,358.42,107.75,3.48,27.97,139.2,2.65,1.01,0.0,0.0,142.86,91.87,85.82,12.29,25.53,0.05,215.56,358.42,46.6,93.86,16.61,2.99,84.78,6.9,4.52,1.54,1.11,2.47,0.0,6.19,0.0,0.0,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-31,16.62,16.62,299.07,301.48,318.1,0.0,0.0,6.63,0.0,99.95,1.69,17.06,118.7,443.43,127.75,3.48,11.06,142.29,1.22,0.0,0.0,0.0,143.51,98.28,104.67,63.93,32.14,0.9,299.92,443.43,49.44,124.72,19.36,0.0,89.63,6.6,4.52,1.21,1.11,2.41,0.0,6.63,0.0,0.0,10.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-31,16.62,16.62,386.04,388.39,405.01,0.0,0.0,9.4,0.0,115.12,1.63,21.69,138.44,552.85,144.87,3.48,15.1,163.45,0.32,3.64,0.0,0.0,167.41,159.29,114.5,63.55,48.1,0.0,385.44,552.85,96.62,206.63,21.1,3.41,111.42,4.82,4.52,0.32,1.11,2.35,0.0,9.4,0.0,0.0,17.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-31,16.62,16.62,442.83,445.12,461.74,0.0,0.0,8.9,0.0,121.44,1.65,20.36,143.45,614.09,138.09,3.52,6.83,148.44,0.32,4.39,0.0,0.0,153.15,100.73,108.91,173.07,78.23,0.0,460.94,614.09,91.15,222.37,34.98,3.84,54.18,4.16,4.52,0.32,1.1,2.29,0.0,8.9,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-31,16.62,16.62,554.61,556.84,573.46,0.0,0.0,7.71,0.0,177.17,1.71,22.29,201.17,782.34,137.44,3.56,8.6,149.6,0.32,4.78,0.0,0.0,154.7,127.02,131.45,288.01,81.16,0.0,627.64,782.34,83.34,324.33,31.89,3.84,99.68,0.74,4.52,0.32,1.1,2.23,0.0,7.71,0.0,0.0,8.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-31,16.62,16.62,711.26,713.42,730.04,1.44,19.43,24.04,0.0,175.4,45.22,22.1,242.72,996.8,178.26,0.06,56.84,235.16,0.0,0.0,120.17,0.0,355.33,162.25,214.3,233.42,22.08,9.42,641.47,996.8,185.49,163.22,46.83,4.26,156.75,1.28,4.52,0.0,0.0,2.16,0.0,3.17,8.02,255.63,71.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-31,16.62,16.62,860.78,862.88,879.5,1.52,22.94,30.9,0.0,178.61,41.77,12.88,233.26,1143.66,278.22,0.94,113.55,392.71,4.35,0.0,75.43,0.46,472.95,142.21,254.71,194.82,75.54,3.43,670.71,1143.66,111.7,171.16,54.61,8.52,200.82,2.86,4.52,0.0,4.35,2.1,0.0,6.44,10.32,300.86,71.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-31,16.62,16.62,970.89,972.93,989.55,1.61,20.5,39.52,0.0,240.47,48.85,14.88,304.2,1333.27,398.34,0.55,13.43,412.32,4.35,0.0,176.51,0.46,593.64,170.58,290.6,237.66,34.71,6.08,739.63,1333.27,73.28,173.13,49.17,4.26,221.94,1.41,4.52,0.0,4.35,2.04,0.0,17.41,10.91,325.77,38.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
