Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,260.81,1.89,262.7,197.6,0.0,-26.19,36.36,5.86,53.45,-4.38,0.37,-4.01,5.97,-9.98,-10.0,-19.98,0.0,-19.98,-19.98,47.82,-0.84,-0.84,6.36,26.6,17.55,100.0,73.4
2012-12-31,402.29,11.58,413.87,261.54,0.0,22.58,36.57,5.59,76.39,11.2,1.85,13.05,6.57,6.48,0.0,6.48,0.0,6.48,6.48,47.82,0.27,0.27,6.36,26.6,17.55,100.0,73.4
2013-03-31,300.9,1.65,302.55,215.28,0.0,-13.24,38.13,8.69,51.96,1.73,2.34,4.07,13.53,-9.46,0.0,-9.46,0.4,-9.86,-9.86,47.82,-0.41,-0.41,5.23,21.9,18.68,100.0,78.1
2013-06-30,271.12,1.95,273.07,195.3,0.0,-8.75,34.77,6.12,55.1,-9.47,0.58,-8.89,6.12,-15.01,0.0,-15.01,0.0,-15.01,-15.01,47.82,-0.63,-0.63,5.23,21.9,18.68,100.0,78.1
2013-09-30,263.48,2.03,265.51,208.22,0.0,-21.89,36.11,5.42,64.21,-26.56,0.66,-25.9,5.89,-31.79,0.0,-31.79,0.0,-31.79,-31.79,47.82,-1.33,-1.33,5.23,21.9,18.68,100.0,78.1
2013-12-31,413.86,2.17,416.03,276.98,0.0,34.3,38.05,5.83,81.66,-20.79,0.61,-20.18,6.24,-26.42,-15.9,-42.32,0.0,-42.32,-42.32,47.82,-1.77,-1.77,5.23,21.9,18.68,100.0,78.1
2014-03-31,260.33,0.71,261.04,201.26,0.0,-15.74,34.54,5.34,85.45,-49.81,43.18,-6.63,7.78,-14.41,-21.4,-35.81,0.0,-35.81,-35.81,47.82,-1.5,-1.5,5.98,25.0,17.93,100.0,75.0
2014-06-30,256.85,2.51,259.36,186.15,0.0,-2.22,39.69,5.93,49.58,-19.77,0.95,-18.82,9.06,-27.88,0.0,-27.88,11.42,-39.3,-39.3,47.82,-1.64,-1.64,5.98,25.0,17.93,100.0,75.0
2014-09-30,253.55,1.66,255.21,229.24,0.0,-38.63,38.7,5.89,44.7,-24.69,2.03,-22.66,8.69,-31.35,0.0,-31.35,0.0,-31.35,-31.35,47.82,-1.31,-1.31,5.98,25.0,17.93,100.0,75.0
2014-12-31,471.84,2.54,474.38,295.88,0.0,60.78,38.67,6.37,60.76,11.92,0.64,12.56,10.92,1.64,0.0,1.64,0.0,1.64,1.64,47.82,0.07,0.07,5.98,25.0,17.93,100.0,75.0
2015-03-31,320.61,0.75,321.36,250.51,0.0,-9.2,34.62,6.68,54.56,-15.81,66.12,50.31,9.83,40.48,0.0,40.48,0.0,40.48,40.48,47.82,1.69,1.69,5.98,25.0,17.93,100.0,75.0
2015-06-30,331.3,1.47,332.77,257.78,0.0,-21.72,39.34,6.46,54.57,-3.66,3.5,-0.16,11.72,-11.88,-1.73,-13.61,0.0,-13.61,-13.61,47.82,-0.57,-0.57,5.98,25.0,17.93,100.0,75.0
2015-09-30,281.76,1.23,282.99,212.08,0.0,-22.22,40.24,6.36,43.72,2.81,6.98,9.79,12.16,-2.37,0.0,-2.37,0.0,-2.37,-2.37,47.82,-0.12,-0.12,5.98,25.0,17.93,100.0,75.0
2015-12-31,485.05,2.04,487.09,336.86,0.0,30.14,44.2,6.42,58.31,11.16,10.06,21.22,11.48,9.74,0.0,9.74,0.0,9.74,9.74,47.82,0.4,0.4,0.0,0.0,0.0,0.0,0.0
2016-03-31,296.82,2.95,299.77,207.53,-0.24,-0.68,39.55,6.55,53.05,-5.99,1.48,-4.51,7.44,-11.95,0.0,-11.95,0.0,-11.95,-11.95,47.82,-0.56,-0.56,0.0,0.0,0.0,0.0,0.0
2016-06-30,275.07,2.66,277.73,237.82,8.48,-58.65,42.78,6.19,43.75,-2.64,0.03,-2.61,8.25,-10.86,-2.84,-13.7,0.0,-13.7,-13.7,47.82,-0.75,-0.75,0.0,0.0,0.0,0.0,0.0
2016-09-30,264.78,2.2,266.98,167.96,2.49,9.1,42.37,6.17,35.22,3.67,1.4,5.07,9.11,-4.04,-2.17,-6.21,0.0,-6.21,-6.21,47.82,-0.43,-0.43,0.0,0.0,0.0,0.0,0.0
2016-12-31,426.2,1.6,427.8,243.43,5.2,49.17,47.34,6.4,67.08,9.18,11.65,20.83,8.92,11.91,-2.22,9.69,0.0,9.69,9.69,47.82,0.23,0.23,0.0,0.0,0.0,0.0,0.0
2017-03-31,292.36,0.0,292.36,212.49,2.15,-4.19,38.56,6.75,190.44,-153.85,10.46,-143.39,6.21,-149.6,0.0,-149.6,0.0,-149.6,-149.6,47.82,-6.43,-6.43,0.0,0.0,0.0,0.0,0.0
2017-06-30,288.77,0.0,288.77,200.31,0.75,3.89,47.38,6.53,45.03,-15.12,1.16,-13.96,9.54,-23.5,0.0,-23.5,0.0,-23.5,-23.5,47.82,-1.02,-1.02,0.0,0.0,0.0,0.0,0.0
2017-09-30,269.73,0.0,269.73,199.66,1.25,-12.11,45.2,6.52,42.16,-12.96,13.53,0.57,11.49,-10.92,0.0,-10.92,0.0,-10.92,-10.92,47.82,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0
2017-12-31,470.46,0.0,470.46,326.42,2.59,15.61,46.19,7.28,77.84,-5.47,8.67,3.2,10.51,-7.3,0.0,-7.3,0.0,-7.3,-7.3,47.82,-0.3,-0.3,0.0,0.0,0.0,0.0,0.0
2018-03-31,285.02,0.0,285.02,242.65,10.37,-55.04,45.8,6.55,52.71,-18.02,7.08,-10.94,12.02,-22.95,0.0,-22.95,0.0,-22.95,-22.95,47.82,-0.9,-0.9,0.0,0.0,0.0,0.0,0.0
2018-06-30,343.32,0.0,343.32,239.08,1.69,5.79,45.67,7.05,28.96,15.08,4.85,19.93,10.58,9.35,-1.68,7.67,0.0,7.67,7.67,47.82,0.32,0.32,0.0,0.0,0.0,0.0,0.0
2018-09-30,319.15,0.0,319.15,232.15,1.82,1.36,50.57,6.69,38.78,-12.22,2.93,-9.29,10.96,-20.25,-6.94,-27.19,0.0,-27.19,-27.19,47.82,-1.14,-1.14,0.0,0.0,0.0,0.0,0.0
2018-12-31,437.35,0.0,437.35,284.94,0.55,36.05,54.44,6.16,36.25,18.96,5.54,24.5,11.41,13.09,-19.39,-6.3,0.0,-6.3,-6.3,47.82,-0.26,-0.26,0.0,0.0,0.0,0.0,0.0
2019-03-31,284.25,0.0,284.25,200.99,4.04,-7.4,49.07,5.89,55.18,-23.51,36.39,12.88,11.43,1.46,0.0,1.46,0.0,1.46,1.46,47.82,0.06,0.06,0.0,0.0,0.0,0.0,0.0
2019-06-30,357.52,0.0,357.52,254.11,0.83,9.28,53.08,5.41,37.23,-2.42,4.27,1.85,11.8,-9.95,0.0,-9.95,0.0,-9.95,-9.95,47.82,-0.42,-0.42,0.0,0.0,0.0,0.0,0.0
2019-09-30,314.04,0.0,314.04,231.23,1.05,-9.96,54.46,5.35,46.17,-14.27,3.66,-10.61,13.29,-23.9,0.0,-23.9,0.0,-23.9,-23.9,47.82,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
2019-12-31,480.69,0.0,480.69,312.4,0.94,22.15,54.04,5.74,50.24,35.17,7.17,42.34,12.31,30.03,0.0,30.03,0.0,30.03,30.03,47.82,1.26,1.26,0.0,0.0,0.0,0.0,0.0
2020-03-31,229.59,0.0,229.59,144.37,0.23,16.41,47.93,5.33,33.66,-18.34,1.91,-16.43,10.68,-27.1,1.35,-25.75,0.0,-25.75,-25.75,47.82,-1.08,-1.08,0.0,0.0,0.0,0.0,0.0
2020-06-30,208.03,0.0,208.03,200.06,2.61,-63.48,47.58,6.11,33.93,-18.78,1.66,-17.12,12.24,-29.35,0.0,-29.35,0.0,-29.35,-29.35,47.82,-1.23,-1.23,0.0,0.0,0.0,0.0,0.0
2020-09-30,369.62,0.0,369.62,219.53,1.71,36.29,45.47,5.57,36.09,24.95,3.97,28.92,12.77,16.15,-9.89,6.26,0.0,6.26,6.26,47.82,0.26,0.26,0.0,0.0,0.0,0.0,0.0
2020-12-31,472.31,0.0,472.31,316.67,4.5,8.01,46.01,5.0,48.78,43.34,1.85,45.19,11.85,33.34,0.0,33.34,0.0,33.34,33.34,47.82,1.39,1.39,0.0,0.0,0.0,0.0,0.0
2021-03-31,247.18,0.0,247.18,172.43,1.52,-3.57,48.1,5.4,33.56,-10.27,11.05,0.78,11.34,-10.56,-0.7,-11.25,0.0,-11.25,-11.25,47.82,-0.47,-0.47,0.0,0.0,0.0,0.0,0.0
