Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12,Jun '12,Mar '12
Net Sales/Income from operations,1246.8,912.17,633.23,764.01,695.11,743.81,889.02,1219.5,890.5,644.4,587.2,731.6,655.4,815.5,511.6,553.3,670.7,349.7,906.5,876.0,802.4,1171.8,1410.0,772.3,640.9,534.7,719.8,632.9,608.0,636.7,542.3,533.0,527.2,579.2,521.0,384.7,439.7,448.9,481.4,646.8,668.6,567.7,564.0,530.4,474.2,555.1,426.1,394.0,423.5,475.8
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,10.1,10.7,11.1,12.8,12.7,9.5,11.2,8.1,7.5,8.1,8.0,8.7,8.8,0.5,0.4,0.9,0.8,5.6,1.5,1.1,1.6,11.8,2.7,1.8,5.1,0.8,0.6,1.3,1.0,0.8,1.2,1.1
Total Income From Operations,1246.8,912.17,633.23,764.01,695.11,743.81,889.02,1219.5,890.5,644.4,587.2,731.6,655.4,815.5,511.6,553.3,670.7,349.7,916.6,886.7,813.5,1184.6,1422.7,781.8,652.1,542.8,727.3,641.0,616.0,645.4,551.1,533.5,527.6,580.1,521.8,390.3,441.2,450.0,483.0,658.6,671.3,569.5,569.1,531.2,474.8,556.4,427.1,394.8,424.7,476.9
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,63.15,59.63,60.27,64.05,73.79,78.22,72.98,112.9,97.4,90.1,65.6,69.9,45.7,45.3,37.3,64.1,46.6,27.7,69.2,66.6,83.6,80.8,99.4,61.5,61.8,52.9,67.4,63.7,59.6,63.3,64.1,52.8,42.4,38.7,41.1,39.2,39.9,40.3,48.2,43.7,48.6,47.7,52.4,42.1,34.6,31.8,22.1,25.8,28.1,36.3
Purchase of Traded Goods,349.88,329.7,245.15,238.14,242.11,246.18,259.26,342.8,215.0,288.1,103.2,146.0,218.3,202.7,30.6,157.0,143.5,21.5,38.5,88.9,193.5,250.9,24.5,386.0,202.0,202.7,171.7,160.5,155.5,160.1,192.6,134.3,104.8,114.5,69.6,84.0,98.5,122.4,--,--,--,--,--,--,--,--,--,--,--,--
Increase/Decrease in Stocks,-78.47,-367.08,-1190.91,-218.36,-148.93,-196.75,96.0,-201.1,-505.9,-576.4,-135.5,-154.6,-121.8,-8.4,10.2,-273.8,-40.6,-47.3,-30.4,-5.1,-186.5,-94.4,294.9,-227.5,-158.3,-170.9,27.3,-20.1,-1.3,-6.3,-530.8,-206.6,-31.5,28.4,40.5,-73.1,-95.2,-139.2,-52.6,37.3,3.3,-226.6,-173.3,-77.4,-64.1,-21.8,-60.0,-74.1,7.1,-32.5
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,104.01,99.59,92.96,91.81,90.39,90.82,79.61,79.1,74.5,76.5,58.5,59.3,56.3,62.2,51.7,52.6,48.3,30.4,60.0,58.2,63.6,64.6,65.6,58.8,59.8,51.7,52.5,47.4,49.5,49.1,43.2,43.2,45.2,46.3,43.4,43.7,44.9,44.5,48.0,52.2,51.4,46.1,46.4,40.8,49.0,42.2,39.7,40.4,41.2,34.2
Depreciation,22.62,21.87,19.38,19.47,19.1,18.31,17.31,16.9,16.9,17.2,14.1,17.9,16.8,16.8,16.5,20.5,19.0,17.7,17.6,16.9,16.6,16.3,15.1,14.8,14.4,13.9,12.5,12.7,12.7,12.5,16.4,14.7,14.5,14.4,17.9,14.4,12.7,13.6,17.0,17.6,17.1,17.2,17.2,16.3,15.7,15.2,14.5,13.8,12.6,11.7
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,738.22,719.38,1373.27,532.27,365.62,456.96,326.01,779.7,916.6,687.6,295.4,410.3,279.9,266.6,184.8,415.9,312.5,126.6,511.3,387.0,392.5,645.2,685.0,336.6,342.5,285.3,277.6,258.8,224.9,256.3,665.2,419.8,267.5,249.4,196.8,197.2,256.4,260.6,321.1,425.8,420.8,566.1,523.6,402.5,329.4,370.2,300.5,295.5,235.1,258.3
"P/L Before Other Inc. , Int., Excpt. Items & Tax",47.4,49.1,33.12,36.63,53.03,50.07,37.85,89.2,76.0,61.3,185.9,182.8,160.2,230.3,180.5,117.0,141.4,173.1,250.4,274.2,250.2,221.2,238.2,151.6,129.9,107.2,118.3,118.0,115.1,110.4,100.4,75.3,84.7,88.4,112.5,84.9,84.0,107.8,101.3,82.0,130.1,119.0,102.8,106.9,110.2,118.8,110.3,93.4,100.6,168.9
Other Income,35.9,34.8,32.37,30.64,31.11,35.07,33.87,33.0,28.5,25.0,15.9,37.3,30.2,13.9,13.4,42.3,19.1,9.4,10.7,6.4,9.0,3.0,14.2,9.7,6.2,4.3,11.5,0.3,2.8,0.8,1.5,8.1,9.3,7.6,4.2,3.2,5.3,2.5,4.0,3.5,5.6,6.2,5.3,5.2,2.8,2.5,2.6,1.1,1.5,1.3
"P/L Before Int., Excpt. Items & Tax",83.29,83.89,65.49,67.27,84.14,85.14,71.72,122.2,104.5,86.3,201.8,220.1,190.4,244.2,193.9,159.3,160.5,182.5,261.1,280.6,259.2,224.2,252.4,161.3,136.1,111.5,129.8,118.3,117.9,111.2,101.9,83.4,94.0,96.0,116.7,88.1,89.3,110.3,105.3,85.5,135.7,125.2,108.1,112.1,113.0,121.3,112.9,94.5,102.1,170.2
Interest,45.58,48.02,52.51,58.16,59.93,62.27,59.55,59.6,62.4,61.3,183.7,180.8,156.7,179.9,178.6,144.8,132.3,175.3,170.3,167.4,164.4,82.0,73.8,51.6,51.7,52.2,49.8,49.3,51.1,44.6,39.0,36.6,37.2,37.6,35.9,40.2,39.7,37.1,23.2,38.0,50.4,40.7,35.3,34.5,30.6,34.8,36.2,37.8,34.1,37.1
P/L Before Exceptional Items & Tax,37.71,35.87,12.98,9.11,24.22,22.87,12.17,62.6,42.1,25.0,18.1,39.3,33.7,64.3,15.3,14.5,28.2,7.2,90.8,113.2,94.8,142.2,178.6,109.7,84.4,59.3,80.0,69.0,66.8,66.6,62.9,46.8,56.8,58.4,80.8,47.9,49.6,73.2,82.1,47.5,85.3,84.5,72.8,77.6,82.4,86.5,76.7,56.7,68.0,133.1
Exceptional Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/L Before Tax,37.71,35.87,12.98,9.11,24.22,22.87,12.17,62.6,42.1,25.0,18.1,39.3,33.7,64.3,15.3,14.5,28.2,7.2,90.8,113.2,94.8,142.2,178.6,109.7,84.4,59.3,80.0,69.0,66.8,66.6,62.9,46.8,56.8,58.4,80.8,47.9,49.6,73.2,82.1,47.5,85.3,84.5,72.8,77.6,82.4,86.5,76.7,56.7,68.0,133.1
Tax,10.17,10.27,3.94,3.13,6.44,8.09,4.15,18.6,5.5,11.2,5.2,11.6,8.5,17.0,2.7,-3.8,4.9,-0.1,37.6,37.0,25.9,51.1,63.6,38.6,27.1,16.1,20.1,24.3,22.3,21.8,23.2,18.4,21.5,21.7,52.4,18.2,17.2,26.8,28.1,14.7,29.3,28.2,24.5,26.0,29.7,28.3,25.1,15.8,22.0,44.1
P/L After Tax from Ordinary Activities,27.55,25.6,9.04,5.98,17.78,14.79,8.02,44.0,36.6,13.8,12.9,27.7,25.2,47.3,12.6,18.3,23.3,7.3,53.2,76.2,68.9,91.1,115.0,71.1,57.3,43.2,59.9,44.7,44.5,44.8,39.7,28.4,35.3,36.7,28.4,29.7,32.4,46.4,54.0,32.8,56.0,56.3,48.3,51.6,52.7,58.2,51.6,40.9,46.0,89.0
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,27.55,25.6,9.04,5.98,17.78,14.79,8.02,44.0,36.6,13.8,12.9,27.7,25.2,47.3,12.6,18.3,23.3,7.3,53.2,76.2,68.9,91.1,115.0,71.1,57.3,43.2,59.9,44.7,44.5,44.8,39.7,28.4,35.3,36.7,28.4,29.7,32.4,46.4,54.0,32.8,56.0,56.3,48.3,51.6,52.7,58.2,51.6,40.9,46.0,89.0
Equity Share Capital,100.9,100.9,94.85,94.85,94.85,94.85,94.85,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,94.8,96.3,96.3,96.3,96.3,96.3,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.1
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2062.7,2073.9,1982.5,1867.4,1796.9,1821.0,2522.3,2462.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,2.73,2.55,0.95,0.63,1.87,1.56,0.85,4.64,3.86,1.46,1.36,2.92,2.66,4.99,1.33,1.93,2.46,0.77,5.61,8.03,7.26,9.61,12.13,7.5,6.04,4.55,6.32,4.7,4.62,4.65,4.12,2.95,3.65,3.74,2.9,3.03,3.3,4.73,5.51,3.34,5.71,5.74,4.93,5.26,5.37,5.93,5.26,4.17,4.69,9.08
Diluted EPS,2.67,2.54,0.95,0.63,1.87,1.56,0.85,4.64,3.86,1.46,1.36,2.92,2.66,4.99,1.33,1.93,2.46,0.77,5.61,8.03,7.26,9.61,12.13,7.5,6.04,4.55,6.32,4.7,4.62,4.65,4.12,2.95,3.65,3.74,2.9,3.03,3.3,4.73,5.51,3.34,5.71,5.74,4.93,5.26,5.37,5.93,5.26,4.17,4.69,9.08
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.87,3.87,3.87,3.87,3.87,3.87,3.87,3.87,3.87,3.87,3.87,3.87,3.87,3.87
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,39.42,39.42,39.42,39.42,39.42,39.42,39.42,39.42,39.42,39.42,39.42,39.45,39.45,39.45
