Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Provisions,Raw Materials,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,3.49,3.49,17.18,17.18,20.67,22.63,2.96,0.0,25.59,0.0,0.0,5.0,0.0,5.0,51.26,24.49,0.0,1.56,0.0,26.05,0.87,0.0,0.01,26.92,0.0,3.91,10.57,4.73,5.11,0.0,24.34,51.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,3.49,3.49,23.79,23.79,27.28,20.25,3.98,0.0,24.23,2.83,4.04,4.24,0.0,11.1,62.61,36.06,0.0,0.27,0.0,36.32,1.06,0.0,0.0,37.38,0.0,8.39,10.37,1.6,4.87,0.0,25.23,62.61,0.0,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,17.32,17.32,114.5,114.5,131.82,22.33,4.58,0.0,26.92,12.5,11.63,6.65,0.0,30.79,189.52,36.68,0.0,1.0,0.0,37.68,22.92,0.0,2.8,63.41,0.0,10.0,21.33,83.84,10.94,0.0,126.12,189.52,28.49,0.87,4.71,0.0,0.0,22.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,17.32,17.32,121.8,121.8,139.13,65.28,5.17,0.0,70.45,9.99,3.85,9.7,0.0,23.54,233.11,41.23,0.0,1.18,0.0,42.41,23.02,0.0,6.84,72.27,0.0,9.15,31.48,82.74,37.47,0.0,160.84,233.11,33.42,1.11,8.58,0.0,0.0,23.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,17.32,17.32,126.69,126.69,144.01,77.81,5.73,0.0,83.55,10.55,4.29,9.05,0.0,23.89,251.45,43.09,0.0,0.76,0.0,43.85,34.43,0.0,0.81,79.1,0.0,20.02,23.67,63.51,65.15,0.0,172.35,251.45,33.03,4.73,17.36,0.01,0.27,31.69,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,17.32,17.32,157.92,157.92,175.24,32.86,8.87,0.0,41.73,46.37,113.36,25.27,0.0,184.99,401.97,87.76,0.0,2.76,0.0,90.52,24.91,0.0,1.07,116.5,0.0,20.18,88.19,68.34,108.77,0.0,285.47,401.97,42.66,19.83,43.58,0.0,0.44,23.08,0.0,0.0,0.0,115.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,17.32,17.32,175.0,175.0,192.32,67.45,10.19,0.0,77.64,35.14,113.67,33.22,0.0,182.02,451.98,88.49,0.0,15.81,0.0,104.3,35.62,0.0,1.65,141.57,0.0,31.57,76.11,73.81,128.93,0.0,310.42,451.98,33.74,24.25,41.33,0.0,0.0,31.08,0.0,0.0,0.0,147.82,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,17.32,17.32,210.25,210.25,227.57,44.34,12.22,0.02,59.65,86.91,75.83,22.45,12.66,197.85,485.07,120.48,0.0,17.96,0.0,138.44,64.86,100.14,6.69,310.14,4.29,26.49,76.2,36.44,15.85,15.65,174.93,485.07,54.81,26.65,72.67,0.0,0.0,64.56,0.0,0.0,3.08,98.99,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,17.32,17.32,252.36,252.36,269.68,56.53,15.01,0.02,72.36,164.99,63.45,46.38,12.24,287.06,629.1,178.87,0.0,19.44,0.0,198.31,65.72,104.48,4.34,372.85,2.71,72.52,93.08,19.42,10.6,57.92,256.26,629.1,61.78,28.68,56.1,0.0,0.0,65.42,0.0,0.0,0.8,206.27,6.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,18.1,18.1,377.54,377.54,395.64,25.9,13.84,0.02,40.57,191.72,16.84,46.98,17.39,272.93,709.14,233.33,0.0,17.33,0.0,250.67,66.43,95.58,3.2,415.88,14.42,65.32,102.78,10.09,28.86,71.79,293.26,709.14,87.34,23.34,90.95,0.0,0.0,66.13,0.0,12.5,0.81,171.67,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,18.1,18.1,437.5,437.5,455.59,52.42,17.21,0.04,70.48,178.33,36.82,69.65,10.15,294.95,821.02,274.58,0.0,8.15,0.0,282.72,67.07,84.11,7.19,441.1,2.22,70.58,148.25,40.15,36.35,82.38,379.92,821.02,78.9,22.6,159.78,0.0,0.0,66.77,0.0,0.0,0.81,42.83,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,18.1,18.1,505.51,505.51,523.6,78.43,24.54,0.04,103.69,60.22,38.74,60.98,5.38,165.33,792.62,287.64,0.0,20.34,0.0,307.99,58.38,71.18,36.82,474.36,0.23,46.3,115.56,18.99,59.15,78.03,318.25,792.62,132.04,21.63,85.82,4.93,0.0,7.73,0.0,0.0,0.68,25.67,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,18.1,18.1,567.75,567.75,585.85,96.67,24.94,0.14,121.75,56.96,65.7,58.18,12.05,192.89,900.49,351.07,0.0,12.13,0.0,363.2,59.47,118.07,37.99,578.73,5.37,69.46,116.32,6.5,53.53,70.58,321.76,900.49,71.57,15.53,78.18,1.54,0.0,59.47,0.0,4.91,0.0,73.76,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,18.1,18.1,640.54,640.54,658.64,80.3,68.12,0.0,148.42,96.72,36.99,107.41,1.39,242.51,1049.57,402.39,0.36,15.97,0.0,418.72,58.24,103.53,30.68,611.17,44.26,77.83,177.81,9.71,56.35,72.44,438.4,1049.57,271.38,91.29,0.0,100.96,0.0,58.24,44.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,18.1,18.1,741.11,741.11,759.21,75.22,81.74,0.0,156.96,21.26,52.07,101.57,2.56,177.46,1093.63,419.71,0.47,34.56,0.0,454.74,57.67,166.03,35.78,714.22,7.85,90.66,150.44,9.95,52.22,68.29,379.41,1093.63,405.37,52.26,0.0,157.51,0.0,57.67,7.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
