Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,805.68,229.66,1035.34,242.29,88.78,16.66,98.61,21.78,262.34,304.88,114.59,419.47,0.2,419.27,0.0,419.27,48.65,370.62,370.62,103.56,3.6,3.6,37.61,36.31,65.71,99.64,63.46
2012-12-31,875.73,0.98,876.71,263.91,106.39,0.9,96.46,22.95,315.14,70.96,33.65,104.61,0.12,104.49,0.0,104.49,30.27,74.22,74.22,103.56,0.7,0.7,37.61,36.32,65.7,99.63,63.45
2013-03-31,735.19,45.88,781.07,377.92,-77.13,20.78,107.12,20.48,284.36,47.54,57.06,104.6,0.1,104.5,0.0,104.5,45.47,59.03,59.03,103.56,0.6,0.6,37.61,36.32,65.76,99.71,63.49
2013-06-30,588.29,29.35,617.64,204.7,41.5,0.75,69.06,23.64,177.27,100.72,-35.1,65.62,0.08,65.54,0.0,65.54,19.84,45.7,45.7,103.56,0.2,0.2,37.61,36.32,65.66,99.57,63.41
2013-09-30,658.7,19.64,678.34,213.59,58.14,3.93,69.86,24.56,256.56,51.7,-34.6,17.1,0.09,17.01,0.0,17.01,10.71,6.3,6.3,207.12,0.03,0.03,75.28,36.35,131.55,99.78,63.51
2013-12-31,658.51,31.64,690.15,253.75,56.86,-57.3,72.54,25.43,292.32,46.55,69.48,116.03,0.15,115.88,0.0,115.88,30.0,85.88,85.88,207.12,0.41,0.41,75.28,36.35,131.5,99.75,63.49
2014-03-31,752.58,23.85,776.43,222.58,28.54,38.09,67.48,27.21,275.58,116.95,103.24,220.19,2.24,217.95,0.0,217.95,54.99,162.96,162.96,207.12,0.79,0.79,75.28,36.35,131.5,99.75,63.49
2014-06-30,559.01,16.57,575.58,238.84,31.36,-45.14,87.68,46.39,232.93,-16.48,84.21,67.73,8.09,59.64,0.0,59.64,12.08,47.56,47.56,207.12,0.23,0.23,75.28,36.35,131.4,99.67,63.44
2014-09-30,572.78,24.67,597.45,231.55,41.69,7.86,93.43,67.57,417.52,-262.17,-56.91,-319.08,4.02,-323.1,0.0,-323.1,-5.48,-317.62,-317.62,207.12,-1.53,-1.53,75.28,36.35,131.09,99.44,63.29
2014-12-31,542.0,23.03,565.03,223.25,7.91,-32.81,94.08,40.86,296.98,-65.24,-23.02,-88.26,0.08,-88.34,0.0,-88.34,2.76,-91.1,-91.1,207.12,-0.44,-0.44,75.28,36.35,131.13,99.47,63.31
2015-03-31,1672.85,72.39,1745.24,636.67,213.13,138.22,405.21,325.25,1167.13,-1140.37,214.6,-925.77,111.02,-1036.79,0.0,-1036.79,-958.78,-78.01,-78.01,207.12,-0.32,-0.32,75.47,36.44,130.16,98.87,62.84
2015-06-30,1880.32,168.42,2048.74,539.35,258.48,0.46,462.64,109.68,911.68,-233.55,54.93,-178.62,143.66,-322.28,-70.13,-392.41,3.94,-396.35,-396.35,240.62,-1.7,-1.7,108.99,45.29,129.65,98.48,53.88
2015-09-30,1831.26,46.65,1877.91,538.1,307.61,-105.29,359.63,119.87,1084.06,-426.07,11.03,-415.04,182.11,-597.15,0.0,-597.15,3.08,-600.23,-600.23,240.64,-2.5,-2.5,0.0,0.0,0.0,0.0,0.0
2015-12-31,1866.2,44.35,1910.55,494.41,236.9,39.99,325.53,114.7,689.83,9.19,17.84,27.03,166.51,-139.48,0.0,-139.48,2.79,-142.27,-142.27,240.64,-0.6,-0.6,0.0,0.0,0.0,0.0,0.0
2016-03-31,1676.31,248.97,1925.28,266.45,367.01,50.46,328.89,120.0,1024.96,-232.49,361.29,128.8,81.82,46.98,0.0,46.98,-4.36,51.34,51.34,240.66,0.2,0.2,0.0,0.0,0.0,0.0,0.0
2016-06-30,1738.58,39.71,1778.29,502.93,304.08,-68.8,367.34,105.0,740.79,-173.05,126.41,-46.64,101.37,-148.01,0.0,-148.01,3.45,-151.46,-151.46,240.67,-0.6,-0.6,0.0,0.0,0.0,0.0,0.0
2016-09-30,1984.77,44.59,2029.36,435.08,374.17,77.14,351.77,103.17,787.42,-99.39,294.0,194.61,7.19,187.42,0.0,187.42,2.88,184.54,184.54,240.67,0.8,0.8,0.0,0.0,0.0,0.0,0.0
2016-12-31,1868.34,66.92,1935.26,455.06,405.05,33.83,374.12,103.71,686.94,-123.45,77.55,-45.9,114.11,-160.01,0.0,-160.01,2.65,-162.66,-162.66,239.92,-0.7,-0.7,0.0,0.0,0.0,0.0,0.0
2017-03-31,1946.98,70.19,2017.17,891.45,153.2,-204.96,392.94,106.68,605.26,72.6,16.45,89.05,0.89,88.16,0.0,88.16,-6.47,94.63,94.63,239.93,0.4,0.4,0.0,0.0,0.0,0.0,0.0
2017-06-30,1733.97,68.55,1802.52,617.61,219.24,-2.58,410.83,108.77,730.23,-281.58,25.79,-255.79,83.44,-339.23,-950.5,-1289.73,1.26,-1290.99,-1290.99,239.93,-5.4,-5.4,0.0,0.0,0.0,0.0,0.0
2017-09-30,1769.86,53.98,1823.84,338.5,195.48,366.02,392.96,105.08,614.41,-188.61,891.82,703.21,129.58,573.63,0.0,573.63,-3.42,577.05,577.05,239.93,2.4,2.4,0.0,0.0,0.0,0.0,0.0
2017-12-31,1991.98,53.25,2045.23,205.75,295.56,405.17,404.07,106.05,556.36,72.27,33.47,105.74,64.7,41.04,0.0,41.04,0.54,40.5,40.5,239.93,0.2,0.2,0.0,0.0,0.0,0.0,0.0
2018-03-31,2207.79,75.39,2283.18,1027.7,455.71,-609.7,406.58,111.47,806.67,84.75,176.89,261.64,110.59,151.05,0.0,151.05,-25.21,176.26,176.26,239.93,0.7,0.7,0.0,0.0,0.0,0.0,0.0
2018-06-30,2532.61,74.91,2607.52,422.87,382.6,15.82,367.33,141.19,912.8,364.91,31.48,396.39,136.79,259.6,0.0,259.6,0.21,259.39,259.39,239.93,1.08,1.08,0.0,0.0,0.0,0.0,0.0
2018-09-30,2217.42,81.83,2299.25,637.85,249.66,-20.83,383.01,122.36,989.92,-62.72,532.97,470.25,151.38,318.87,-1214.38,-895.51,10.91,-906.42,-906.42,239.93,-3.78,-3.78,0.0,0.0,0.0,0.0,0.0
2018-12-31,2192.41,68.85,2261.26,716.27,329.73,-64.65,391.2,134.06,714.1,40.55,27.76,68.31,133.38,-65.07,0.0,-65.07,-26.39,-38.68,-38.68,239.93,-0.16,-0.16,0.0,0.0,0.0,0.0,0.0
2019-03-31,2257.8,294.33,2552.13,931.19,214.4,-181.64,426.0,132.18,603.68,426.32,679.23,1105.55,119.37,986.18,0.0,986.18,-81.88,1068.06,1068.06,239.93,4.45,4.45,0.0,0.0,0.0,0.0,0.0
2019-06-30,3020.49,288.52,3309.01,693.81,296.25,74.91,426.69,135.58,874.96,806.81,18.58,825.39,57.25,768.14,0.0,768.14,4.77,763.37,763.37,239.93,3.18,3.18,0.0,0.0,0.0,0.0,0.0
2019-09-30,3215.01,158.28,3373.29,793.57,309.16,114.58,432.77,139.14,888.3,695.77,258.33,954.1,114.47,839.63,0.0,839.63,16.47,823.16,823.16,239.93,3.43,3.43,0.0,0.0,0.0,0.0,0.0
2019-12-31,2920.83,92.72,3013.55,947.21,303.12,-145.17,423.97,144.4,778.61,561.41,15.36,576.77,98.76,478.01,0.0,478.01,9.25,468.76,468.76,239.93,1.95,1.95,0.0,0.0,0.0,0.0,0.0
2020-03-31,2750.41,85.67,2836.08,767.12,318.88,94.28,419.34,142.44,1007.92,86.1,1218.65,1304.75,137.53,1167.22,0.0,1167.22,11.37,1155.85,1155.85,239.93,4.82,4.82,0.0,0.0,0.0,0.0,0.0
