Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Equity Dividend Rate (%),Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,805.81,9.01,814.82,479.2,19.67,38.76,33.8,28.57,19.0,95.62,100.2,4.05,104.25,13.83,90.42,0.0,90.42,28.25,62.17,62.17,25.41,0.0,4.89,4.89,6.4,50.38,6.3,100.0,49.62
2013-03-31,903.73,13.93,917.66,569.25,33.07,-1.86,36.34,30.72,19.7,115.85,114.59,0.07,114.65,13.75,100.91,0.0,100.91,33.0,67.91,67.91,25.41,0.0,5.35,5.35,6.4,50.37,6.3,100.0,49.63
2013-06-30,1038.04,14.92,1052.96,628.66,54.88,9.84,37.01,39.8,24.43,85.68,172.67,-0.28,172.39,13.32,159.08,0.0,159.08,53.99,105.08,105.08,25.41,0.0,8.27,8.27,6.4,50.36,6.31,100.0,49.64
2013-09-30,695.98,9.14,705.12,578.0,26.64,-147.38,34.91,32.09,23.72,88.75,68.37,1.06,69.43,16.68,52.75,0.0,52.75,17.57,35.18,35.18,25.41,0.0,2.77,2.77,6.4,50.36,6.31,100.0,49.64
2013-12-31,961.98,12.54,974.52,603.81,42.84,-9.85,34.42,33.67,24.69,123.87,121.06,7.95,129.01,22.64,106.37,0.0,106.37,32.6,73.77,73.77,25.41,0.0,5.81,5.81,6.39,50.31,6.31,100.0,49.69
2014-03-31,990.7,14.53,1005.23,709.11,29.28,-38.69,34.9,34.57,25.64,107.43,102.98,0.4,103.38,19.39,83.99,0.0,83.99,28.54,55.45,55.45,25.41,0.0,4.36,4.36,6.39,50.31,6.31,100.0,49.69
2014-06-30,1256.17,20.86,1277.03,671.48,65.43,136.58,35.11,43.02,27.48,103.3,194.64,1.03,195.67,17.42,178.24,0.0,178.24,61.27,116.97,116.97,25.41,0.0,9.21,9.21,6.39,50.31,6.31,100.0,49.69
2014-09-30,751.59,7.78,759.37,575.83,37.17,-101.79,32.44,36.46,34.83,97.9,46.53,4.72,51.25,13.86,37.4,0.0,37.4,11.25,26.15,26.15,25.41,0.0,2.06,2.06,6.39,50.31,6.31,100.0,49.69
2014-12-31,1053.49,12.16,1065.65,676.38,46.9,7.37,36.94,38.69,33.33,130.77,95.27,1.09,96.36,16.91,79.45,0.0,79.45,26.7,52.75,52.75,25.41,0.0,4.15,4.15,6.39,50.31,6.31,100.0,49.69
2015-03-31,1143.67,8.03,1151.7,743.83,36.92,-41.34,40.7,39.83,35.26,133.65,162.85,0.03,162.88,16.24,146.64,0.0,146.64,50.55,96.09,96.09,25.41,0.0,10.34,10.34,63.69,50.29,6.32,100.0,49.71
2015-06-30,1270.24,7.71,1277.95,636.31,48.19,135.67,36.31,52.52,35.53,111.16,222.27,0.93,223.2,10.94,212.26,0.0,212.26,71.54,140.72,140.72,25.41,0.0,11.08,13.88,6.39,50.29,6.32,100.0,49.71
2015-09-30,769.51,3.23,772.74,610.72,22.55,-139.15,36.69,42.05,33.49,109.14,57.25,5.85,63.11,9.95,53.16,0.0,53.16,16.9,36.26,36.26,25.41,0.0,2.85,2.85,6.39,50.29,6.32,100.0,49.71
2015-12-31,997.48,4.16,1001.63,626.99,14.86,-4.65,0.0,44.57,33.57,164.76,121.53,0.4,121.94,9.49,112.45,0.0,112.45,38.25,74.2,74.2,25.41,0.0,5.84,5.84,6.39,50.29,6.32,100.0,49.71
2016-03-31,1191.57,8.91,1200.48,679.27,15.93,73.62,0.0,61.45,37.51,155.02,177.68,3.38,181.06,8.12,172.94,-7.69,165.25,62.6,102.65,102.65,25.41,375.0,8.08,8.08,6.39,50.29,6.32,100.0,49.17
2016-06-30,1184.44,4.69,1189.13,732.42,32.55,-6.94,0.0,51.35,37.04,178.65,164.05,0.6,164.66,9.72,154.94,0.0,154.94,53.4,101.54,101.54,25.41,0.0,10.91,7.99,0.0,0.0,0.0,0.0,0.0
2016-09-30,878.01,4.67,882.68,620.65,21.06,-96.34,0.0,50.69,37.39,153.37,95.86,1.56,97.42,8.64,88.77,0.0,88.77,31.25,57.52,57.52,25.41,0.0,4.53,4.53,0.0,0.0,0.0,0.0,0.0
2016-12-31,1102.51,4.72,1107.24,683.86,26.87,-14.47,0.0,54.08,38.68,172.13,146.08,3.29,149.38,8.47,140.9,0.0,140.9,47.85,93.05,93.05,25.41,0.0,7.33,7.33,0.0,0.0,0.0,0.0,0.0
2017-03-31,1282.72,0.0,1282.72,795.57,27.32,-4.23,0.0,54.92,41.18,166.65,201.31,2.57,203.88,3.41,200.47,0.0,200.47,73.28,127.19,127.19,25.41,0.0,10.01,10.01,0.0,0.0,0.0,0.0,0.0
2017-06-30,1161.57,0.0,1161.57,756.57,21.91,15.38,40.75,53.58,40.59,114.92,117.87,0.43,118.3,3.32,114.98,0.0,114.98,39.88,75.1,75.1,25.41,0.0,5.91,5.91,0.0,0.0,0.0,0.0,0.0
2017-09-30,1055.06,0.0,1055.06,734.87,29.68,-67.18,41.42,57.78,42.44,114.88,101.17,10.24,111.41,5.15,106.26,0.0,106.26,36.67,69.59,69.59,25.41,0.0,5.48,5.48,0.0,0.0,0.0,0.0,0.0
2017-12-31,1278.13,0.0,1278.13,809.45,26.78,12.39,46.72,59.64,42.76,125.4,154.99,3.39,158.38,7.86,150.52,0.0,150.52,51.78,98.74,98.74,25.41,0.0,7.77,7.77,0.0,0.0,0.0,0.0,0.0
2018-03-31,1471.26,0.0,1471.26,826.5,42.29,76.91,47.71,70.28,41.37,120.88,245.32,3.71,249.03,5.59,243.44,0.0,243.44,77.36,166.08,166.08,25.41,0.0,13.07,13.07,0.0,0.0,0.0,0.0,0.0
2018-06-30,1345.68,0.0,1345.68,881.36,11.4,29.51,48.9,59.79,42.67,129.09,142.96,0.59,143.55,3.94,139.61,70.44,210.05,65.19,144.86,144.86,25.41,0.0,7.15,11.4,0.0,0.0,0.0,0.0,0.0
2018-09-30,1316.0,0.0,1316.0,959.57,16.52,-113.04,49.07,59.57,47.25,132.63,164.43,15.61,180.04,10.42,169.62,0.0,169.62,55.52,114.1,114.1,25.41,0.0,8.98,8.98,0.0,0.0,0.0,0.0,0.0
2018-12-31,1410.33,0.0,1410.33,956.56,7.2,9.55,53.05,62.49,45.48,145.87,130.13,10.3,140.43,5.22,135.21,0.0,135.21,46.16,89.05,89.05,25.41,0.0,7.01,7.01,0.0,0.0,0.0,0.0,0.0
2019-03-31,1530.88,0.0,1530.88,947.17,49.12,64.84,54.45,71.69,48.13,141.54,153.94,3.1,157.04,6.42,150.62,11.31,161.93,48.86,113.07,113.07,25.41,0.0,8.26,8.9,0.0,0.0,0.0,0.0,0.0
2019-06-30,1436.79,0.0,1436.79,995.68,11.85,-4.91,54.94,65.29,49.54,147.03,117.37,0.03,117.4,3.26,114.14,0.0,114.14,39.95,74.19,74.19,25.41,0.0,5.84,5.84,0.0,0.0,0.0,0.0,0.0
2019-09-30,1270.82,0.0,1270.82,877.62,14.26,-53.49,51.93,68.3,51.73,139.08,121.39,6.32,127.71,7.07,120.64,0.0,120.64,-14.04,134.68,134.68,25.41,0.0,10.6,10.6,0.0,0.0,0.0,0.0,0.0
2019-12-31,1373.25,0.0,1373.25,953.22,9.28,-73.48,54.13,68.08,51.54,140.87,169.61,12.37,181.98,5.65,176.33,0.0,176.33,41.91,134.42,134.42,25.41,0.0,10.58,10.58,0.0,0.0,0.0,0.0,0.0
