headline,link,date_str,parsed_date_iso,sentiment_score
Suzlon down 16% so far in 2025: Is this multibagger a Buy at current levels?,https://www.financialexpress.com/market/suzlon-down-16-so-far-in-2025-is-this-multibagger-a-buy-at-current-levels-3813824/,2025-04-18T13:37:00+05:30,2025-04-18T08:07:00,0.0
Renewables in focus for power firms’ Q4,https://www.financialexpress.com/business/industry-renewables-in-focus-for-power-firms-q4-3808690/,2025-04-13T22:27:15+05:30,2025-04-13T16:57:15,0.0
Motilal Oswal initiates coverage on Suzlon Energy with Buy; expects 21% jump in 12 months,https://www.financialexpress.com/market/motilal-oswal-initiates-coverage-on-suzlon-energy-with-buy-expects-21-jump-in-12-months-3787685/,2025-03-25T11:42:28+05:30,2025-03-25T06:12:28,0.2732
Suzlon bags order from Jindal Renewables,https://www.financialexpress.com/business/industry-suzlon-bags-order-from-jindal-renewables-3767463/,2025-03-04T23:27:50+05:30,2025-03-04T17:57:50,0.0
Suzlon expands partnership with Jindal Renewables with additional 302.4 MW wind power project,https://www.financialexpress.com/business/industry-suzlon-expands-partnership-with-jindal-renewables-with-additional-302-4-mw-wind-power-project-3683925/,2024-12-04T14:09:08+05:30,2024-12-04T08:39:08,0.1027
Suzlon bags 400 MW captive wind power deal from Jindal Renewables,https://www.financialexpress.com/business/industry-suzlon-bags-400-mw-captive-wind-power-deal-from-jindal-renewables-3636474/,2024-10-10T14:54:38+05:30,2024-10-10T09:24:38,0.0
Marc Desaedeleer quits Suzlon board citing governance issues,https://www.financialexpress.com/business/industry-marc-desaedeleer-quits-suzlon-board-citing-governance-issues-3519356/,2024-06-09T19:01:27+05:30,2024-06-09T13:31:27,0.0
"Suzlon to merge arm with itself, transfer project business",https://www.financialexpress.com/business/industry-suzlon-to-merge-arm-with-itself-transfer-project-business-3476671/,2024-05-04T00:45:00+05:30,2024-05-03T19:15:00,0.0
Suzlon bags order for 642 MW wind power project from Evren,https://www.financialexpress.com/business/industry-suzlon-bags-order-for-642-mw-wind-power-project-from-evren-3378491/,2024-01-30T11:24:14+05:30,2024-01-30T05:54:14,0.0
"Suzlon gets shareholder nod to raise Rs 2,000 cr via QIP￼",https://www.financialexpress.com/business/industry-suzlon-gets-shareholder-nod-to-raise-rs-2000-cr-via-qipfont-size2-facesans-serif-stylecolor-rgb34-34-34-font-size-small-font-weight-400-white-space-collapse-collapsefont-3205539/,2023-08-10T03:00:00+05:30,2023-08-09T21:30:00,0.0
Suzlon net profit at Rs 320 crore,https://www.financialexpress.com/market/suzlon-net-profit-at-rs-320-crore-3108077/,2023-05-31T01:30:00+05:30,2023-05-30T20:00:00,0.4404
Suzlon bags 69 MW wind energy order,https://www.financialexpress.com/business/industry-suzlon-bags-69-mw-wind-energy-order-3094140/,2023-05-19T16:21:40+05:30,2023-05-19T10:51:40,0.2732
Suzlon bags 99-MW wind energy project from Vibrant Energy,https://www.financialexpress.com/business/industry-suzlon-bags-99-mw-wind-energy-project-from-vibrant-energy-3090828/,2023-05-17T11:46:18+05:30,2023-05-17T06:16:18,0.765
Suzlon bags 69.3MW wind energy project from Juniper Green Energy,https://www.financialexpress.com/business/industry-suzlon-bags-69-3mw-wind-energy-project-from-juniper-green-energy-3071113/,2023-05-02T12:40:24+05:30,2023-05-02T07:10:24,0.4939
Suzlon bags order to supply wind turbines totalling 48.3 MW to Adani Green Energy,https://www.financialexpress.com/business/industry-suzlon-bags-order-to-supply-wind-turbines-totalling-48-3-mw-to-adani-green-energy-2718060/,2022-10-18T13:21:00+05:30,2022-10-18T07:51:00,0.2732
