Item,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12,Sep '12
Net Sales/Income from operations,2291.85,1412.14,1480.02,1411.74,907.64,749.99,747.17,997.8,910.77,852.69,802.61,1666.04,1001.18,751.14,589.96,535.51,422.26,198.38,35.3,39.38,49.51,106.8,141.54,723.03,360.92,625.15,761.98,1540.87,1719.97,637.81,2243.97,3708.3,2548.0,1946.36,1139.14,2345.6,1323.84,1142.64,1094.12,406.77,286.46,751.76,816.5,997.19,505.81,585.87,947.49,464.53,29.15,658.64
Other Operating Income,--,--,--,16.87,--,13.88,12.96,13.2,--,--,--,--,--,--,--,--,22.06,16.76,--,--,18.42,--,20.3,24.28,36.51,6.64,4.99,10.55,6.35,3.64,3.32,5.37,2.5,3.24,3.9,1.8,1.26,2.0,3.66,3.2,2.63,2.25,0.73,11.05,1.58,13.2,2.53,2.12,1.69,0.63
Total Income From Operations,2291.85,1412.14,1480.02,1428.61,907.64,763.87,760.13,1011.0,910.77,852.69,802.61,1666.04,1001.18,751.14,589.96,535.51,444.32,215.14,35.3,39.38,67.93,106.8,161.84,747.31,397.43,631.79,766.97,1551.42,1726.32,641.45,2247.29,3713.67,2550.5,1949.6,1143.04,2347.4,1325.1,1144.64,1097.78,409.97,289.09,754.01,817.23,1008.24,507.39,599.07,950.02,466.65,30.84,659.27
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,1530.91,1319.49,1136.19,1128.44,655.49,604.5,464.7,774.62,513.86,524.23,850.26,1250.88,885.88,639.49,308.08,377.64,233.7,66.62,7.55,60.29,99.72,56.58,56.47,358.05,367.83,356.65,435.39,605.76,343.38,614.23,1181.73,1887.63,1798.39,1458.97,985.87,1333.78,895.19,863.84,568.84,442.17,192.75,520.67,471.87,822.68,172.44,351.76,334.86,507.15,291.03,419.49
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5.81,--,--,--,220.42,464.63,84.56,218.34,491.99,--,--,--,7.55,19.84,--,3.27,3.91,--,5.29,9.19,12.21,--,14.24,10.29,18.62,9.94,13.62
Increase/Decrease in Stocks,130.55,-294.17,-64.47,-70.05,12.51,-66.23,78.48,21.18,182.75,102.91,-229.31,136.77,-142.48,-72.52,87.9,-65.39,60.61,60.43,7.36,-4.07,-20.22,85.4,47.2,170.65,-151.57,46.21,130.71,178.7,480.08,-338.74,65.26,130.79,-261.53,-317.83,-251.29,155.61,-109.27,-162.08,153.7,-128.86,20.6,69.1,88.54,-48.42,156.82,61.83,306.5,-83.02,-247.96,39.56
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,125.85,118.67,95.7,87.03,78.7,80.2,66.43,67.07,62.79,62.46,60.19,56.62,56.63,67.9,44.47,49.47,43.88,42.5,47.12,71.36,59.94,70.17,70.01,106.96,80.82,70.61,68.15,78.01,65.3,68.56,66.61,89.72,86.33,90.2,88.07,67.39,51.82,56.22,61.09,36.99,48.96,52.71,48.38,44.88,68.36,66.85,75.61,39.23,79.23,70.25
Depreciation,38.28,35.11,29.83,28.22,20.11,33.76,37.48,61.99,40.12,45.89,42.04,47.73,47.62,46.81,42.97,42.47,39.03,51.48,53.52,130.67,137.24,315.43,98.81,137.44,118.52,92.83,90.12,121.68,99.53,97.3,100.77,51.56,59.1,50.09,39.51,69.7,42.94,26.79,26.06,44.56,38.5,38.05,36.7,51.0,41.6,40.75,40.65,52.41,56.43,62.62
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
