Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,658.64,0.63,659.27,419.49,13.62,39.56,70.25,62.62,306.85,-253.12,76.07,-177.05,235.38,-412.43,-76.4,-488.83,57.5,-546.33,-546.33,355.47,-3.07,-3.07,83.96,47.24,3.76,4.01,2.12
2012-12-31,29.15,1.69,30.84,291.03,9.94,-247.96,79.23,56.43,294.69,-452.52,70.36,-382.16,258.92,-641.08,-190.86,-831.94,98.96,-930.9,-930.9,355.47,-5.24,-5.24,87.71,49.35,2.11,2.34,1.18
2013-03-31,464.53,2.12,466.65,507.15,18.62,-83.02,39.23,52.41,206.83,-274.57,66.76,-207.81,307.75,-515.56,-310.0,-825.56,-9.63,-815.93,-815.93,355.47,-4.59,-4.59,98.71,55.54,0.06,0.08,0.03
2013-06-30,947.49,2.53,950.02,334.86,10.29,306.5,75.61,40.65,396.23,-214.12,85.88,-128.24,298.13,-426.37,-214.0,-640.37,-0.33,-640.04,-640.04,418.32,-3.18,-3.18,130.13,62.22,0.06,0.08,0.03
2013-09-30,585.87,13.2,599.07,351.76,14.24,61.83,66.85,40.75,394.54,-330.9,57.21,-273.69,285.1,-558.79,-175.75,-734.54,0.0,-734.54,-734.54,432.43,-3.54,-3.54,137.18,63.45,0.06,0.08,0.03
2013-12-31,505.81,1.58,507.39,172.44,0.0,156.82,68.36,41.6,149.61,-81.44,57.32,-24.12,308.48,-332.6,-341.02,-673.62,0.0,-673.62,-673.62,483.41,-3.11,-3.11,144.2,59.66,18.53,19.01,7.67
2014-03-31,997.19,11.05,1008.24,822.68,12.21,-48.42,44.88,51.0,69.34,56.55,60.54,117.09,329.48,-212.39,1336.12,1123.73,0.0,1123.73,1123.73,497.63,4.56,3.28,151.31,60.82,0.06,0.06,0.02
2014-06-30,816.5,0.73,817.23,471.87,9.19,88.54,48.38,36.7,204.33,-41.78,50.93,9.15,338.85,-329.7,-103.43,-433.13,0.0,-433.13,-433.13,542.61,-1.64,-1.64,166.03,61.2,7.84,7.45,2.89
2014-09-30,751.76,2.25,754.01,520.67,5.29,69.1,52.71,38.05,175.47,-107.28,48.58,-58.7,297.68,-356.38,-172.0,-528.38,0.0,-528.38,-528.38,611.02,-1.87,-1.87,200.23,65.54,1.51,1.44,0.5
2014-12-31,286.46,2.63,289.09,192.75,0.0,20.6,48.96,38.5,123.22,-134.94,47.27,-87.67,269.92,-357.59,-4602.0,-4959.59,0.0,-4959.59,-4959.59,643.01,-15.87,-15.87,216.23,67.25,1.51,1.44,0.47
2015-03-31,406.77,3.2,409.97,442.17,3.91,-128.86,36.99,44.56,265.99,-254.79,186.91,-67.88,312.94,-380.82,269.58,-111.24,0.0,-111.24,-111.24,741.54,-0.33,-0.33,265.49,71.61,1.51,1.44,0.4
2015-06-30,1094.12,3.66,1097.78,568.84,3.27,153.7,61.09,26.06,274.93,9.89,157.74,167.63,213.28,-45.65,-82.76,-128.41,0.0,-128.41,-128.41,965.15,-0.3,-0.3,0.0,0.0,0.0,0.0,0.0
2015-09-30,1142.64,2.0,1144.64,863.84,0.0,-162.08,56.22,26.79,229.46,130.41,120.98,251.39,169.65,81.74,14.05,95.79,0.0,95.79,95.79,981.67,0.2,0.17,0.0,0.0,0.0,0.0,0.0
2015-12-31,1323.84,1.26,1325.1,895.19,19.84,-109.27,51.82,42.94,227.47,197.11,85.76,282.87,168.98,113.89,0.0,113.89,0.0,113.89,113.89,997.91,0.23,0.23,0.0,0.0,0.0,0.0,0.0
2016-03-31,2345.6,1.8,2347.4,1333.78,7.55,155.61,67.39,69.7,370.1,343.27,148.0,491.27,205.87,285.4,-426.41,-141.01,0.07,-141.08,-141.08,1004.1,-0.28,-0.28,0.0,0.0,0.0,0.0,0.0
2016-06-30,1139.14,3.9,1143.04,985.87,0.0,-251.29,88.07,39.51,242.85,38.03,102.18,140.21,195.47,-55.26,-306.97,-362.23,0.0,-362.23,-362.23,1004.1,-0.72,-0.72,0.0,0.0,0.0,0.0,0.0
2016-09-30,1946.36,3.24,1949.6,1458.97,0.0,-317.83,90.2,50.09,296.24,371.93,110.27,482.2,197.68,284.52,-16.93,267.59,0.0,267.59,267.59,1004.88,0.53,0.48,0.0,0.0,0.0,0.0,0.0
2016-12-31,2548.0,2.5,2550.5,1798.39,0.0,-261.53,86.33,59.1,320.27,547.94,123.01,670.95,237.5,433.45,-69.23,364.22,0.0,364.22,364.22,1004.88,0.73,0.65,0.0,0.0,0.0,0.0,0.0
