Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2018-06-30,1749.71,0.0,1749.71,1426.56,0.0,0.92,15.67,0.03,290.52,16.01,4.99,20.99,0.29,20.7,20.7,6.0,14.7,14.7,16.04,0.0,0.92,0.0
2018-09-30,2136.82,0.0,2136.82,2025.24,0.0,0.0,23.64,1.56,54.83,31.56,55.38,86.94,8.56,78.38,78.38,17.14,61.24,61.24,16.04,0.0,3.82,3.82
2018-12-31,1986.16,0.0,1986.16,1417.38,178.54,0.0,35.27,0.81,304.66,49.51,51.45,100.96,19.13,81.83,81.83,40.01,41.82,41.82,16.04,0.0,2.61,2.61
2019-03-31,2337.56,0.13,2337.69,1144.77,3.03,0.34,66.75,0.79,1014.28,107.73,43.66,151.39,28.2,123.19,123.19,44.8,78.39,78.39,16.04,422.98,4.89,0.0
2019-06-30,1222.86,0.0,1222.86,657.34,60.52,0.0,27.86,1.01,436.8,39.33,58.93,98.26,32.13,66.12,66.12,30.12,36.01,36.01,16.04,0.0,2.25,2.25
2019-09-30,964.3,0.0,964.3,505.53,322.75,0.0,33.02,2.14,23.93,76.94,60.62,137.55,49.76,87.8,87.8,21.14,66.66,66.66,16.04,0.0,4.16,4.16
2019-12-31,873.09,0.0,873.09,683.48,29.18,0.0,31.86,1.78,125.89,0.91,86.74,87.65,45.82,41.83,41.83,11.44,30.39,30.39,16.04,0.0,1.9,1.9
2020-03-31,1474.86,0.0,1474.86,1094.31,-3.45,0.0,45.64,1.39,248.77,88.21,158.94,247.15,18.47,228.68,228.68,50.29,178.39,178.39,16.04,0.0,11.12,11.12
2020-06-30,623.16,0.0,623.16,390.34,0.62,0.0,26.28,1.86,232.88,-28.82,30.73,1.91,18.7,-16.79,-16.79,-3.44,-13.35,-13.35,16.04,0.0,-0.83,-0.83
2020-09-30,460.59,0.0,460.59,185.55,0.15,0.0,30.99,1.81,283.54,-41.45,38.5,-2.95,16.08,-19.03,-19.03,-0.91,-18.12,-18.12,16.04,0.0,-1.13,-1.13
2020-12-31,790.9,0.0,790.9,713.77,0.01,0.0,26.51,2.18,32.8,15.63,33.72,49.35,16.0,33.35,33.35,10.66,22.69,22.69,16.04,0.0,1.41,1.41
2021-03-31,1300.81,0.0,1300.81,1013.2,0.01,0.0,38.56,2.34,411.82,-165.12,47.35,-117.77,17.0,-134.77,-134.77,-36.17,-98.6,-98.6,16.04,0.0,-6.15,-6.15
2021-06-30,846.39,0.0,846.39,763.03,0.0,0.0,30.29,1.62,117.83,-66.38,33.26,-33.12,11.98,-45.1,-45.1,-9.94,-35.16,-35.16,16.04,0.0,-2.19,-2.19
2021-09-30,958.98,0.0,958.98,928.7,0.0,0.0,32.84,1.63,66.09,-70.28,29.53,-40.75,16.82,-57.57,-57.57,-15.53,-42.04,-42.04,16.04,0.0,-2.62,-2.62
2021-12-31,1035.49,0.0,1035.49,1001.42,0.0,0.0,31.69,3.19,24.77,-25.58,18.31,-7.27,27.61,-34.88,-34.88,-2.61,-32.27,-32.27,18.97,0.0,-2.01,-2.01
2022-03-31,618.72,0.0,618.72,0.0,0.0,0.0,30.01,1.46,657.4,-70.15,21.21,-48.94,18.93,-67.87,-67.87,-9.82,-58.05,-58.05,18.97,0.0,-3.62,-3.62
2022-06-30,793.32,0.0,793.32,812.08,0.0,0.0,34.84,1.69,58.9,-114.19,26.48,-87.71,14.25,-101.96,-101.96,2.06,-104.02,-104.02,18.97,0.0,-5.48,-5.48
2022-09-30,213.98,0.0,213.98,129.27,0.0,0.0,36.36,1.42,188.96,-142.03,117.94,-24.09,30.99,-55.08,-55.08,0.23,-55.31,-55.31,18.97,0.0,-2.92,-2.92
2022-12-31,292.56,0.0,292.56,294.07,0.0,0.0,37.4,2.15,5.09,-46.15,40.29,-5.86,36.6,-42.46,-42.46,2.53,-44.99,-44.99,18.97,0.0,-2.37,-2.37
2023-03-31,158.05,0.0,158.05,0.0,0.0,0.0,35.46,1.43,238.92,-117.76,29.55,-88.21,59.26,-147.47,-147.47,3.23,-150.7,-150.7,18.97,0.0,-7.95,-7.95
2023-06-30,383.87,0.0,383.87,0.0,0.0,0.0,34.94,1.58,366.33,-18.98,48.3,29.32,52.12,-22.8,-22.8,0.0,-22.8,-22.8,18.97,0.0,-1.2,-1.2
2023-09-30,642.01,0.0,642.01,598.49,0.0,0.0,38.23,2.48,-2.58,5.39,67.82,73.21,55.25,17.96,17.96,3.09,14.87,14.87,18.97,0.0,0.78,0.78
2023-12-31,540.65,0.0,540.65,0.0,0.0,0.0,34.07,2.74,497.73,6.11,61.59,67.7,60.89,6.81,6.81,0.52,6.29,6.29,23.3,0.0,0.32,0.32
2024-03-31,1139.63,0.0,1139.63,0.0,0.0,0.0,27.81,2.66,1056.74,52.42,93.2,145.62,24.13,121.49,121.49,32.6,88.89,88.89,23.32,0.0,3.81,3.81
2024-06-30,885.47,0.0,885.47,0.0,0.0,0.0,30.25,2.52,802.79,49.91,51.85,101.76,18.79,82.97,82.97,9.38,73.59,73.59,23.33,0.0,3.16,3.15
2024-09-30,995.97,0.0,995.97,899.09,0.0,0.0,33.34,2.44,21.7,39.4,71.46,110.86,25.18,85.68,85.68,10.66,75.02,75.02,23.34,0.0,3.21,3.21
2024-12-31,1487.29,0.0,1487.29,0.0,0.0,0.0,32.49,2.4,1379.52,72.88,48.21,121.09,31.27,89.82,89.82,12.35,77.47,77.47,23.35,0.0,3.32,3.31
2025-03-31,2018.31,0.0,2018.31,0.0,0.0,0.0,40.43,2.36,1871.09,104.43,33.82,138.25,30.99,107.26,107.26,15.08,92.18,92.18,23.35,0.0,3.95,3.94
