Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,2531.17,14.38,2545.55,1073.36,244.49,252.73,190.19,64.5,54.98,430.9,234.4,154.85,389.25,51.55,337.7,-50.1,287.6,45.39,242.21,0.0,242.21,254.82,9.51,9.51,17.56,68.94,7.84,99.03,30.76
2013-03-31,1981.75,16.18,1997.93,790.07,107.26,125.71,184.74,71.24,42.93,536.83,139.15,145.57,284.72,45.53,239.19,-31.0,208.19,48.43,159.76,0.0,159.76,254.82,6.27,6.27,17.56,68.94,7.84,99.03,30.76
2013-06-30,1683.0,9.48,1692.48,532.92,594.24,-315.51,184.93,70.63,41.04,412.29,171.94,46.16,218.1,44.15,173.95,-43.42,130.53,30.1,100.43,0.0,100.43,254.82,3.94,3.94,17.56,68.94,7.84,99.03,30.76
2013-09-30,2309.24,45.77,2355.01,1016.04,569.17,-192.01,227.37,61.44,39.77,398.88,234.35,50.34,284.69,41.17,243.52,-91.21,152.31,45.5,106.81,0.0,106.81,254.82,4.19,4.19,17.56,68.94,7.84,99.03,30.76
2013-12-31,2657.99,14.1,2672.09,961.44,367.88,324.98,210.76,69.74,39.5,463.82,233.97,26.33,260.3,46.37,213.93,-23.84,190.09,42.4,147.69,0.0,147.69,254.82,5.8,5.8,17.56,68.94,7.84,99.03,30.76
2014-03-31,1975.62,30.06,2005.68,683.84,82.81,312.73,191.69,65.24,38.51,502.07,128.79,80.09,208.88,53.63,155.25,-59.3,95.95,14.81,81.14,0.0,81.14,254.82,3.19,3.19,17.56,68.94,7.54,95.29,29.6
2014-06-30,2096.02,20.13,2116.15,839.14,803.14,-581.21,238.19,76.48,46.07,461.17,233.17,43.01,276.18,44.79,231.39,0.0,231.39,61.86,169.53,0.0,169.53,254.82,6.65,6.65,17.56,68.94,7.54,95.29,29.6
2014-09-30,2826.1,17.32,2843.42,983.12,735.49,-71.02,278.76,87.46,50.32,508.05,271.24,49.69,320.93,47.63,273.3,0.0,273.3,64.13,209.17,0.0,209.17,254.82,8.21,8.21,17.56,68.94,7.54,95.29,29.6
2014-12-31,2996.37,22.91,3019.28,1097.76,504.8,256.58,269.91,79.74,47.1,535.76,227.63,76.23,303.86,46.74,257.12,0.0,257.12,52.57,204.55,0.0,204.55,254.82,8.03,8.03,17.58,69.02,7.52,95.28,29.52
2015-03-31,2075.73,37.31,2113.04,858.53,669.11,-455.19,248.09,86.49,49.22,542.71,114.08,25.82,139.9,47.62,92.28,0.0,92.28,37.56,54.72,0.0,54.72,254.82,2.15,2.15,17.58,69.02,7.52,95.28,29.52
