Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,908.34,939.17,955.09,926.46,905.94,914.23,881.7,850.27,837.92,817.74,763.17,725.89,681.74,635.41,595.33,558.32,518.4,477.1,430.18,400.49,438.89,423.44,385.83,361.71,405.1,407.01,402.78,382.03,375.38,345.54,342.15,323.23,326.05,309.39,303.29,294.32,293.95,274.08,263.66,243.52,231.28,221.49,205.88,190.76,211.51,198.6,189.79,172.2,157.63,152.13
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Total Income From Operations,908.34,939.17,955.09,926.46,905.94,914.23,881.7,850.27,837.92,817.74,763.17,725.89,681.74,635.41,595.33,558.32,518.4,477.1,430.18,400.49,438.89,423.44,385.83,361.71,405.1,407.01,402.78,382.03,375.38,345.54,342.15,323.23,326.05,309.39,303.29,294.32,293.95,274.08,263.66,243.52,231.28,221.49,205.88,190.76,211.51,198.6,189.79,172.2,157.63,152.13
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,74.15,56.02,59.19,49.3,41.88,44.32,49.86,58.0,55.07,50.26,41.6,39.19,34.45,22.29,30.31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,39.66,30.89,21.83,18.26,14.41,21.44,21.68,23.23,14.78,31.99,23.16,22.57,22.84,21.93,15.33,20.81,19.21,25.88,15.17,16.36,17.31,21.35,14.17,17.34,16.84,23.35,19.39,16.8,15.96,23.64,11.98,12.71,24.41,8.82,10.33
Increase/Decrease in Stocks,--,--,--,1.11,-1.11,0.21,-0.21,0.18,0.76,-1.1,-0.03,0.56,-0.57,--,--,0.06,-0.06,--,0.8,0.91,-0.87,0.5,-0.15,0.47,-1.66,--,--,--,--,--,0.09,-0.09,0.0,0.0,--,--,--,0.06,0.0,0.23,-0.11,-0.13,-0.05,--,0.23,0.08,-0.2,0.2,0.32,-0.62
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,517.58,515.25,515.07,498.52,496.35,495.77,477.33,442.43,429.22,410.71,392.17,365.68,344.77,329.51,310.95,302.89,264.84,262.84,245.89,250.96,253.79,242.57,236.99,217.52,213.97,218.07,214.33,196.22,201.91,183.92,186.43,179.23,174.52,172.99,165.4,156.43,156.42,147.35,143.57,129.15,123.07,117.53,113.97,106.03,105.09,104.36,99.69,93.83,90.23,89.8
Depreciation,24.69,25.97,27.15,27.06,27.58,25.45,25.01,21.41,21.08,21.43,21.79,17.09,15.88,14.04,13.5,11.92,11.3,11.05,11.21,10.82,10.79,11.22,10.96,10.45,6.69,6.22,6.08,6.1,6.14,6.29,6.45,6.48,6.82,6.93,6.42,6.75,5.93,5.72,5.68,9.0,1.41,7.28,7.88,8.97,11.68,9.26,8.29,5.76,5.88,6.15
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,108.94,121.29,114.42,125.26,107.54,103.78,90.96,98.2,103.15,111.02,102.89,82.31,81.85,72.78,70.43,65.72,54.68,48.82,47.18,41.5,55.93,64.5,55.39,59.09,62.34,62.45,59.17,56.46,56.43,52.79,50.82,51.46,49.88,47.35,47.01,51.51,49.03,46.16,41.46,41.26,37.56,34.2,33.37,31.08,35.58,38.74,45.12,40.52,36.56,36.93
"P/L Before Other Inc. , Int., Excpt. Items & Tax",182.97,220.65,239.25,225.21,233.7,244.7,238.75,230.05,228.65,225.43,204.75,221.06,205.36,196.8,170.14,138.07,156.74,132.56,106.85,81.89,97.81,82.97,59.4,59.4,91.78,97.11,100.64,100.42,88.95,87.2,77.56,66.94,68.95,66.95,68.09,62.32,61.23,60.62,55.6,47.04,45.99,43.22,33.92,28.72,35.29,34.17,24.18,7.49,15.81,9.54
