Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,152.13,152.13,0.0,10.33,-0.62,89.8,6.15,36.93,9.54,3.56,13.1,1.25,11.85,11.85,3.82,8.03,8.03,31.14,0.0,2.58,2.58,1.71,55.0,1.4,100.0,45.0
2013-03-31,157.63,157.63,0.0,8.82,0.32,90.23,5.88,36.56,15.81,-2.61,13.21,0.97,12.24,12.24,4.52,7.71,7.71,31.14,0.0,2.48,2.48,1.71,55.0,1.4,100.0,45.0
2013-06-30,172.2,172.2,0.0,24.41,0.2,93.83,5.76,40.52,7.49,8.58,16.06,0.77,15.29,15.29,4.94,10.35,10.35,31.14,0.0,3.32,3.32,1.71,55.0,1.4,100.0,45.0
2013-09-30,189.79,189.79,0.0,12.71,-0.2,99.69,8.29,45.12,24.18,6.19,30.36,0.61,29.75,29.75,10.15,19.61,19.61,31.14,0.0,6.3,6.3,1.71,55.0,1.4,100.0,45.0
2013-12-31,198.6,198.6,0.0,11.98,0.08,104.36,9.26,38.74,34.17,-1.13,33.05,0.4,32.64,32.64,11.17,21.48,21.48,31.14,0.0,6.9,6.9,1.71,55.0,1.4,100.0,45.0
2014-03-31,211.51,211.51,0.0,23.64,0.23,105.09,11.68,35.58,35.29,2.05,37.34,0.04,37.3,37.3,13.63,23.67,23.67,31.14,0.0,7.6,7.6,1.71,55.0,1.4,100.0,45.0
2014-06-30,190.76,190.76,0.0,15.96,0.0,106.03,8.97,31.08,28.72,2.24,30.96,0.0,30.96,30.96,10.13,20.83,20.83,31.14,0.0,6.69,6.69,1.71,55.0,1.4,100.0,45.0
2014-09-30,205.88,205.88,0.0,16.8,-0.05,113.97,7.88,33.37,33.92,1.32,35.23,0.0,35.23,35.23,11.6,23.64,23.64,31.14,0.0,7.59,7.59,1.71,55.0,1.4,100.0,45.0
2014-12-31,221.49,221.49,0.0,19.39,-0.13,117.53,7.28,34.2,43.22,1.09,44.31,0.0,44.31,44.31,15.71,28.6,28.6,31.14,0.0,9.18,9.18,1.71,55.0,1.4,100.0,45.0
2015-03-31,231.28,231.28,0.0,23.35,-0.11,123.07,1.41,37.56,45.99,-0.51,45.48,0.0,45.48,45.48,15.64,29.84,29.84,31.14,0.0,16.53,16.53,1.71,55.0,1.4,100.0,45.0
