Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Hybrid/Debt/Other Securities,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Intangible Assets Under Development,Other Assets,Service Line Contribution From Consumers,Raw Materials,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,197.92,197.92,4810.61,4810.61,5008.53,0.0,1695.68,49.07,0.0,0.0,1744.75,25.74,701.82,207.58,496.17,1431.31,8226.4,3162.74,7.6,306.39,3476.73,2728.83,86.31,0.0,15.61,6307.48,0.0,313.22,718.21,51.9,835.59,0.0,1918.92,8226.4,471.53,0.0,0.0,18.25,138.72,2.26,6.84,41.75,1.13,803.12,2065.59,0.0,0.0,0.0,41.81,296.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,197.92,197.92,4896.74,4896.74,5094.66,0.0,2831.85,63.82,0.0,0.0,2895.67,28.16,534.12,172.75,593.0,1328.03,9360.17,2800.87,7.6,438.19,3246.66,3502.92,52.5,0.0,22.71,6824.79,0.0,297.03,693.21,979.6,565.54,0.0,2535.38,9360.17,434.04,0.0,0.0,17.94,93.43,2.21,34.3,39.74,1.13,972.97,2794.29,0.0,0.0,0.0,41.81,457.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,197.92,197.92,5315.91,5315.91,5513.83,0.0,2732.69,46.53,0.0,0.0,2779.22,22.31,548.86,182.95,589.2,1343.32,9678.18,3003.02,0.0,211.81,3214.83,3412.17,62.68,0.0,15.46,6705.14,0.0,442.26,1058.23,990.55,482.0,0.0,2973.04,9678.18,313.09,0.0,0.0,9.96,82.98,2.14,41.56,41.32,1.13,1284.68,2579.7,0.0,0.0,0.0,41.81,500.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,197.92,197.92,5793.03,5793.03,5990.95,0.0,3613.31,68.95,0.0,0.0,3682.26,20.05,893.42,232.3,631.58,1777.35,11492.72,3030.31,0.0,781.05,3811.36,3570.15,63.25,0.0,6.17,7450.93,0.0,396.42,1478.22,1367.72,799.43,0.0,4041.79,11492.72,1314.86,0.0,0.0,61.79,89.57,2.26,37.46,66.85,1.13,995.1,2810.8,0.0,0.0,0.0,42.16,858.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,220.72,220.72,7771.12,7771.12,7991.84,0.0,2751.97,100.16,0.0,0.0,2852.13,285.3,998.78,255.09,585.44,2124.61,13075.65,3005.49,0.0,1681.74,4687.23,4430.0,81.22,0.0,1.69,9200.14,0.0,473.61,1414.52,28.7,1928.68,30.0,3875.51,13075.65,1231.68,0.0,0.0,38.36,50.53,2.39,4.65,14.17,1.13,910.02,3736.23,0.0,0.0,0.0,46.08,1446.21,60.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,221.44,221.44,8422.06,8422.06,8643.5,0.0,4560.11,204.72,0.0,0.0,4764.83,638.09,835.29,584.04,651.99,2709.41,16166.6,5190.28,0.26,761.16,5951.7,5443.47,90.29,0.0,0.0,11485.46,0.0,644.14,1587.97,45.5,2378.01,25.52,4681.14,16166.6,978.44,0.0,0.0,159.39,39.71,2.98,6.88,317.78,1.13,719.95,5106.03,0.0,0.0,0.0,48.86,2240.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,237.33,237.33,10295.03,10295.03,10532.36,0.0,5812.63,302.27,0.0,0.0,6114.9,59.38,776.15,689.55,702.57,2227.65,18966.32,5752.48,0.26,476.21,6228.95,6688.62,94.49,0.0,0.0,13012.06,0.0,589.36,1976.31,1277.64,2100.45,10.5,5954.26,18966.32,849.43,0.0,0.0,234.59,76.58,3.33,1.29,54.49,1.13,803.0,6277.64,0.0,0.0,0.0,91.41,1273.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,237.33,237.33,11002.66,11002.66,11239.99,0.0,6081.25,215.05,79.42,484.26,6859.98,683.06,739.57,1329.77,352.93,3105.33,21205.3,5782.93,0.01,1017.35,6812.25,7847.18,0.0,2740.25,1038.02,18437.7,92.73,625.02,841.55,837.29,256.39,114.62,2767.6,21205.3,1229.25,19.19,1016.83,136.19,69.04,3.26,0.0,117.76,1.13,640.96,7371.24,92.73,11.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,237.33,237.33,11720.09,11720.09,11957.42,1500.0,6875.05,419.02,93.7,474.73,7862.5,758.06,1061.55,1586.25,391.93,3797.79,25117.71,7154.21,18.59,585.37,7783.07,9208.54,0.0,1230.95,1868.56,20091.12,584.14,854.47,1003.37,1087.35,1310.62,186.64,5026.59,25117.71,825.97,59.0,2071.89,232.6,85.06,3.16,0.0,631.78,1.13,563.51,8732.6,584.14,24.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,237.33,237.33,12023.52,12023.52,12260.85,1500.0,8452.57,805.49,99.81,413.19,9771.06,1172.15,923.55,2027.64,437.61,4560.95,28092.86,7744.41,30.11,641.46,8489.32,10859.68,0.0,2190.06,2758.67,24297.73,258.56,761.09,1300.06,413.17,955.09,107.16,3795.13,28092.86,929.3,85.44,2202.49,28.64,98.42,3.15,0.0,359.84,1.13,468.49,10383.74,258.56,73.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
