headline,link,date_str,parsed_date_iso,sentiment_score
"Adani, Ambanis, Birla, Mittal fund Rs 50 crore health insurance for Supreme Court lawyers",https://www.financialexpress.com/india-news/adani-ambanis-birla-mittal-fund-rs-50-crore-health-insurance-for-supreme-court-lawyers/3853515/,2025-05-24T14:05:04+05:30,2025-05-24T08:35:04,0.5574
Jefferies top Buy recommendation at this hour,https://www.financialexpress.com/market/jefferies-top-buy-recommendation-at-this-hour-2-3852478/,2025-05-21T17:11:03+05:30,2025-05-21T11:41:03,0.2023
Torrent Pharma signs non-exclusive patent agreement with Takeda for its novel drug to treat GERD in India,https://www.financialexpress.com/business/healthcare-torrent-pharma-signs-non-exclusive-patent-agreement-with-takeda-for-its-novel-drug-to-treat-gerd-in-india-3515669/,2024-06-05T16:35:44+05:30,2024-06-05T11:05:44,0.802
"Torrent Pharma Q3 profit up 51.7% at Rs 443 crore, revenue up 9.7% on-year",https://www.financialexpress.com/business/industry-torrent-pharma-q3-profit-up-51-7-at-rs-443-crore-revenue-up-97-on-year-3382716/,2024-02-02T15:05:48+05:30,2024-02-02T09:35:48,0.4404
Torrent Pharma shares sink 4% as reports suggest co is likely to acquire controlling stake in Cipla,https://www.financialexpress.com/market/torrent-pharma-shares-sink-4-as-reports-suggest-co-is-likely-to-acquire-controlling-stake-in-cipla-3229803/,2023-09-01T13:38:19+05:30,2023-09-01T08:08:19,0.296
Torrent Power to supply green power for Shapoorji Pallonji’s desalination plants,https://www.financialexpress.com/business/industry-torrent-power-to-supply-green-power-for-shapoorji-pallonjis-desalination-plants-3198787/,2023-08-04T00:15:00+05:30,2023-08-03T18:45:00,0.0
"Torrent highest bidder for RCap with Rs 8,640 cr",https://www.financialexpress.com/business/industry-torrent-highest-bidder-for-rcap-with-rs-8640-cr-2922560/,2022-12-22T06:00:00+05:30,2022-12-22T00:30:00,0.0
Torrent Pharma announces Q2 results; Net profit declines marginally to Rs 312 crore,https://www.financialexpress.com/business/healthcare-torrent-pharma-announces-q2-results-net-profit-declines-marginally-to-rs-312-crore-2728484/,2022-10-21T21:29:45+05:30,2022-10-21T15:59:45,0.4404
"Torrent Pharma to acquire Curatio Healthcare for Rs 2,000 crore",https://www.financialexpress.com/business/industry-torrent-pharma-to-acquire-curatio-healthcare-for-rs-2000-crore-2693304/,2022-09-28T02:45:00+05:30,2022-09-27T21:15:00,0.0
Aman Mehta appointed as Director on Board of Torrent Pharma,https://www.financialexpress.com/business/healthcare-aman-mehta-appointed-as-director-on-board-of-torrent-pharma-2611110/,2022-07-29T19:59:14+05:30,2022-07-29T14:29:14,0.0
USFDA inspection of company’s US plant completed successfully: Torrent Pharmaceuticals,https://www.financialexpress.com/business/healthcare-usfda-inspection-of-companys-us-plant-completed-successfully-torrent-pharmaceuticals-2381622/,2021-12-16T16:42:10+05:30,2021-12-16T11:12:10,0.4939
Nuvama’s top Buy recommendations at this hour,https://www.financialexpress.com/market/nuvamas-top-pick-at-this-hour-3853224/,2025-05-22T10:05:43+05:30,2025-05-22T04:35:43,0.2023
53 commonly used medicines flagged for failing CDSCO test; Torrent Pharma defends quality of Shelcal 500,https://www.financialexpress.com/business/healthcare-53-commonly-used-medicines-flagged-for-failing-cdsco-test-torrent-pharma-defends-quality-of-shelcal-500-3623142/,2024-09-26T19:18:25+05:30,2024-09-26T13:48:25,-0.5106
"Torrent Pharmaceuticals posts Q2 profit at Rs 386 crore, aided by growth in India, globally",https://www.financialexpress.com/business/industry-torrent-pharmaceuticals-posts-q2-profit-at-rs-386-crore-aided-by-growth-in-india-globally-3284993/,2023-10-24T10:17:06+05:30,2023-10-24T04:47:06,0.6705
Torrent in talks with Apollo to borrow up to $1 billion for Cipla bid: Report,https://www.financialexpress.com/business/healthcare-torrent-in-talks-with-apollo-to-borrow-up-to-1-billion-for-cipla-bid-3248460/,2023-09-19T15:07:14+05:30,2023-09-19T09:37:14,0.0
"Torrent Pharma posts Q4FY23 profit at Rs 287 crore, revenue up 16.9%",https://www.financialexpress.com/business/industry-torrent-pharma-posts-q4fy23-profit-at-rs-287-crore-revenue-up-16-9-3107894/,2023-05-30T17:50:42+05:30,2023-05-30T12:20:42,0.4404
Torrent Pharma enters into consumer market to address calcium deficiency in India,https://www.financialexpress.com/business/healthcare-torrent-pharma-enters-into-consumer-market-to-address-calcium-deficiency-in-india-2981075/,2023-02-14T13:28:19+05:30,2023-02-14T07:58:19,0.0
Torrent Pharmaceuticals Rating: Buy | Deal could be marginally value accretive,https://www.financialexpress.com/market/torrent-pharmaceuticals-rating-buy-deal-could-be-marginally-value-accretive-2698118/,2022-10-03T01:15:00+05:30,2022-10-02T19:45:00,0.2748
"Reliance, HCL Tech, Dish TV, Torrent Pharma, Birla Corporation, IDBI Bank, Adani Group stocks in focus",https://www.financialexpress.com/market/stocks-to-watch-reliance-industries-ril-hcl-tech-dish-tv-torrent-pharma-birla-corporation-idbi-bank-adani-group-stocks-in-focus-today-2693348/,2022-09-28T06:59:57+05:30,2022-09-28T01:29:57,0.0
Torrent Pharma to acquire Curatio Healthcare,https://www.financialexpress.com/business/healthcare-torrent-pharma-to-acquire-curatio-healthcare-2692824/,2022-09-27T16:35:31+05:30,2022-09-27T11:05:31,0.0
Torrent Pharma releases Q1 results; Net profit up 7 percent at Rs 354 crore,https://www.financialexpress.com/business/healthcare-torrent-pharma-releases-q1-results-net-profit-up-7-percent-at-rs-354-crore-2611095/,2022-07-29T19:48:47+05:30,2022-07-29T14:18:47,0.4404
"Stocks to buy: Charts suggest Tata Power, Torrent Pharma shares may soar higher, 18% upside seen",https://www.financialexpress.com/market/stocks-to-buy-charts-suggest-tata-power-torrent-pharma-shares-may-soar-higher-18-upside-seen-2584651/,2022-07-06T12:06:32+05:30,2022-07-06T06:36:32,0.296
Cipla share price hits record high on DCGI nod to import Moderna vaccine to treat COVID-19; may rally 12% more,https://www.financialexpress.com/market/cipla-share-price-hits-record-high-on-dcgi-nod-to-import-moderna-vaccine-to-treat-covid-19-may-rally-12-more-2281026/,2021-06-30T18:47:13+05:30,2021-06-30T13:17:13,0.5994
