Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,2385.0,2377.0,2434.0,2394.0,2143.0,2123.0,2146.0,2121.0,1920.0,1857.0,1928.0,1933.0,1662.0,1588.0,1799.0,1681.0,1443.0,1597.0,1640.0,1685.0,1457.0,1436.0,1567.0,1566.0,1319.0,1386.0,1437.0,1415.0,1294.0,1012.0,1002.0,834.0,912.0,1225.0,1037.0,1282.0,967.0,990.0,1533.0,1810.0,878.0,796.0,840.0,896.0,937.0,709.0,757.0,818.0,703.0,633.04
Other Operating Income,48.0,--,--,44.0,--,--,--,--,--,--,--,--,--,--,--,14.0,25.0,19.0,--,42.0,34.0,35.0,36.0,37.0,38.0,95.0,35.0,37.0,40.0,29.0,24.0,13.0,50.0,24.0,21.0,36.0,23.0,25.0,33.0,57.0,19.0,10.0,16.0,21.0,17.0,24.0,36.0,67.0,67.0,25.46
Total Income From Operations,2433.0,2377.0,2434.0,2438.0,2143.0,2123.0,2146.0,2121.0,1920.0,1857.0,1928.0,1933.0,1662.0,1588.0,1799.0,1695.0,1468.0,1616.0,1640.0,1727.0,1491.0,1471.0,1603.0,1603.0,1357.0,1481.0,1472.0,1452.0,1334.0,1041.0,1026.0,847.0,962.0,1249.0,1058.0,1318.0,990.0,1015.0,1566.0,1867.0,897.0,806.0,856.0,917.0,954.0,733.0,793.0,885.0,770.0,658.5
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,402.0,369.0,337.0,410.0,409.0,376.0,433.0,434.0,387.0,349.0,351.0,389.0,393.0,364.0,368.0,404.0,343.0,362.0,363.0,353.0,326.0,330.0,331.0,366.0,341.0,309.0,247.0,310.0,322.0,257.0,177.0,239.0,230.0,308.0,297.0,342.0,242.0,283.0,252.0,264.0,248.0,253.0,267.0,200.0,222.0,228.0,214.0,212.0,224.0,211.55
Purchase of Traded Goods,205.0,211.0,175.0,141.0,168.0,129.0,138.0,113.0,130.0,136.0,116.0,130.0,125.0,84.0,91.0,97.0,96.0,82.0,112.0,109.0,103.0,85.0,84.0,69.0,88.0,95.0,68.0,92.0,113.0,129.0,41.0,70.0,60.0,57.0,54.0,50.0,49.0,52.0,44.0,47.0,61.0,48.0,49.0,43.0,26.0,25.0,22.0,20.0,23.0,20.09
Increase/Decrease in Stocks,-28.0,-36.0,23.0,32.0,-39.0,56.0,-46.0,-40.0,-1.0,37.0,95.0,3.0,-42.0,24.0,41.0,-41.0,-57.0,-27.0,-38.0,-28.0,-54.0,2.0,11.0,-16.0,-23.0,-40.0,62.0,-4.0,-67.0,-139.0,62.0,-88.0,34.0,9.0,-34.0,-20.0,21.0,-32.0,-27.0,-12.0,-22.0,-30.0,-12.0,-22.0,-4.0,-20.0,16.0,39.0,-24.0,13.55
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,416.0,407.0,407.0,406.0,353.0,363.0,366.0,369.0,327.0,297.0,298.0,317.0,255.0,280.0,283.0,280.0,257.0,278.0,274.0,288.0,258.0,262.0,262.0,280.0,256.0,259.0,247.0,252.0,231.0,201.0,207.0,187.0,172.0,163.0,185.0,179.0,157.0,143.0,136.0,136.0,145.0,125.0,124.0,113.0,102.0,105.0,108.0,104.0,98.0,91.83
Depreciation,190.0,191.0,190.0,189.0,195.0,191.0,192.0,183.0,182.0,156.0,156.0,149.0,147.0,152.0,153.0,150.0,152.0,155.0,153.0,150.0,155.0,152.0,151.0,149.0,147.0,147.0,144.0,141.0,143.0,89.0,78.0,74.0,76.0,68.0,64.0,61.0,55.0,53.0,53.0,52.0,55.0,53.0,53.0,19.0,20.0,20.0,20.0,19.0,20.0,19.04
Excise Duty,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Other Expenses,570.0,539.0,571.0,550.0,536.0,498.0,519.0,508.0,499.0,453.0,448.0,429.0,448.0,409.0,399.0,377.0,398.0,351.0,343.0,395.0,433.0,344.0,383.0,392.0,401.0,407.0,392.0,390.0,443.0,334.0,303.0,318.0,356.0,406.0,312.0,300.0,302.0,255.0,232.0,254.0,319.0,257.0,257.0,209.0,270.0,223.0,171.0,223.0,200.0,192.12
"P/L Before Other Inc. , Int., Excpt. Items & Tax",678.0,696.0,731.0,710.0,521.0,510.0,544.0,554.0,396.0,429.0,464.0,516.0,336.0,275.0,464.0,428.0,279.0,415.0,433.0,460.0,270.0,296.0,381.0,363.0,147.0,304.0,312.0,271.0,149.0,170.0,158.0,47.0,34.0,238.0,180.0,406.0,164.0,261.0,876.0,1126.0,91.0,100.0,118.0,355.0,318.0,152.0,242.0,268.0,229.0,110.32
Other Income,15.0,3.0,-7.0,21.0,76.0,-11.0,15.0,11.0,26.0,15.0,11.0,29.0,61.0,37.0,54.0,50.0,91.0,11.0,9.0,7.0,21.0,62.0,123.0,31.0,227.0,13.0,108.0,34.0,51.0,81.0,91.0,109.0,120.0,71.0,59.0,49.0,37.0,79.0,101.0,76.0,101.0,72.0,76.0,56.0,9.0,10.0,3.0,14.0,15.0,0.49
"P/L Before Int., Excpt. Items & Tax",693.0,699.0,724.0,731.0,597.0,499.0,559.0,565.0,422.0,444.0,475.0,545.0,397.0,312.0,518.0,478.0,370.0,426.0,442.0,467.0,291.0,358.0,504.0,394.0,374.0,317.0,420.0,305.0,200.0,251.0,249.0,156.0,154.0,309.0,239.0,455.0,201.0,340.0,977.0,1202.0,192.0,172.0,194.0,411.0,327.0,162.0,245.0,282.0,244.0,110.81
Interest,47.0,48.0,54.0,64.0,67.0,69.0,77.0,90.0,94.0,91.0,62.0,51.0,52.0,57.0,64.0,66.0,69.0,87.0,86.0,97.0,96.0,106.0,111.0,117.0,119.0,125.0,120.0,117.0,117.0,71.0,51.0,55.0,57.0,46.0,51.0,48.0,38.0,41.0,48.0,53.0,47.0,50.0,52.0,24.0,19.0,16.0,15.0,8.0,10.0,7.36
P/L Before Exceptional Items & Tax,646.0,651.0,670.0,667.0,530.0,430.0,482.0,475.0,328.0,353.0,413.0,494.0,345.0,255.0,454.0,412.0,301.0,339.0,356.0,370.0,195.0,252.0,393.0,277.0,255.0,192.0,300.0,188.0,83.0,180.0,198.0,101.0,97.0,263.0,188.0,407.0,163.0,299.0,929.0,1149.0,145.0,122.0,142.0,387.0,308.0,146.0,230.0,274.0,234.0,103.45
Exceptional Items,-24.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-193.0,--,--,--,--,--,--,--,--,--,--,-37.0,--
P/L Before Tax,622.0,651.0,670.0,667.0,530.0,430.0,482.0,475.0,328.0,353.0,413.0,494.0,345.0,255.0,454.0,412.0,301.0,339.0,356.0,370.0,195.0,252.0,393.0,277.0,255.0,192.0,300.0,188.0,83.0,180.0,198.0,101.0,97.0,263.0,188.0,407.0,163.0,106.0,929.0,1149.0,145.0,122.0,142.0,387.0,308.0,146.0,230.0,274.0,197.0,103.45
Tax,148.0,166.0,210.0,198.0,120.0,133.0,155.0,152.0,109.0,124.0,141.0,167.0,124.0,85.0,128.0,138.0,22.0,61.0,73.0,72.0,27.0,32.0,65.0,54.0,91.0,10.0,23.0,66.0,-137.0,160.0,40.0,17.0,-17.0,29.0,19.0,70.0,39.0,10.0,246.0,310.0,42.0,19.0,30.0,82.0,56.0,32.0,48.0,60.0,44.0,19.61
P/L After Tax from Ordinary Activities,474.0,485.0,460.0,469.0,410.0,297.0,327.0,323.0,219.0,229.0,272.0,327.0,221.0,170.0,326.0,274.0,279.0,278.0,283.0,298.0,168.0,220.0,328.0,223.0,164.0,182.0,277.0,122.0,220.0,20.0,158.0,84.0,114.0,234.0,169.0,337.0,124.0,96.0,683.0,839.0,103.0,103.0,112.0,305.0,252.0,114.0,182.0,214.0,153.0,83.84
Prior Year Adjustments,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,474.0,485.0,460.0,469.0,410.0,297.0,327.0,323.0,219.0,229.0,272.0,327.0,221.0,170.0,326.0,274.0,279.0,278.0,283.0,298.0,168.0,220.0,328.0,223.0,164.0,182.0,277.0,122.0,220.0,20.0,158.0,84.0,114.0,234.0,169.0,337.0,124.0,96.0,683.0,839.0,103.0,103.0,112.0,305.0,252.0,114.0,182.0,214.0,153.0,83.84
Equity Share Capital,169.23,169.23,169.23,169.23,169.23,169.23,169.23,169.23,169.23,169.23,169.23,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,42.31,42.31,42.31
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--,--,--,--,--,6540.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EPS Before Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,14.0,14.33,13.6,13.86,12.12,8.78,9.65,9.55,6.46,6.78,8.02,19.35,13.08,10.06,19.24,16.21,16.48,16.45,16.68,17.63,9.91,12.97,19.4,13.18,9.73,10.73,16.38,7.21,12.95,1.25,9.31,4.97,6.79,13.78,9.96,19.95,7.41,5.66,40.33,49.59,6.12,6.05,6.65,18.01,14.89,6.74,10.78,25.28,18.08,9.91
Diluted EPS,14.0,14.33,13.6,13.86,12.12,8.78,9.65,9.55,6.46,6.78,8.02,19.35,13.08,10.06,19.24,16.21,16.48,16.45,16.68,17.63,9.91,12.97,19.4,13.18,9.73,10.73,16.38,7.21,12.95,1.25,9.31,4.97,6.79,13.78,9.96,19.95,7.41,5.66,40.33,49.59,6.12,6.05,6.65,18.01,14.89,6.74,10.78,25.28,18.08,9.91
EPS After Extra Ordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Share Holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Of Shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4.87,4.87,4.82,4.82,4.82,4.82,4.82,4.82,2.41,2.41,2.41
Share Holding (%),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28.75,28.75,28.49,28.49,28.49,28.49,28.49,28.49,28.49,28.49,28.49
Promoters and Promoter Group Shareholding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) Pledged/Encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Number of shares (Crores),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12.06,12.06,12.1,12.1,12.1,12.1,12.1,12.1,6.05,6.05,6.05
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,71.25,71.25,71.51,71.51,71.51,71.51,71.51,71.51,71.51,71.51,71.51
b) Non-encumbered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
