Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Long Term Provisions,Long Term Loans And Advances,Current Investments,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Money Received Against Share Warrants,Deferred Tax Assets [Net],Equity Share Application Money
2005-03-31,194.2,194.2,123.03,123.03,317.23,350.63,53.59,0.0,404.22,115.76,9.12,23.48,9.61,157.97,879.42,511.47,7.2,48.39,0.0,567.06,25.67,2.25,595.0,177.81,28.94,28.72,48.95,0.0,284.42,879.42,113.02,10.9,0.0,330.02,0.0,0.0,25.67,0.0,0.0,0.0,0.0,0.0,0.0,12.29,0.0,162.32,0.0,0.02,0.0
2006-03-31,194.19,194.19,157.72,157.72,351.91,504.03,56.62,0.0,560.65,185.47,45.66,3.54,28.64,263.31,1182.47,638.39,8.32,120.93,0.0,767.64,50.39,0.0,818.33,197.76,36.0,48.58,81.8,0.0,364.14,1182.47,365.93,7.74,0.0,418.97,0.0,0.0,50.39,0.0,0.0,0.0,0.0,0.0,0.0,12.12,0.0,100.26,0.0,0.3,6.6
2007-03-31,194.19,194.19,205.26,205.26,399.45,759.86,67.51,0.0,827.37,230.05,78.96,5.72,4.05,318.78,1545.6,763.48,9.1,301.12,0.0,1073.7,45.76,0.0,1119.66,234.19,29.9,53.22,108.63,0.0,425.94,1545.6,231.65,13.54,0.0,435.22,0.0,1.05,44.75,0.0,0.0,0.0,0.0,0.0,0.0,16.16,0.0,55.9,0.0,0.2,0.0
2008-03-31,194.19,194.19,245.05,245.05,439.24,1027.23,71.55,0.0,1098.78,258.36,162.62,7.37,12.79,441.14,1985.16,796.86,10.34,633.86,0.0,1441.06,75.75,0.0,1523.9,225.21,38.66,39.76,151.63,6.0,461.26,1985.16,193.05,10.76,0.0,519.28,0.0,11.57,64.69,0.0,0.0,0.0,0.0,0.0,0.0,27.56,0.0,202.48,0.0,7.09,6.0
2009-03-31,222.19,222.19,224.15,224.15,446.34,1152.84,109.39,0.0,1262.23,404.06,224.04,10.17,9.25,647.52,2356.09,1460.64,11.05,209.37,0.0,1681.06,118.71,0.0,1876.26,211.0,60.21,20.11,178.91,9.6,479.83,2356.09,128.84,10.68,0.0,686.15,0.0,5.05,114.3,0.0,0.0,0.0,0.0,0.0,0.0,56.11,0.0,79.53,0.0,76.49,0.0
2010-03-31,222.19,222.19,280.61,280.61,502.8,1178.49,120.64,0.0,1299.13,532.57,157.36,11.21,11.56,712.7,2514.63,1529.7,12.41,175.95,0.0,1718.06,35.7,0.0,1806.01,398.69,92.73,26.6,181.1,9.5,708.62,2514.63,99.7,7.55,0.0,839.48,0.0,0.0,35.7,0.0,0.0,0.0,0.0,0.0,0.0,57.7,0.0,58.26,0.0,52.25,0.0
2011-03-31,222.3,222.3,309.24,309.24,531.54,878.73,91.31,0.0,973.01,790.92,186.09,304.13,41.08,1322.22,2826.77,1588.47,4.78,63.09,0.0,1656.34,43.94,0.0,1784.42,678.93,198.82,6.75,145.81,11.46,1042.35,2826.77,337.51,19.5,0.0,1209.5,0.0,0.0,43.94,0.0,0.71,0.0,2.97,84.14,0.58,42.04,17.07,33.66,0.0,0.0,0.0
2012-03-31,305.84,305.84,342.58,342.58,650.55,1272.57,75.98,0.0,1351.56,735.65,182.17,344.76,1.91,1264.49,3266.6,2140.03,7.92,6.38,0.0,2154.33,55.65,0.0,2325.17,520.4,191.9,23.03,204.92,1.18,941.43,3266.6,182.29,13.88,0.0,1441.38,0.0,0.0,55.65,0.0,0.0,0.0,3.01,115.19,0.0,52.86,10.83,161.64,2.13,0.0,0.0
2013-03-31,310.84,310.84,395.43,395.43,706.27,949.18,107.01,0.0,1060.48,967.36,165.85,384.15,2.78,1520.14,3286.89,1962.22,6.0,28.05,0.0,1996.27,61.97,0.0,2180.7,690.99,232.3,33.11,143.66,3.63,1106.19,3286.89,325.35,21.81,0.0,1608.17,0.0,0.0,61.97,0.0,2.5,0.0,4.29,122.46,2.5,55.53,20.73,12.21,0.0,0.0,0.0
2014-03-31,311.09,311.09,576.79,576.79,930.88,765.86,108.23,0.0,878.62,803.88,185.25,366.58,19.32,1375.03,3184.53,1791.23,4.36,27.69,8.59,1831.87,103.23,0.0,2086.54,642.85,264.14,24.52,148.78,2.2,1097.99,3184.53,359.4,29.0,0.0,1853.64,0.0,0.0,103.23,15.69,0.0,0.0,4.53,151.44,15.5,51.76,13.83,0.45,43.0,0.0,0.0
