Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,824.69,3.7,828.39,435.09,6.01,7.95,0.0,59.66,67.19,0.0,173.96,78.52,0.24,78.77,56.23,22.54,0.0,22.54,7.33,15.21,-0.97,14.24,310.84,0.46,0.46,14.42,46.4,16.66,100.0,53.6
2013-03-31,887.28,8.41,895.68,457.02,6.02,25.98,0.0,63.91,66.01,0.0,162.99,113.76,0.15,113.92,58.63,55.29,0.0,55.29,19.36,35.93,-3.23,32.7,310.84,1.05,1.05,14.04,45.15,17.05,100.0,54.85
2013-06-30,869.26,3.49,872.75,445.25,15.24,-32.91,0.0,64.14,68.07,0.0,186.98,125.98,0.28,126.26,59.34,66.93,0.0,66.93,22.76,44.17,0.0,44.17,310.84,1.42,1.42,14.0,45.03,17.09,100.0,54.97
2013-09-30,999.56,0.64,1000.2,484.98,23.86,12.21,0.0,67.22,68.72,0.0,200.47,142.73,0.26,142.99,51.79,91.2,0.0,91.2,18.54,72.66,0.0,72.66,310.84,2.34,2.34,13.89,44.69,17.19,100.0,55.31
2013-12-31,1016.92,4.02,1020.94,501.34,30.38,18.32,0.0,74.08,67.61,0.0,213.22,115.99,0.25,116.23,51.26,64.97,0.0,64.97,14.04,50.93,0.0,50.93,310.84,1.64,1.61,13.89,44.69,17.19,100.0,55.31
2014-03-31,983.11,7.04,990.15,509.97,18.64,24.69,0.0,81.56,64.01,0.0,201.59,89.69,0.3,89.98,47.93,42.05,0.0,42.05,11.17,30.88,-1.61,29.27,311.09,0.94,0.92,12.52,40.24,18.59,100.0,59.76
2014-06-30,900.43,12.83,913.26,517.63,18.46,-91.81,0.0,109.71,80.85,0.0,176.83,101.59,1.59,103.18,58.14,45.04,0.0,45.04,12.75,32.29,0.0,32.29,447.44,0.72,0.68,13.91,31.1,30.83,100.0,68.9
2014-09-30,954.28,7.4,961.68,499.5,14.24,7.8,0.0,91.04,78.23,0.0,194.71,76.15,1.76,77.91,44.6,33.31,0.0,33.31,12.32,20.99,0.0,20.99,448.09,0.47,0.43,13.98,31.2,30.83,100.0,68.8
2014-12-31,925.79,5.53,931.32,492.02,9.79,-16.59,0.0,89.33,79.3,0.0,197.22,80.26,0.33,80.59,49.6,30.99,0.0,30.99,6.86,24.13,0.0,24.13,508.49,0.47,0.47,16.97,33.38,33.88,100.0,66.62
2015-03-31,965.96,12.06,978.02,462.02,8.05,8.52,0.0,96.87,82.94,0.0,207.6,112.03,0.07,112.1,53.63,58.48,0.0,58.48,18.06,40.42,0.0,40.42,508.64,0.79,0.79,16.99,33.4,33.88,100.0,66.6
2015-06-30,873.88,5.21,879.09,414.37,2.58,-27.47,0.0,101.45,81.36,0.0,191.9,114.89,1.72,116.61,44.46,72.15,0.0,72.15,11.18,60.97,0.0,60.97,508.85,1.2,1.2,17.01,33.43,33.88,100.0,66.57
2015-09-30,956.7,4.29,960.99,440.59,5.96,21.2,0.0,105.3,81.82,0.0,209.94,96.17,0.91,97.09,36.77,60.32,0.0,60.32,9.35,50.97,0.0,50.97,508.85,1.0,1.0,17.01,33.43,33.88,100.0,66.57
2015-12-31,888.12,9.65,897.77,415.5,2.56,11.08,0.0,104.94,81.32,0.0,190.85,91.53,3.74,95.26,23.02,72.24,0.0,72.24,11.2,61.04,0.0,61.04,508.95,1.18,1.18,0.0,0.0,0.0,0.0,0.0
2016-03-31,964.78,3.22,968.0,455.85,1.54,-7.79,0.0,120.98,93.12,0.0,203.2,101.1,3.26,104.37,32.16,72.21,0.0,72.21,16.73,55.48,0.0,55.48,509.37,1.07,1.07,0.0,0.0,0.0,0.0,0.0
2016-06-30,1159.54,6.78,1166.32,544.91,1.71,2.87,0.0,134.51,103.45,0.0,240.53,138.34,5.35,143.69,41.63,102.06,0.0,102.06,23.61,78.45,0.0,78.45,494.97,1.59,1.58,0.0,0.0,0.0,0.0,0.0
2016-09-30,1147.77,21.78,1169.55,533.11,1.27,18.0,0.0,146.17,104.45,0.0,236.06,130.49,9.3,139.79,34.76,105.03,0.0,105.03,24.96,80.07,0.0,80.07,509.58,1.59,1.59,0.0,0.0,0.0,0.0,0.0
2016-12-31,1122.34,3.36,1125.69,548.88,3.38,-15.84,0.0,144.68,103.52,0.0,218.58,122.49,7.31,129.8,27.62,102.18,0.0,102.18,23.61,78.58,0.0,78.58,509.58,1.54,1.54,0.0,0.0,0.0,0.0,0.0
2017-03-31,1268.3,0.0,1268.3,626.63,5.34,21.59,0.0,151.02,101.0,0.0,250.66,112.06,49.0,161.06,32.06,129.0,0.0,129.0,29.34,99.66,0.0,99.66,509.58,1.96,1.96,0.0,0.0,0.0,0.0,0.0
2017-06-30,1168.38,0.0,1168.38,598.83,2.48,-49.37,0.0,148.21,102.3,0.0,238.55,127.38,29.73,157.11,33.38,123.73,0.0,123.73,34.79,88.94,0.0,88.94,509.6,1.75,1.75,0.0,0.0,0.0,0.0,0.0
2017-09-30,1154.88,0.0,1154.88,577.12,9.02,28.85,0.0,135.92,102.2,0.0,230.57,71.2,35.73,106.93,31.87,75.06,0.0,75.06,24.16,50.9,0.0,50.9,509.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-12-31,1137.17,0.0,1137.17,591.14,0.0,2.29,0.0,108.72,101.35,0.0,234.99,98.68,31.57,130.25,25.24,105.01,0.0,105.01,31.99,73.02,0.0,73.02,509.6,1.43,1.43,0.0,0.0,0.0,0.0,0.0
2018-03-31,1185.01,0.0,1185.01,563.75,0.0,39.31,0.0,127.61,98.18,0.0,237.55,118.62,-2.9,115.71,27.72,88.0,0.0,88.0,37.12,50.88,0.0,50.88,509.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0
