headline,link,date_str,parsed_date_iso,sentiment_score
"Women, Rookie categories announced for Petronas TVS One Make Championship 2024",https://www.financialexpress.com/auto/motor-sports/women-rookie-categories-announced-for-petronas-tvs-one-make-championship-2024/3373339/,2024-01-24T08:35:28+05:30,2024-01-24T03:05:28,0.4404
Petronas TVS Racing wins 15th Indian National Supercross Championship,https://www.financialexpress.com/auto/motor-sports/petronas-tvs-racing-wins-15th-indian-national-supercross-championship/3340188/,2023-12-16T12:29:34+05:30,2023-12-16T06:59:34,0.765
Petronas TVS Racing bags top spot at the 2022 Indian National Rally Championship,https://www.financialexpress.com/auto/motor-sports/petronas-tvs-racing-bags-top-spot-at-the-2022-indian-national-rally-championship/2978279/,2023-02-10T19:22:00+05:30,2023-02-10T13:52:00,0.5719
Petronas TVS One Make Championship 2023 to be held in Chennai: Applications open,https://www.financialexpress.com/auto/bike-news/petronas-tvs-one-make-championship-2023-to-be-held-in-chennai-applications-open/2948238/,2023-01-14T15:58:00+05:30,2023-01-14T10:28:00,0.4404
TVS and PETRONAS partner to establish PETRONAS TVS Racing Team,https://www.financialexpress.com/auto/motor-sports/tvs-and-petronas-partner-to-establish-petronas-tvs-racing-team/2503097/,2022-04-25T19:30:32+05:30,2022-04-25T14:00:32,0.0
"TVS slashes prices of 2025 iQube S: Bigger battery, lower cost",https://www.financialexpress.com/auto/bike-news/tvs-slashes-prices-of-2025-iqube-s-bigger-battery-lower-cost/3847197/,2025-05-16T14:38:58+05:30,2025-05-16T09:08:58,-0.7034
Norton to launch flagship V4 superbike in India this year,https://www.financialexpress.com/auto/bike-news/norton-to-launch-flagship-v4-superbike-in-india-this-year/3846909/,2025-05-16T11:03:52+05:30,2025-05-16T05:33:52,0.1027
TVS affordable electric scooter spied testing for first time,https://www.financialexpress.com/auto/bike-news/tvs-affordable-electric-scooter-spied-testing-for-first-time/3844391/,2025-05-14T13:21:24+05:30,2025-05-14T07:51:24,0.0
It’s raining deals on TVS iQube: Is it the best to buy it?,https://www.financialexpress.com/auto/electric-vehicles/its-raining-deals-on-tvs-iqube-is-it-the-best-to-buy-it/3844263/,2025-05-14T12:03:46+05:30,2025-05-14T06:33:46,0.6369
"TVS-backed Norton in India: New single, twin-cylinder bikes on cards",https://www.financialexpress.com/auto/bike-news/tvs-backed-norton-in-india-new-single-twin-cylinder-bikes-on-cards/3841110/,2025-05-12T10:23:01+05:30,2025-05-12T04:53:01,0.0
What makes the TVS iQube a practical scooter — Here’s a real-world review,https://www.financialexpress.com/auto/reviews/what-makes-the-tvs-iqube-a-practical-scooter-heres-a-real-world-review/3840858/,2025-05-12T09:00:00+05:30,2025-05-12T03:30:00,0.0
New affordable TVS electric scooter in works,https://www.financialexpress.com/auto/bike-news/new-affordable-tvs-electric-scooter-in-works/3840465/,2025-05-11T13:05:53+05:30,2025-05-11T07:35:53,0.0
Yamaha Aerox in trouble: TVS Ntorq 150 in the making,https://www.financialexpress.com/auto/bike-news/yamaha-aerox-in-trouble-tvs-ntorq-150-in-the-making/3839547/,2025-05-10T11:46:24+05:30,2025-05-10T06:16:24,-0.4019
