Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,771.2,67.48,838.68,344.1,1.35,0.79,56.24,41.93,247.03,104.7,42.54,2.93,45.47,21.41,24.06,0.0,24.06,-9.46,33.52,33.52,26.44,1264.63,1.24,1.24,6.66,25.18,18.2,92.01,68.84
2013-03-31,931.92,71.7,1003.62,441.44,7.08,-8.71,81.48,47.28,249.27,140.26,45.52,20.03,65.55,22.91,42.64,0.0,42.64,36.79,5.85,5.85,26.44,1264.63,0.19,0.19,6.66,25.18,16.59,83.87,62.75
2013-06-30,1208.33,150.93,1359.26,570.08,18.29,0.03,56.64,46.93,350.88,113.07,203.34,3.4,206.74,23.03,183.71,0.0,183.71,62.75,120.96,120.96,26.44,1410.18,4.55,4.55,6.66,25.18,14.39,72.71,54.4
2013-09-30,752.2,93.18,845.38,343.3,5.05,10.8,69.77,47.68,272.72,105.99,-9.93,3.4,-6.53,20.14,-26.67,0.0,-26.67,-8.1,-18.57,-18.57,26.44,1410.18,-0.73,-0.73,6.66,25.18,13.34,67.42,50.45
2013-12-31,859.11,93.7,952.81,387.52,3.93,-20.75,59.57,51.36,267.07,106.44,97.67,3.99,101.66,18.0,83.66,0.0,83.66,28.15,55.51,55.51,26.44,1410.18,2.08,2.08,6.66,25.18,13.69,69.22,51.79
2014-03-31,973.9,104.15,1078.05,424.82,6.33,-0.33,74.8,51.7,283.87,138.35,98.51,13.59,112.1,18.66,93.44,0.0,93.44,25.73,67.71,67.71,26.44,1410.18,2.53,2.53,6.66,25.18,13.91,70.31,52.6
2014-06-30,1278.85,165.73,1444.58,583.1,13.71,9.1,66.32,49.75,171.31,348.49,202.8,12.36,215.16,21.58,193.58,0.0,193.58,64.74,128.84,128.84,26.44,1605.35,4.85,4.85,6.66,25.18,14.66,74.09,55.43
2014-09-30,959.86,125.81,1085.67,411.43,18.05,0.74,77.98,49.49,329.46,123.3,75.22,7.09,82.31,17.8,64.51,0.0,64.51,21.89,42.62,42.62,26.44,1605.35,1.59,1.59,6.66,25.18,14.68,74.21,55.53
2014-12-31,895.75,104.67,1000.42,370.09,16.6,2.69,70.62,55.09,303.08,115.84,66.41,11.95,78.36,18.36,60.0,0.0,60.0,20.06,39.94,39.94,26.44,1605.35,1.48,1.48,6.66,25.18,14.78,74.72,55.9
2015-03-31,1045.23,116.39,1161.62,504.21,7.57,-28.18,86.05,53.06,335.32,134.65,68.94,6.19,75.13,15.25,59.88,0.0,59.88,11.75,48.13,48.13,26.44,1605.35,1.79,1.79,6.66,25.18,14.78,74.72,55.9
2015-06-30,1368.03,84.81,1452.84,639.61,8.07,5.42,75.34,58.32,168.61,307.42,190.05,16.74,206.79,20.18,186.61,0.0,186.61,64.47,122.14,122.14,26.44,0.0,4.62,4.62,6.66,25.18,15.63,79.02,59.12
2015-09-30,1020.73,51.54,1072.27,424.31,27.35,12.14,90.64,59.82,116.3,266.51,75.2,24.16,99.36,20.49,78.87,0.0,78.87,26.76,52.11,52.11,26.44,0.0,1.97,1.97,0.0,0.0,0.0,0.0,0.0
2015-12-31,1035.18,61.73,1096.91,452.92,10.62,-4.92,82.36,61.53,110.15,269.75,114.5,17.93,132.43,18.41,114.02,0.0,114.02,42.77,71.25,71.25,26.44,0.0,2.7,2.7,0.0,0.0,0.0,0.0,0.0
2016-03-31,1212.49,0.0,1212.49,580.19,7.11,-23.71,85.95,63.84,0.0,437.02,62.09,29.86,91.95,18.02,73.93,0.0,73.93,21.56,52.37,52.37,26.44,0.0,1.98,1.98,0.0,0.0,0.0,0.0,0.0
2016-06-30,1485.67,76.65,1562.32,714.37,0.48,-7.44,89.74,63.68,182.71,292.43,226.35,14.51,240.86,14.82,226.04,0.0,226.04,78.98,147.06,147.06,26.44,0.0,5.56,5.56,0.0,0.0,0.0,0.0,0.0
2016-09-30,990.32,48.23,1038.55,465.13,2.26,9.33,88.47,70.21,123.42,228.78,50.95,0.79,51.74,14.11,37.63,0.0,37.63,10.58,27.05,27.05,26.44,0.0,1.02,1.02,0.0,0.0,0.0,0.0,0.0
2016-12-31,979.23,45.79,1025.02,487.18,0.0,-12.04,84.97,69.75,116.73,220.22,58.21,32.95,91.16,15.28,75.88,0.0,75.88,27.39,48.49,48.49,26.44,0.0,1.84,1.84,0.0,0.0,0.0,0.0,0.0
2017-03-31,1112.7,0.0,1112.7,555.94,5.45,-19.69,88.91,83.31,0.0,380.97,17.81,4.25,22.06,14.44,7.62,0.0,7.62,0.89,6.73,6.73,26.44,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
2017-06-30,1674.21,0.0,1674.21,731.72,32.81,27.98,87.98,64.85,0.0,475.37,253.5,6.26,259.76,14.2,245.56,0.0,245.56,83.67,161.89,161.89,26.44,0.0,6.12,6.12,0.0,0.0,0.0,0.0,0.0
2017-09-30,1276.44,0.0,1276.44,537.74,41.92,6.07,101.17,65.04,0.0,367.64,156.86,1.2,158.06,12.71,145.35,0.0,145.35,51.51,93.84,93.84,26.44,0.0,3.55,3.55,0.0,0.0,0.0,0.0,0.0
2017-12-31,1197.1,0.0,1197.1,542.74,21.12,6.01,95.75,64.96,0.0,378.85,87.67,0.77,88.44,9.34,79.1,0.0,79.1,31.72,47.38,47.38,26.44,0.0,1.79,1.79,0.0,0.0,0.0,0.0,0.0
