Date,Equity Share Capital,Total Share Capital,Revaluation Reserve,Reserves and Surplus,Total Reserves and Surplus,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),Bills for Collection,Contingent Liabilities,Preference Share Capital,Equity Share Application Money,Money Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense
2011-03-31,524.33,635.33,1573.84,10555.35,12129.19,12764.52,202461.29,13315.97,7442.67,235984.45,17610.45,2487.99,58399.14,150986.08,2292.78,4208.0,235984.45,3015.0,27746.0,12.95,8.69,4.26,3622.82,2.0,1803.44,1.19,1.0,16652.2,164686.19,111.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,550.55,661.55,1533.83,12437.68,13971.51,14633.06,222868.95,17909.49,6799.95,262211.44,11633.56,4041.58,62363.56,177882.08,2335.8,3954.86,262211.44,3201.0,30838.0,11.85,8.37,3.48,5449.86,3.0,3025.03,1.7,2.0,16508.15,238838.79,111.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,596.79,707.79,1495.76,15092.64,16588.39,17296.19,263761.57,23797.27,7005.77,311860.81,10762.92,5447.47,80830.45,208102.19,2479.01,4238.78,311860.81,3511.0,31798.0,11.45,8.23,3.22,6313.83,3.0,3353.37,1.61,2.0,23976.72,330741.74,111.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,630.31,741.31,1459.34,16274.71,17734.05,18475.36,297675.64,29316.62,8313.29,353780.9,18419.68,4653.19,93723.18,229104.43,2608.47,5271.95,353780.9,3871.0,33806.0,10.8,7.54,3.26,2563.74,4.0,5340.25,2.33,2.0,32835.71,207999.87,111.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,635.78,635.78,1424.71,17700.4,19125.1,19760.88,316869.92,35359.98,9625.15,381615.93,15063.08,7314.94,94092.98,255654.57,2681.95,6808.41,381615.93,4081.0,35514.0,10.22,7.5,2.72,13030.87,5.0,6918.97,2.71,3.0,38741.69,362805.87,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,687.44,687.44,2581.24,19622.53,22203.77,22891.21,342720.01,30957.35,8127.33,404695.9,15604.72,13671.5,89208.35,267354.0,3939.87,14917.46,404695.9,4200.0,35473.0,10.56,8.14,2.42,24170.89,9.0,14025.94,5.25,5.0,42490.45,408746.74,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,687.44,687.44,0.0,22747.76,22747.76,23435.2,378391.58,41225.87,9110.79,452704.44,16520.45,16302.05,112148.96,286466.58,3894.42,17371.99,452704.44,4282.0,36877.0,11.79,9.02,2.77,33712.28,11.0,18833.0,6.57,7.0,16119.4,247720.26,0.0,541.0,0.0,0.0,0.0,0.0
2018-03-31,1168.57,1168.57,0.0,23928.2,23928.2,25096.77,408501.64,45680.77,8126.82,487406.0,21016.47,28424.73,123780.12,288760.58,3833.33,21590.76,487406.0,4297.0,37587.0,11.5,9.07,2.43,33712.0,16.0,24326.0,8.42,8.0,18427.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,1763.02,1763.02,2234.81,22489.18,24723.99,26487.01,415915.27,42863.82,8772.74,494038.84,20796.46,22249.51,126046.64,296932.15,3762.29,24251.78,494038.84,4292.0,37262.0,11.78,9.48,2.3,48729.0,15.0,20332.0,6.85,7.0,19441.23,198405.7,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,3422.82,3422.82,3174.15,27188.68,30362.83,33785.64,450668.45,52486.25,13742.92,550683.27,20118.3,34987.92,152413.9,315049.41,4762.52,23351.23,550683.27,4284.0,37318.0,12.81,10.75,2.06,49085.3,14.0,17303.14,5.49,5.0,21682.69,188202.36,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,6406.84,6406.84,4898.48,53171.41,58069.89,64476.74,923805.34,51837.11,31586.66,1071705.84,37880.46,46529.89,331511.79,590982.88,7343.87,57456.96,1071705.84,9315.0,78202.0,12.56,10.35,2.21,89788.2,14.0,27280.52,4.62,5.0,34694.81,370527.97,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,6834.75,6834.75,0.0,63741.39,63741.39,70576.14,1032392.63,51179.1,33443.19,1187591.06,46112.59,73387.77,348507.39,661004.66,7191.3,51387.35,1187591.06,0.0,0.0,14.52,0.0,0.0,79587.07,11.0,24303.3,3.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,6834.75,6834.75,0.0,71499.46,71499.46,78334.21,1117716.32,43137.47,41564.45,1280752.45,50254.27,61896.18,339299.05,761845.46,8825.61,58631.88,1280752.45,0.0,0.0,16.04,0.0,0.0,60987.29,8.0,12927.44,170.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,7633.61,7633.61,0.0,89335.36,89335.36,96968.97,1221528.37,26948.37,46511.91,1391957.62,52897.5,66405.37,337903.53,870776.09,9222.78,54752.35,1391957.62,0.0,0.0,16.97,0.0,0.0,43097.73,4.76,8989.92,1.03,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
