headline,link,date_str,parsed_date_iso,sentiment_score
James Bond meets Apple: Aston Martin rolls out next-gen CarPlay,https://www.financialexpress.com/auto/car-news/james-bond-meets-apple-aston-martin-rolls-out-next-gen-carplay/3847068/,2025-05-16T13:32:18+05:30,2025-05-16T08:02:18,0.0
Aston Martin Vanquish launched at Rs 8.85 crore — top speed of 345 kmph,https://www.financialexpress.com/auto/car-news/aston-martin-vanquish-launched-at-rs-8-85-crore-top-speed-of-345-kmph/3785435/,2025-03-23T10:15:46+05:30,2025-03-23T04:45:46,0.3182
Aston Martin launches Vantage in India at Rs 3.99 crore,https://www.financialexpress.com/auto/car-news/aston-martin-launches-vantage-in-india-at-rs-3-99-crore/3596141/,2024-08-29T17:02:05+05:30,2024-08-29T11:32:05,0.0
"2025 Aston Martin Vantage facelift lands in India, priced at Rs 3.99 crore",https://www.financialexpress.com/auto/car-news/2025-aston-martin-vantage-facelift-lands-in-india-priced-at-rs-3-99-crore/3466184/,2024-04-23T18:19:20+05:30,2024-04-23T12:49:20,0.0
Zomato CEO takes delivery of India’s first Aston Martin DB12 – Here is Deepinder Goyal’s car collection,https://www.financialexpress.com/auto/news/zomato-ceo-takes-delivery-of-indias-first-aston-martin-db12-here-is-deepinder-goyals-car-collection/3422151/,2024-03-12T11:51:37+05:30,2024-03-12T06:21:37,0.0
2025 Aston Martin Vantage makes global debut– fastest V8 Vantage yet,https://www.financialexpress.com/auto/car-news/2025-aston-martin-vantage-makes-global-debut-fastest-v8-vantage-yet/3392093/,2024-02-12T17:42:29+05:30,2024-02-12T12:12:29,0.0
Aston Martin DB12 launched in India at Rs 4.59 crore,https://www.financialexpress.com/auto/car-news/aston-martin-db12-launched-in-india-at-rs-4-59-crore/3259171/,2023-09-30T12:19:44+05:30,2023-09-30T06:49:44,0.128
New Aston Martin DB12 Volante UK debut on August 3o,https://www.financialexpress.com/business/express-mobility-new-aston-martin-db12-volante-uk-debut-on-august-3o-3228448/,2023-08-31T12:36:10+05:30,2023-08-31T07:06:10,0.0
Aston Martin unveils DB12 Volante convertible,https://www.financialexpress.com/auto/car-news/aston-martin-unveils-db12-volante-convertible/3212137/,2023-08-16T14:53:36+05:30,2023-08-16T09:23:36,0.0
Aston Martin to launch DB12 in India by September 2023,https://www.financialexpress.com/auto/car-news/aston-martin-db12-india-launch-slated-for-september-2023/3194070/,2023-07-31T15:53:44+05:30,2023-07-31T10:23:44,0.0
"Aston Martin Valour makes global debut, features V12 with manual gearbox",https://www.financialexpress.com/auto/car-news/aston-martin-valour-makes-global-debut-features-v12-with-manual-gearbox/3168209/,2023-07-13T11:23:41+05:30,2023-07-13T05:53:41,0.0
"Meet the new Aston Martin DB12 — The successor to the DB11, priced at Rs 4.8 crore",https://www.financialexpress.com/auto/car-news/meet-the-new-aston-martin-db12-the-successor-to-the-db11-priced-at-rs-4-8-crore/3102155/,2023-05-25T18:53:36+05:30,2023-05-25T13:23:36,0.2263
