Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Equity Share Application Money,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Current Investments,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,18.58,18.58,409.58,409.58,428.16,711.07,161.01,0.0,0.0,872.08,166.12,255.02,21.67,11.68,454.48,1754.73,809.49,3.92,85.01,0.0,898.43,141.64,58.85,0.0,8.72,1107.63,228.31,178.55,28.12,212.12,0.0,647.1,1754.73,137.9,10.75,0.12,211.78,1.52,140.84,0.0,0.0,68.28,0.0,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,18.58,18.58,432.19,432.19,450.77,678.25,107.68,0.0,0.0,785.93,147.68,417.3,24.0,17.64,606.63,1843.33,843.66,6.54,53.15,0.0,903.35,140.42,0.0,0.0,5.98,1049.75,284.05,251.4,38.97,219.16,0.0,793.58,1843.33,152.42,13.67,0.18,432.57,3.27,139.54,0.0,0.0,210.27,0.0,3.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,22.19,22.19,560.5,560.5,582.7,628.04,149.68,0.0,0.0,777.72,59.57,356.34,20.61,21.01,457.53,1826.82,878.18,6.54,78.03,0.0,962.74,153.45,16.17,0.0,4.2,1136.57,262.17,198.25,51.75,178.09,0.0,690.25,1826.82,182.39,14.45,0.36,320.27,7.65,152.58,0.0,8.87,192.7,0.0,9.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,24.0,24.0,693.67,693.67,717.68,621.12,150.51,0.0,0.0,771.63,128.25,438.93,22.32,26.26,615.76,2108.4,893.47,6.54,281.98,0.0,1181.99,160.96,7.08,0.0,3.04,1353.06,339.06,226.91,37.08,152.29,0.0,755.33,2108.4,321.11,8.14,0.66,362.35,3.39,160.08,0.0,3.33,182.8,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,25.09,25.09,840.41,840.41,865.5,782.05,153.48,0.0,0.0,935.53,161.15,835.27,25.68,38.17,1060.28,2894.8,938.79,6.91,503.39,0.0,1449.08,166.68,6.71,0.0,1.61,1624.08,532.42,256.35,46.36,435.59,0.0,1270.72,2894.8,520.01,9.46,0.9,369.42,2.23,165.8,0.0,33.5,197.96,0.0,48.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,25.09,25.09,991.18,991.18,1016.28,1178.65,152.14,0.0,0.0,1330.79,287.5,947.63,33.66,37.34,1306.13,3653.2,1115.22,7.22,1208.64,0.0,2331.07,187.23,30.04,0.0,0.73,2549.06,403.71,322.85,76.47,301.1,0.0,1104.14,3653.2,415.1,12.14,1.19,634.64,4.06,186.35,0.0,0.0,181.43,0.0,104.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,30.54,30.54,1469.15,1469.15,1499.69,840.12,205.3,0.0,0.0,1045.42,0.0,1542.53,83.22,44.18,1669.93,4215.04,2241.93,7.22,608.39,0.0,2857.54,186.95,36.2,0.0,0.0,3080.69,672.1,167.49,10.3,274.36,10.1,1134.36,4215.04,323.41,17.86,0.0,455.44,3.84,186.95,0.0,0.0,284.41,0.0,68.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,30.54,30.54,1526.51,1526.51,1557.05,1319.5,214.88,163.58,16.61,1714.57,150.37,937.91,563.37,45.38,1697.03,4968.65,2747.23,0.29,382.48,0.0,3130.0,186.95,0.0,156.78,11.49,3485.22,962.66,283.48,112.99,104.28,20.02,1483.43,4968.65,2289.72,25.68,0.0,395.61,18.58,186.95,0.0,0.0,393.68,49.18,48.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,30.54,30.54,1501.0,1501.0,1531.54,1971.09,203.84,411.7,18.05,2604.68,203.02,1368.51,381.41,5.48,1958.42,6094.64,2906.57,2.32,762.49,0.0,3671.38,186.95,0.0,208.56,20.21,4087.1,1212.74,359.71,253.18,133.35,48.56,2007.54,6094.64,2764.91,28.13,0.0,468.14,2.6,186.95,0.0,0.0,536.33,36.04,41.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,30.54,30.54,1514.38,1514.38,1544.92,2295.7,207.98,501.08,28.53,3033.29,357.65,1436.53,692.21,14.95,2501.34,7079.55,3285.27,1.95,1173.61,0.0,4460.83,174.78,0.0,255.25,6.36,4897.22,1305.65,490.72,123.11,206.5,48.35,2182.33,7079.55,3025.64,34.13,0.0,496.72,3.67,174.78,8.0,0.0,548.28,31.54,160.62,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,30.54,30.54,1492.17,1492.17,1522.71,2546.94,196.8,248.03,30.98,3022.75,668.99,1503.15,939.28,12.91,3124.33,7669.79,5102.89,2.17,151.89,0.0,5256.95,173.78,0.0,274.61,0.0,5705.34,1163.97,361.43,154.95,235.48,47.62,1964.45,7669.79,2369.94,54.04,0.0,801.18,5.55,173.78,1.0,0.0,606.33,67.54,37.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
