Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2013-03-31,10.47,10.47,497.82,497.82,508.28,363.42,21.82,4.71,27.5,417.45,68.14,208.61,125.75,10.35,412.84,1338.58,433.76,4.69,257.04,0.6,0.0,696.09,249.89,0.0,10.72,0.17,956.87,1.65,100.92,203.66,11.23,40.64,23.62,381.71,1338.58,553.51,78.37,0.87,36.93,10.4,65.59,7.84,9.73,249.89,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,10.47,40.47,827.06,827.06,867.53,300.76,22.92,3.49,5.46,332.63,49.14,244.08,142.59,18.2,454.01,1654.17,543.11,4.02,209.38,0.68,0.0,757.18,466.66,0.0,29.92,5.99,1259.76,37.53,123.51,150.53,9.24,49.15,24.45,394.41,1654.17,297.54,68.84,1.89,36.81,12.17,81.77,7.67,9.73,466.66,37.53,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,10.47,10.47,284.39,284.39,294.85,797.38,7.04,10.61,3.88,818.92,172.9,181.43,177.16,17.96,549.46,1663.23,690.83,3.8,31.5,0.57,31.9,758.59,466.67,0.0,0.26,19.47,1244.99,2.42,147.43,180.49,18.04,28.58,41.29,418.25,1663.23,44.22,0.0,0.0,0.0,0.0,0.0,0.0,9.73,466.67,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,10.47,27.09,672.88,672.88,699.97,418.99,4.78,4.73,4.85,433.35,180.39,205.56,209.85,17.84,613.65,1746.97,716.87,4.13,44.4,0.63,30.77,796.8,464.71,0.0,0.52,28.2,1290.23,11.94,163.85,230.73,14.99,1.77,33.47,456.74,1746.97,74.19,0.0,0.0,0.0,0.0,0.0,0.0,9.73,464.71,11.94,16.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,12.31,14.33,932.91,932.91,947.24,301.47,0.49,0.52,5.47,307.94,124.86,221.96,138.86,18.01,503.69,1758.87,759.57,4.68,25.31,0.02,29.64,819.22,464.72,0.0,1.01,11.21,1296.16,0.0,173.15,251.74,3.13,2.55,32.14,462.71,1758.87,43.32,0.0,0.0,0.0,0.0,0.0,0.0,9.73,464.72,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,12.31,13.48,998.07,998.07,1011.55,220.46,13.52,17.83,5.31,257.12,172.43,324.33,175.19,19.41,691.36,1960.03,763.22,9.11,21.71,0.6,28.64,823.28,464.72,0.0,1.75,35.29,1325.04,0.01,194.69,388.84,8.59,1.87,40.99,634.99,1960.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.73,464.72,0.01,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,13.48,13.48,1115.28,1115.28,1128.77,156.0,30.63,15.98,5.47,208.09,82.2,350.47,248.88,20.05,701.59,2038.44,845.14,9.13,50.62,3.0,27.51,935.4,464.75,0.0,2.34,56.59,1459.07,0.0,225.77,306.05,6.74,6.04,34.78,579.38,2038.44,897.76,0.0,0.0,0.0,196.39,189.27,0.0,9.73,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,13.48,13.48,1123.85,1123.85,1137.33,277.95,35.9,32.48,16.79,363.12,142.25,496.08,297.82,27.73,963.88,2464.33,968.85,53.12,78.59,29.47,13.52,1143.55,440.98,0.0,4.44,51.36,1640.33,0.0,265.62,253.29,125.96,5.54,173.59,824.0,2464.33,1574.7,107.3,4.41,82.06,11.33,150.05,26.22,9.73,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,15.28,15.28,1901.68,1901.68,1916.96,377.28,60.95,48.74,13.55,500.52,0.42,562.94,333.87,12.36,909.6,3327.08,942.59,53.54,124.53,32.65,12.97,1166.27,1022.96,0.0,5.21,76.66,2271.1,0.0,312.1,362.82,247.39,6.55,127.12,1055.98,3327.08,1288.86,153.37,1.09,54.82,28.73,225.95,25.05,9.73,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,15.28,15.28,1925.71,1925.71,1940.99,211.1,70.64,35.97,13.18,330.89,951.57,672.47,296.76,14.92,1935.72,4207.59,1047.95,67.86,54.93,6.94,12.42,1190.1,1022.96,0.0,0.0,78.97,2292.03,0.0,361.63,397.19,43.01,1029.88,83.85,1915.56,4207.59,988.97,202.31,3.03,83.25,44.0,295.58,41.59,9.73,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
