Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Preference Share Capital,Employees Stock Options,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Current Investments,Raw Materials
2010-12-31,8.0,85.38,102.43,102.43,187.8,0.0,563.16,0.0,0.0,0.0,563.16,0.0,0.0,114.78,0.0,114.78,865.75,586.46,0.0,35.67,0.0,622.13,0.0,0.0,0.0,555.77,121.98,83.33,26.92,77.74,0.0,309.98,865.75,512.65,2.1,6.92,0.0,0.0,0.0,0.0,0.0,77.38,0.0,0.0,3.21,-66.35,0.0,161.84
2011-12-31,8.0,8.0,106.01,106.01,114.01,0.0,561.48,64.74,70.07,7.87,704.16,156.62,33.17,243.65,1.29,434.72,1252.89,734.98,3.65,108.96,0.0,847.59,0.0,25.84,0.31,873.74,172.23,86.91,3.8,112.63,3.59,379.15,1252.89,120.68,1.21,9.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.95,79.25,0.0,0.0,0.0
2012-12-31,26.75,26.75,172.1,172.1,198.85,0.0,1201.34,70.44,21.81,9.86,1303.45,229.04,46.61,382.98,5.26,663.89,2166.19,1219.79,2.38,148.41,0.0,1370.58,101.19,268.25,2.49,1742.51,185.89,58.14,8.16,154.88,16.63,423.68,2166.19,475.77,7.72,13.36,8.68,0.0,101.19,0.0,0.0,0.0,0.0,53.77,65.97,0.0,0.0,0.0
2013-12-31,133.77,133.77,88.6,88.6,222.36,40.0,1488.81,61.67,18.74,12.56,1581.78,203.25,77.17,367.88,4.27,652.57,2496.72,1588.01,130.74,10.23,0.0,1728.97,168.45,232.7,2.07,2132.19,181.6,39.7,14.12,95.18,33.93,364.53,2496.72,318.46,7.22,16.2,12.99,107.01,168.45,0.0,0.0,0.0,0.0,135.73,92.68,0.0,0.0,0.0
2014-12-31,133.77,333.77,120.28,120.28,454.04,0.0,1491.53,79.58,0.0,20.78,1591.89,326.07,93.1,389.7,17.04,825.91,2871.83,1614.62,118.5,16.87,0.0,1750.0,220.59,224.35,6.77,2201.7,213.87,34.75,3.29,74.44,41.8,670.13,2871.83,1495.61,5.51,24.8,11.4,107.01,220.59,302.59,0.0,200.0,0.0,113.99,32.09,0.0,301.98,0.0
2015-12-31,133.77,583.77,275.91,275.91,859.68,0.0,1503.06,148.94,625.21,38.42,2315.62,68.1,99.29,762.21,36.55,966.15,4141.45,2538.99,377.2,32.03,0.0,2948.22,303.92,329.44,5.01,3586.59,350.79,50.05,19.58,121.77,12.67,554.86,4141.45,330.14,5.71,16.29,10.1,107.01,303.92,0.0,0.0,450.0,0.0,197.73,23.69,0.0,0.0,0.0
2016-12-31,182.31,182.31,1959.56,1959.56,2141.87,0.0,861.22,222.57,331.32,55.7,1470.8,148.26,144.41,837.82,41.89,1172.37,4785.04,2697.95,333.73,68.94,0.0,3100.61,611.68,486.47,4.3,4203.06,359.97,50.31,14.94,135.49,21.27,581.98,4785.04,447.71,8.16,26.93,13.04,107.01,611.68,0.0,0.0,0.0,0.0,116.05,21.7,0.0,0.0,0.0
2017-12-31,182.59,182.59,2113.98,2113.98,2296.69,0.11,1606.16,155.15,4.6,65.85,1831.76,192.59,83.83,878.02,15.55,1169.99,5298.55,2840.48,437.52,11.97,0.0,3289.97,627.19,593.09,56.83,4567.08,315.67,94.69,31.27,9.43,280.41,731.47,5298.55,262.52,237.6,58.04,0.0,107.01,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0
2018-12-31,182.64,182.64,2406.26,2406.26,2588.94,0.0,1835.91,202.63,4.43,97.65,2140.62,318.88,178.32,844.28,15.23,1356.7,6086.27,2798.3,523.52,339.23,0.0,3661.05,774.5,695.91,53.18,5184.64,418.33,134.47,1.84,10.47,336.52,901.63,6086.27,500.08,317.18,160.71,0.0,107.01,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
2019-12-31,288.69,288.69,3578.43,3578.43,3867.12,0.0,2291.71,276.13,0.82,160.67,2729.33,411.04,317.88,1019.31,28.88,1777.12,8373.56,4839.97,561.79,58.58,0.0,5460.33,907.78,604.28,92.58,7064.97,672.98,130.53,32.42,35.17,437.49,1308.59,8373.56,762.58,411.07,92.63,0.0,198.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
