Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Preference Share Capital,Deferred Tax Liabilities [Net],Short Term Borrowings,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2007-03-31,2.01,2.01,3.51,3.51,5.52,6.13,0.0,0.0,6.13,0.0,8.52,1.53,10.05,21.7,18.21,0.0,0.0,0.0,0.0,18.21,0.13,0.0,0.0,0.01,18.36,0.0,0.11,1.16,0.31,1.77,0.0,3.35,21.7,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,4.02,4.02,2.37,2.37,6.39,9.34,0.0,0.0,9.34,0.0,9.9,0.93,10.84,26.57,22.14,0.0,0.0,0.0,0.0,22.14,0.28,0.0,0.0,0.02,22.44,0.0,0.16,1.3,0.35,2.32,0.0,4.13,26.57,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,4.02,4.02,3.71,3.71,7.73,12.16,0.0,0.0,12.16,0.0,12.27,2.01,14.27,34.17,27.57,0.0,0.0,0.0,0.0,27.57,0.28,0.0,0.0,0.03,27.89,0.0,0.11,1.68,0.36,4.13,0.0,6.28,34.17,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,4.02,4.02,7.0,7.0,11.02,23.27,0.0,0.0,23.27,0.0,5.61,2.96,8.57,42.86,32.56,0.0,0.0,0.0,0.0,32.56,0.01,0.0,0.0,0.02,32.59,0.0,0.36,2.69,0.73,6.49,0.0,10.27,42.86,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,2.0,2.0,-3.14,-3.14,-1.14,15.17,0.0,0.0,15.17,0.48,2.53,0.14,3.14,17.18,17.03,0.0,0.0,0.0,0.0,17.03,0.0,0.0,0.04,0.0,17.07,0.0,0.08,0.05,-0.03,0.0,0.02,0.11,17.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,2.0,2.0,-7.04,-7.04,-5.04,10.85,0.0,0.0,10.85,1.14,2.01,0.17,3.32,9.13,8.7,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.07,0.0,8.77,0.0,0.13,0.09,0.08,0.0,0.06,0.36,9.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,2.0,2.0,-8.33,-8.33,-6.33,2.28,3.75,0.0,6.03,4.7,2.65,0.13,7.48,7.18,6.45,0.0,0.0,0.0,0.0,6.45,0.0,0.02,0.1,0.0,6.56,0.0,0.13,0.2,0.23,0.0,0.07,0.62,7.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,2.0,2.0,-9.12,-9.12,-7.12,0.88,2.73,0.0,3.97,5.67,2.53,0.12,8.32,5.17,3.8,0.0,0.0,0.0,0.0,3.84,0.0,0.0,0.13,0.0,3.97,0.0,0.27,0.28,0.53,0.0,0.11,1.19,5.17,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,4.38,4.38,55.63,55.63,60.01,31.03,0.0,0.0,31.03,7.81,23.33,4.73,38.06,129.1,81.43,0.47,6.37,0.0,0.0,88.27,5.91,2.53,5.6,4.88,107.18,0.0,1.61,8.19,3.66,8.41,0.06,21.92,129.1,0.0,2.01,3.1,2.81,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,4.53,6.94,126.21,126.21,133.15,23.32,0.0,1.19,24.5,12.44,16.06,1.65,30.15,187.81,92.34,0.24,1.91,0.0,0.0,94.5,6.97,0.63,8.82,2.03,112.95,3.0,0.75,6.93,60.11,3.45,0.62,74.86,187.81,0.0,0.74,21.71,2.86,3.0,2.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
