Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Long Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Provisions,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,6.58,6.58,17.08,17.08,23.66,4.31,0.0,12.39,6.22,4.68,0.61,0.03,11.53,47.59,26.06,0.0,1.02,27.08,0.0,0.0,0.0,27.84,0.0,5.79,8.49,2.7,2.76,0.0,19.75,47.59,4.85,0.09,8.04,0.0,0.0,0.0,0.0,8.09,1.45,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,6.58,6.58,19.53,19.53,26.11,4.54,0.0,14.31,6.28,5.97,1.03,0.91,14.19,54.61,31.92,0.0,0.74,32.67,0.0,0.0,0.0,32.82,0.0,8.92,8.22,0.52,4.14,0.0,21.79,54.61,2.99,0.14,9.33,0.0,0.0,0.0,0.0,9.77,1.32,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,6.58,6.58,20.73,20.73,27.31,4.77,0.0,12.85,14.41,4.45,2.88,0.86,22.61,62.77,36.69,0.0,0.39,37.08,0.0,0.0,0.0,37.18,0.0,7.89,13.26,1.38,3.06,0.0,25.59,62.77,3.19,0.36,15.95,0.0,0.0,0.0,0.0,8.08,4.11,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,6.58,6.58,23.32,23.32,29.9,4.92,0.0,10.83,19.78,6.95,3.44,1.31,31.47,72.21,35.99,0.0,1.63,37.62,0.0,0.0,0.0,37.7,0.0,8.21,19.7,0.88,5.72,0.0,34.51,72.21,5.14,0.83,42.97,0.0,0.0,0.0,0.0,5.91,8.24,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,9.87,9.87,32.79,32.79,42.67,5.4,0.0,16.47,23.22,8.68,4.2,2.88,38.98,98.12,40.85,0.0,10.91,51.76,0.0,0.0,0.0,51.9,0.0,12.12,22.07,1.37,10.66,0.0,46.23,98.12,20.57,0.76,93.08,0.0,3.29,0.0,0.0,11.07,13.75,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,9.87,9.87,55.03,55.03,64.91,5.99,0.0,41.79,15.16,8.81,2.91,4.0,30.89,137.59,44.7,0.0,43.43,88.13,0.0,0.0,0.0,88.26,0.0,12.06,27.92,1.89,7.47,0.0,49.33,137.59,7.64,1.67,144.57,0.0,3.29,0.0,0.0,35.79,29.7,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,9.87,9.87,89.31,89.31,99.19,8.89,0.0,47.9,24.11,5.7,4.11,4.31,38.22,185.31,79.63,0.0,38.37,117.99,0.0,0.0,0.0,118.17,0.0,18.89,35.87,1.79,10.58,0.0,67.14,185.31,11.94,4.42,175.16,0.0,3.29,0.0,0.0,39.0,32.19,0.0,0.56,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,9.87,9.87,133.82,133.82,143.7,11.74,0.0,37.78,35.3,11.9,18.77,10.37,76.35,257.82,107.38,3.79,36.04,147.21,0.0,0.0,0.0,147.21,3.16,35.01,51.92,1.94,18.54,0.03,110.61,257.82,45.6,3.86,250.71,0.0,3.29,0.0,3.16,26.04,54.29,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,9.87,9.87,177.15,177.15,187.03,14.9,0.0,106.2,61.92,8.88,26.57,13.97,111.34,404.57,140.55,3.77,56.74,201.06,0.0,0.0,0.0,201.06,7.9,43.02,85.68,31.95,34.9,0.05,203.5,404.57,49.64,3.14,329.52,0.13,3.29,0.0,7.9,91.3,48.1,0.6,7.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,9.87,9.87,231.37,231.37,241.25,26.1,0.0,161.64,65.3,15.63,44.48,18.61,144.02,546.9,286.82,3.31,14.05,304.18,0.0,0.0,0.0,304.18,12.77,54.64,113.19,33.77,28.22,0.12,242.72,546.9,20.25,3.02,359.68,0.0,3.29,0.0,12.77,135.53,12.13,0.0,5.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
