Item,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19,Sep '19,Jun '19,Mar '19,Dec '18,Sep '18,Jun '18,Mar '18,Dec '17,Sep '17,Jun '17,Mar '17,Dec '16,Sep '16,Jun '16,Mar '16,Dec '15,Sep '15,Jun '15,Mar '15,Dec '14,Sep '14,Jun '14,Mar '14,Dec '13,Sep '13,Jun '13,Mar '13,Dec '12
Net Sales/Income from operations,488.13,500.08,543.94,637.51,514.64,540.53,538.1,622.23,439.85,513.77,502.68,563.23,343.6,386.92,324.92,201.75,241.32,230.05,101.65,40.33,307.92,432.14,411.52,564.18,434.76,430.09,401.78,517.81,362.56,337.99,309.22,399.82,306.22,306.68,284.88,374.17,274.4,290.5,294.7,353.5,244.5,252.1,217.6,328.4,226.6,235.1,197.2,325.8,195.7,212.9
Other Operating Income,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.6,0.71,0.57,0.99,0.86,0.8,0.8,0.9,1.7,0.9,1.1,0.9,0.9,1.0,1.1,1.1,1.1,0.8
Total Income From Operations,488.13,500.08,543.94,637.51,514.64,540.53,538.1,622.23,439.85,513.77,502.68,563.23,343.6,386.92,324.92,201.75,241.32,230.05,101.65,40.33,307.92,432.14,411.52,564.18,434.76,430.09,401.78,517.81,362.56,337.99,309.22,399.82,306.82,307.39,285.45,375.16,275.26,291.3,295.5,354.4,246.2,253.0,218.7,329.3,227.5,236.1,198.3,326.9,196.8,213.7
EXPENDITURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials,134.17,109.53,124.39,123.01,134.8,122.62,99.95,113.35,108.85,86.44,91.51,90.68,90.11,76.91,69.58,38.07,59.57,27.01,12.72,3.42,57.19,54.57,55.68,51.62,58.61,64.19,58.91,52.82,48.01,37.26,28.13,32.03,37.13,36.02,22.64,34.69,44.29,35.0,31.5,54.8,41.7,29.1,26.6,46.7,45.9,32.3,26.9,47.4,45.2,38.6
Purchase of Traded Goods,163.56,138.41,160.18,160.78,227.01,311.15,243.08,253.8,256.0,227.86,185.6,225.14,232.16,164.27,112.79,71.75,111.97,27.15,17.22,3.55,160.41,123.88,148.39,172.2,265.99,253.92,206.22,171.71,191.61,154.28,102.74,163.27,181.8,131.94,120.94,127.2,167.3,121.9,148.3,125.7,114.5,137.0,118.3,114.0,85.3,122.9,104.9,91.7,65.0,64.4
Increase/Decrease in Stocks,-5.64,48.25,44.82,104.28,-72.54,-133.21,-43.24,-5.06,-115.14,7.02,20.53,15.17,-130.75,-12.94,10.65,2.0,-9.69,99.28,37.58,16.72,-52.21,47.27,7.43,72.93,-79.69,-74.54,-53.0,42.49,-64.09,-19.05,31.77,28.9,-53.26,-3.13,14.37,46.36,-64.51,7.3,-11.8,15.3,-21.5,-22.5,-24.9,20.3,-8.9,-19.1,-18.5,28.9,-12.7,5.6
Power & Fuel,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Employees Cost,37.04,39.97,40.42,39.58,41.79,43.59,43.24,44.91,39.36,43.71,42.27,42.68,38.2,35.78,32.03,29.64,28.6,25.42,25.22,33.1,29.89,47.28,50.07,48.35,50.06,48.87,45.65,40.78,40.32,38.6,38.45,35.86,34.19,33.78,36.01,32.04,29.89,31.5,30.9,29.0,28.3,26.4,26.8,24.5,23.0,22.8,23.0,24.0,18.4,21.9
Depreciation,27.55,26.81,26.2,25.55,24.35,22.53,19.83,16.78,15.27,14.11,13.79,14.88,13.91,14.4,14.56,15.25,15.25,15.48,15.83,18.22,19.24,19.41,18.37,18.05,3.48,3.24,3.07,2.95,2.94,2.91,2.47,2.53,2.72,2.75,2.71,3.27,2.83,3.1,3.0,3.1,3.3,3.4,3.9,4.7,4.0,4.2,4.3,4.6,5.2,4.9
