Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Trade/Other Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,33.06,33.06,155.95,155.95,189.0,16.45,26.81,0.0,0.0,43.26,66.78,407.21,134.88,78.73,687.61,919.87,118.35,3.27,0.97,0.0,122.59,45.47,37.02,0.0,0.0,205.08,0.0,158.66,357.71,91.58,106.85,0.0,714.8,919.87,291.6,0.0,2.33,0.03,16.98,47.96,9.77,33.58,47.46,0.0,0.0,52.71,0.0,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,33.06,33.06,160.46,160.46,193.51,42.12,12.38,0.0,0.0,54.5,64.28,446.58,170.94,97.15,778.96,1026.97,72.21,3.27,6.95,0.0,82.43,46.22,33.91,0.0,0.0,162.55,0.0,240.01,361.33,145.66,117.42,0.0,864.42,1026.97,269.94,0.0,4.03,0.04,19.68,60.83,9.77,54.15,50.02,0.0,0.0,94.49,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,33.06,33.06,208.35,208.35,241.41,40.07,23.6,0.0,0.0,63.67,31.94,528.49,201.25,113.33,875.02,1180.09,113.3,10.54,10.99,0.0,134.82,61.03,50.28,0.0,0.0,246.14,0.0,299.24,397.66,108.63,126.18,2.25,933.96,1180.09,214.99,0.0,3.02,0.0,17.52,78.38,9.77,10.17,45.86,0.0,0.0,174.8,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,33.07,33.07,347.68,347.68,380.75,30.0,24.05,0.0,0.0,54.05,52.14,592.43,301.68,173.52,1119.77,1554.57,112.94,10.9,6.03,0.0,129.87,137.41,53.72,0.0,0.0,321.0,0.0,482.51,439.81,140.25,163.94,7.07,1233.57,1554.57,224.09,0.0,2.36,0.0,20.5,91.38,9.77,187.85,137.44,0.0,0.0,273.57,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,33.07,33.07,505.25,505.25,538.32,20.0,0.0,0.0,0.0,20.0,27.67,693.05,524.34,204.2,1449.26,2007.58,128.73,12.02,18.75,0.0,159.5,267.93,20.43,0.0,0.0,447.86,0.0,609.59,531.69,275.21,133.26,9.97,1559.72,2007.58,227.47,0.0,3.02,0.0,38.19,113.85,9.77,103.54,268.44,0.0,0.0,485.8,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,33.07,33.07,695.92,695.92,728.99,10.0,0.0,0.0,0.0,10.0,118.44,1133.88,687.81,244.76,2184.89,2923.89,146.25,17.15,9.65,0.0,173.05,235.8,21.59,0.0,0.0,430.43,0.0,1051.43,816.84,400.24,211.45,13.48,2493.45,2923.89,258.8,0.0,3.45,0.0,26.38,141.48,9.77,33.47,239.32,0.0,0.0,519.96,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,33.07,33.07,962.15,962.15,995.23,0.0,27.52,0.0,0.0,27.52,19.08,1061.3,762.8,245.66,2088.84,3111.58,146.12,20.96,7.61,0.0,174.68,339.97,46.55,0.0,0.0,561.2,0.0,1061.75,847.28,402.86,215.37,23.13,2550.38,3111.58,313.54,0.0,1.81,0.61,34.76,251.81,9.77,115.6,343.49,0.0,0.0,561.47,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,33.07,33.07,1238.66,1238.66,1271.74,0.0,0.0,11.49,62.58,74.07,93.91,1323.98,805.28,228.27,2451.44,3797.25,171.03,12.5,0.61,0.0,184.15,175.62,16.96,74.61,99.72,551.06,217.86,754.76,906.55,425.06,183.98,757.98,3246.19,3797.25,404.6,451.54,3.71,0.66,47.41,244.87,9.77,140.76,171.93,0.0,217.86,23.24,215.92,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,33.07,33.07,1330.59,1330.59,1363.67,0.0,0.0,19.16,74.35,93.51,177.79,1352.23,611.91,174.2,2316.13,3773.31,153.31,10.64,4.03,0.0,167.98,246.07,26.15,107.8,103.58,651.58,221.33,753.77,1007.31,205.38,197.15,736.78,3121.73,3773.31,1966.93,774.29,5.32,0.4,26.45,122.0,9.77,102.2,209.16,0.0,221.33,35.37,463.3,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,33.07,33.07,1449.53,1449.53,1482.61,0.0,0.0,27.49,77.45,104.94,211.97,1525.76,546.92,175.11,2459.76,4047.31,168.29,7.8,0.01,0.0,176.1,241.8,24.46,153.16,85.31,680.83,318.04,832.74,1168.26,258.59,170.33,618.51,3366.47,4047.31,1816.33,455.39,2.33,0.44,31.88,27.7,9.77,119.26,207.07,0.0,318.04,11.55,353.63,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
